날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-28,1,0.0%,1,0%,124,0.0%,100.0%,992000,992000 ( 100.0% ),124,124 ( 100.0% ),992000,124,48
2018-01-05,1,0.0%,1,0%,274,0.0%,95.6%,2358000,2358000 ( 100.0% ),262,262 ( 100.0% ),3350000,386,21
2018-01-09,1,0.0%,1,0%,389,0.0%,95.9%,3268500,3268500 ( 100.0% ),373,373 ( 100.0% ),6618500,759,19
2018-01-11,511,8.9%,1657,9.5%,226359,8.1%,14.4%,247341600,247341600 ( 100.0% ),32562,32562 ( 100.0% ),253960100,33321,5
2018-01-12,506,8.6%,1542,8.8%,208108,7.4%,12.1%,215765695,-31575905 ( -12.8% ),25172,-7390 ( -22.7% ),469725795,58493,5
2018-01-13,480,7.8%,1244,6.8%,160103,5.5%,23.5%,324034909,108269214 ( 50.2% ),37639,12467 ( 49.5% ),793760704,96132,5
2018-01-14,456,7.5%,1110,6.2%,142723,5.0%,20.5%,253603500,-70431409 ( -21.7% ),29295,-8344 ( -22.2% ),1047364204,125427,5
2018-01-15,451,8.0%,1132,6.7%,146727,5.4%,7.2%,81037900,-172565600 ( -68.0% ),10623,-18672 ( -63.7% ),1128402104,136050,6
2018-01-16,442,7.6%,1052,6.2%,137464,5.1%,6.3%,65347500,-15690400 ( -19.4% ),8635,-1988 ( -18.7% ),1193749604,144685,6
2018-01-17,141,2.5%,166,1%,20384,0.7%,6.3%,8976800,-56370700 ( -86.3% ),1285,-7350 ( -85.1% ),1202726404,145970,11
2018-01-18,73,1.3%,85,0.5%,10644,0.4%,6.1%,4722400,-4254400 ( -47.4% ),649,-636 ( -49.5% ),1207448804,146619,18
2018-01-19,65,1.1%,78,0.4%,10371,0.4%,6.6%,5653500,931100 ( 19.7% ),682,33 ( 5.1% ),1213102304,147301,18
2018-01-20,47,0.8%,53,0.3%,6560,0.2%,12.3%,6923200,1269700 ( 22.5% ),809,127 ( 18.6% ),1220025504,148110,18
2018-01-21,41,0.7%,43,0.2%,5266,0.2%,13.4%,6003600,-919600 ( -13.3% ),704,-105 ( -13.0% ),1226029104,148814,17
2018-01-22,56,1.0%,65,0.4%,8302,0.3%,5.1%,3010000,-2993600 ( -49.9% ),424,-280 ( -39.8% ),1229039104,149238,17
2018-01-23,52,0.9%,59,0.4%,7279,0.3%,5.6%,3009900,-100 ( 0.0% ),404,-20 ( -4.7% ),1232049004,149642,22
2018-01-24,16,0.3%,17,0.1%,2210,0.1%,4.1%,678500,-2331400 ( -77.5% ),91,-313 ( -77.5% ),1232727504,149733,40
2018-01-25,15,0.2%,16,0.1%,2199,0.1%,4.4%,732500,54000 ( 8.0% ),97,6 ( 6.6% ),1233460004,149830,50
2018-01-26,16,0.2%,17,0.1%,2441,0.1%,3.9%,785500,53000 ( 7.2% ),96,-1 ( -1.0% ),1234245504,149926,45
2018-01-27,8,0.1%,9,0%,1193,0.0%,8.2%,869000,83500 ( 10.6% ),98,2 ( 2.1% ),1235114504,150024,46
2018-01-28,10,0.1%,11,0.1%,1593,0.1%,10.0%,1428500,559500 ( 64.4% ),160,62 ( 63.3% ),1236543004,150184,42
2018-01-29,6,0.1%,7,0%,1260,0.0%,5.1%,481000,-947500 ( -66.3% ),64,-96 ( -60.0% ),1237024004,150248,50
2018-01-30,9,0.1%,10,0.1%,1447,0.1%,3.1%,316000,-165000 ( -34.3% ),45,-19 ( -29.7% ),1237340004,150293,67
2018-01-31,2,0.0%,2,0%,286,0.0%,16.1%,234000,-82000 ( -25.9% ),46,1 ( 2.2% ),1237574004,150339,60
