날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-09,273,4.7%,389,2%,47172,1.5%,37.9%,138025850,138025850 ( 100.0% ),17883,17883 ( 100.0% ),138025850,17883,6
2018-10-10,126,2.6%,137,0.8%,16373,0.6%,3.6%,4179350,-133846500 ( -97.0% ),592,-17291 ( -96.7% ),142205200,18475,16
2018-10-11,118,2.2%,123,0.7%,14210,0.5%,3.7%,3661000,-518350 ( -12.4% ),524,-68 ( -11.5% ),145866200,18999,18
2018-10-12,121,2.2%,123,0.7%,15072,0.5%,3.8%,4378000,717000 ( 19.6% ),568,44 ( 8.4% ),150244200,19567,17
2018-10-13,322,5.1%,470,2.3%,58196,1.8%,12.1%,54469150,50091150 ( 1144.2% ),7048,6480 ( 1140.8% ),204713350,26615,7
2018-10-14,309,4.9%,467,2.4%,56987,1.8%,14.4%,64778850,10309700 ( 18.9% ),8207,1159 ( 16.4% ),269492200,34822,7
2018-10-15,105,2.0%,110,0.6%,13131,0.5%,3.0%,2787950,-61990900 ( -95.7% ),391,-7816 ( -95.2% ),272280150,35213,18
2018-10-16,102,1.9%,105,0.6%,12444,0.4%,3.6%,3029000,241050 ( 8.6% ),448,57 ( 14.6% ),275309150,35661,19
2018-10-17,101,1.9%,106,0.6%,13376,0.5%,6.7%,5246400,2217400 ( 73.2% ),891,443 ( 98.9% ),280555550,36552,15
2018-10-18,20,0.3%,23,0.1%,2087,0.1%,5.2%,676500,-4569900 ( -87.1% ),108,-783 ( -87.9% ),281232050,36660,42
2018-10-19,17,0.3%,20,0.1%,1854,0.1%,5.7%,739800,63300 ( 9.4% ),106,-2 ( -1.9% ),281971850,36766,42
2018-10-20,122,1.9%,146,0.8%,17093,0.6%,12.8%,17108000,16368200 ( 2212.5% ),2183,2077 ( 1959.4% ),299079850,38949,12
2018-10-21,122,1.9%,147,0.8%,16592,0.6%,18.0%,24131850,7023850 ( 41.1% ),2986,803 ( 36.8% ),323211700,41935,11
2018-10-22,16,0.3%,19,0.1%,1658,0.1%,5.7%,628500,-23503350 ( -97.4% ),95,-2891 ( -96.8% ),323840200,42030,49
2018-10-23,15,0.3%,16,0.1%,1925,0.1%,5.6%,702000,73500 ( 11.7% ),108,13 ( 13.7% ),324542200,42138,44
2018-10-24,20,0.4%,22,0.1%,2160,0.1%,11.5%,1528500,826500 ( 117.7% ),248,140 ( 129.6% ),326070700,42386,27
2018-10-25,5,0.1%,7,0%,327,0.0%,22.6%,421000,-1107500 ( -72.5% ),74,-174 ( -70.2% ),326491700,42460,62
2018-10-26,2,0.0%,5,0%,146,0.0%,17.8%,199500,-221500 ( -52.6% ),26,-48 ( -64.9% ),326691200,42486,87
2018-10-27,18,0.3%,24,0.1%,2502,0.1%,12.0%,2345400,2145900 ( 1075.6% ),299,273 ( 1050.0% ),329036600,42785,27
2018-10-28,18,0.3%,24,0.1%,2169,0.1%,19.8%,3283300,937900 ( 40.0% ),429,130 ( 43.5% ),332319900,43214,26
2018-10-29,1,0.0%,2,0%,50,0.0%,20.0%,65000,-3218300 ( -98.0% ),10,-419 ( -97.7% ),332384900,43224,81
2018-10-30,2,0.0%,3,0%,82,0.0%,30.5%,168000,103000 ( 158.5% ),25,15 ( 150.0% ),332552900,43249,76
2018-10-31,2,0.0%,4,0%,189,0.0%,13.2%,140000,-28000 ( -16.7% ),25,0 ( 0.0% ),332692900,43274,75
2018-11-01,2,0.0%,4,0%,189,0.0%,7.9%,92000,-48000 ( -34.3% ),15,-10 ( -40.0% ),332784900,43289,88
2018-11-02,2,0.0%,5,0%,400,0.0%,43.0%,1532000,1440000 ( 1565.2% ),172,157 ( 1046.7% ),334316900,43461,34
2018-11-03,2,0.0%,2,0%,211,0.0%,15.6%,289500,-1242500 ( -81.1% ),33,-139 ( -80.8% ),334606400,43494,90
2018-11-04,1,0.0%,1,0%,59,0.0%,5.1%,22500,-267000 ( -92.2% ),3,-30 ( -90.9% ),334628900,43497,116
2018-11-06,1,0.0%,1,0%,254,0.0%,1.2%,20000,20000 ( 100.0% ),3,3 ( 100.0% ),334648900,43500,104
2018-11-07,1,0.0%,1,0%,159,0.0%,1.3%,14000,-6000 ( -30.0% ),2,-1 ( -33.3% ),334662900,43502,106
2018-11-10,2,0.0%,2,0%,313,0.0%,2.9%,63000,63000 ( 100.0% ),9,9 ( 100.0% ),334725900,43511,94
2018-11-11,2,0.0%,2,0%,313,0.0%,4.5%,96000,33000 ( 52.4% ),14,5 ( 55.6% ),334821900,43525,86
2018-11-16,1,0.0%,1,0%,128,0.0%,46.9%,360000,360000 ( 100.0% ),60,60 ( 100.0% ),335181900,43585,55
2018-11-17,1,0.0%,1,0%,157,0.0%,26.8%,288000,-72000 ( -20.0% ),42,-18 ( -30.0% ),335469900,43627,79
