날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-17,70,1.3%,75,0.4%,9484,0.4%,3.2%,2262100,2262100 ( 100.0% ),304,304 ( 100.0% ),2262100,304,22
2018-05-18,74,1.4%,76,0.4%,9474,0.3%,3.7%,3056000,793900 ( 35.1% ),351,47 ( 15.5% ),5318100,655,20
2018-05-19,168,2.9%,230,1.2%,29695,1.0%,14.1%,34288600,31232600 ( 1022.0% ),4195,3844 ( 1095.2% ),39606700,4850,8
2018-05-20,166,2.8%,225,1.2%,29287,1.0%,13.6%,33048200,-1240400 ( -3.6% ),3988,-207 ( -4.9% ),72654900,8838,8
2018-05-21,140,2.5%,169,1%,21897,0.8%,10.0%,15927200,-17121000 ( -51.8% ),2184,-1804 ( -45.2% ),88582100,11022,10
2018-05-22,128,2.2%,147,0.8%,18084,0.6%,28.7%,42241200,26314000 ( 165.2% ),5192,3008 ( 137.7% ),130823300,16214,9
2018-05-23,49,1.0%,50,0.3%,6572,0.2%,2.6%,1253000,-40988200 ( -97.0% ),169,-5023 ( -96.7% ),132076300,16383,30
2018-05-24,24,0.5%,25,0.1%,3004,0.1%,3.8%,793100,-459900 ( -36.7% ),115,-54 ( -32.0% ),132869400,16498,43
2018-05-25,25,0.5%,26,0.2%,3143,0.1%,3.4%,857500,64400 ( 8.1% ),106,-9 ( -7.8% ),133726900,16604,41
2018-05-26,61,1.0%,67,0.4%,8253,0.3%,14.3%,9654200,8796700 ( 1025.9% ),1177,1071 ( 1010.4% ),143381100,17781,12
2018-05-27,60,1.0%,66,0.4%,8072,0.3%,18.4%,12223600,2569400 ( 26.6% ),1488,311 ( 26.4% ),155604700,19269,11
2018-05-28,23,0.5%,24,0.1%,2911,0.1%,2.4%,504300,-11719300 ( -95.9% ),70,-1418 ( -95.3% ),156109000,19339,39
2018-05-29,24,0.5%,25,0.2%,2983,0.1%,2.1%,454800,-49500 ( -9.8% ),64,-6 ( -8.6% ),156563800,19403,51
2018-05-30,8,0.1%,8,0%,932,0.0%,2.6%,182800,-272000 ( -59.8% ),24,-40 ( -62.5% ),156746600,19427,63
2018-05-31,8,0.1%,8,0%,969,0.0%,2.8%,208300,25500 ( 13.9% ),27,3 ( 12.5% ),156954900,19454,73
2018-06-01,11,0.2%,11,0.1%,1243,0.0%,2.7%,287400,79100 ( 38.0% ),34,7 ( 25.9% ),157242300,19488,66
2018-06-02,30,0.5%,35,0.2%,4441,0.2%,12.4%,4486100,4198700 ( 1460.9% ),549,515 ( 1514.7% ),161728400,20037,21
2018-06-03,28,0.4%,34,0.2%,4375,0.2%,15.7%,5729000,1242900 ( 27.7% ),685,136 ( 24.8% ),167457400,20722,18
2018-06-04,7,0.1%,7,0%,811,0.0%,2.5%,155500,-5573500 ( -97.3% ),20,-665 ( -97.1% ),167612900,20742,68
2018-06-05,9,0.2%,10,0.1%,1203,0.0%,3.4%,319500,164000 ( 105.5% ),41,21 ( 105.0% ),167932400,20783,65
2018-06-06,1,0.0%,1,0%,158,0.0%,7.0%,77000,-242500 ( -75.9% ),11,-30 ( -73.2% ),168009400,20794,81
2018-06-07,1,0.0%,1,0%,86,0.0%,34.9%,240000,163000 ( 211.7% ),30,19 ( 172.7% ),168249400,20824,65
2018-06-08,2,0.0%,2,0%,201,0.0%,55.7%,1120000,880000 ( 366.7% ),112,82 ( 273.3% ),169369400,20936,39
2018-06-09,1,0.0%,1,0%,158,0.0%,3.2%,35000,-1085000 ( -96.9% ),5,-107 ( -95.5% ),169404400,20941,89
2018-06-10,1,0.0%,1,0%,158,0.0%,3.8%,42000,7000 ( 20.0% ),6,1 ( 20.0% ),169446400,20947,88
2018-06-11,2,0.0%,2,0%,252,0.0%,12.7%,314000,272000 ( 647.6% ),32,26 ( 433.3% ),169760400,20979,53
