날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-28,1,0.0%,1,0%,166,0.0%,100.0%,1648000,1648000 ( 100.0% ),166,166 ( 100.0% ),1648000,166,33
2016-05-01,2,0.0%,2,0%,322,0.0%,100.0%,3220000,3220000 ( 100.0% ),322,322 ( 100.0% ),4868000,488,22
2016-05-04,216,4.5%,290,1.9%,35852,1.5%,15.7%,38018500,38018500 ( 100.0% ),5615,5615 ( 100.0% ),42886500,6103,7
2016-05-05,325,6.1%,578,3.5%,79460,3.0%,46.7%,290418500,252400000 ( 663.9% ),37116,31501 ( 561.0% ),333305000,43219,6
2016-05-06,295,5.6%,510,3.1%,66346,2.5%,36.2%,185732000,-104686500 ( -36.0% ),23997,-13119 ( -35.3% ),519037000,67216,6
2016-05-07,300,5.8%,484,3%,62045,2.4%,22.5%,106370100,-79361900 ( -42.7% ),13967,-10030 ( -41.8% ),625407100,81183,6
2016-05-08,291,5.7%,450,2.9%,57659,2.3%,16.6%,74413400,-31956700 ( -30.0% ),9573,-4394 ( -31.5% ),699820500,90756,6
2016-05-09,140,3.3%,171,1.3%,21834,1.0%,4.6%,7274700,-67138700 ( -90.2% ),1015,-8558 ( -89.4% ),707095200,91771,14
2016-05-10,141,3.3%,160,1.2%,19782,0.9%,3.9%,5767000,-1507700 ( -20.7% ),769,-246 ( -24.2% ),712862200,92540,19
2016-05-11,122,2.4%,144,1.1%,18265,0.8%,4.2%,5377500,-389500 ( -6.8% ),765,-4 ( -0.5% ),718239700,93305,14
2016-05-12,44,1.0%,48,0.3%,6216,0.3%,4.5%,1873500,-3504000 ( -65.2% ),278,-487 ( -63.7% ),720113200,93583,23
2016-05-13,61,1.3%,66,0.5%,8192,0.4%,8.9%,5147600,3274100 ( 174.8% ),731,453 ( 162.9% ),725260800,94314,13
2016-05-14,153,3.0%,197,1.3%,23985,1.0%,25.9%,46070900,40923300 ( 795.0% ),6223,5492 ( 751.3% ),771331700,100537,10
2016-05-15,158,3.1%,200,1.4%,24648,1.0%,25.9%,47487000,1416100 ( 3.1% ),6391,168 ( 2.7% ),818818700,106928,9
2016-05-16,46,1.1%,48,0.4%,6236,0.3%,3.5%,1555000,-45932000 ( -96.7% ),220,-6171 ( -96.6% ),820373700,107148,25
2016-05-17,40,0.9%,41,0.3%,5290,0.2%,4.6%,1622000,67000 ( 4.3% ),243,23 ( 10.5% ),821995700,107391,27
2016-05-18,46,1.1%,48,0.4%,5942,0.3%,4.5%,1891000,269000 ( 16.6% ),269,26 ( 10.7% ),823886700,107660,28
2016-05-19,2,0.0%,3,0%,248,0.0%,7.7%,125000,-1766000 ( -93.4% ),19,-250 ( -92.9% ),824011700,107679,67
2016-05-20,4,0.1%,4,0%,517,0.0%,13.7%,413000,288000 ( 230.4% ),71,52 ( 273.7% ),824424700,107750,50
2016-05-21,20,0.4%,22,0.1%,3074,0.1%,22.7%,5376300,4963300 ( 1201.8% ),698,627 ( 883.1% ),829801000,108448,18
2016-05-22,17,0.3%,20,0.1%,2653,0.1%,22.1%,4624000,-752300 ( -14.0% ),586,-112 ( -16.0% ),834425000,109034,18
2016-05-23,4,0.1%,5,0%,528,0.0%,6.1%,225500,-4398500 ( -95.1% ),32,-554 ( -94.5% ),834650500,109066,55
2016-05-24,5,0.1%,7,0.1%,677,0.0%,3.5%,174000,-51500 ( -22.8% ),24,-8 ( -25.0% ),834824500,109090,66
2016-05-25,2,0.0%,3,0%,218,0.0%,3.2%,39000,-135000 ( -77.6% ),7,-17 ( -70.8% ),834863500,109097,89
2016-05-26,4,0.1%,7,0.1%,604,0.0%,57.5%,3087000,3048000 ( 7815.4% ),347,340 ( 4857.1% ),837950500,109444,23
2016-05-27,5,0.1%,7,0%,554,0.0%,54.5%,2732000,-355000 ( -11.5% ),302,-45 ( -13.0% ),840682500,109746,25
2016-05-28,7,0.1%,9,0.1%,777,0.0%,32.2%,1925500,-806500 ( -29.5% ),250,-52 ( -17.2% ),842608000,109996,24
2016-05-29,7,0.1%,9,0.1%,839,0.0%,47.8%,3221000,1295500 ( 67.3% ),401,151 ( 60.4% ),845829000,110397,20
2016-05-30,3,0.1%,4,0%,399,0.0%,74.2%,2403000,-818000 ( -25.4% ),296,-105 ( -26.2% ),848232000,110693,27
2016-05-31,4,0.1%,5,0%,491,0.0%,38.7%,1680000,-723000 ( -30.1% ),190,-106 ( -35.8% ),849912000,110883,30
2016-06-01,3,0.1%,3,0%,209,0.0%,51.7%,542000,-1138000 ( -67.7% ),108,-82 ( -43.2% ),850454000,110991,38
2016-06-02,1,0.0%,2,0%,358,0.0%,9.5%,71000,-471000 ( -86.9% ),34,-74 ( -68.5% ),850525000,111025,62
2016-06-03,2,0.0%,4,0%,422,0.0%,4.5%,105000,34000 ( 47.9% ),19,-15 ( -44.1% ),850630000,111044,58
2016-06-04,2,0.0%,8,0.1%,991,0.0%,13.2%,474000,369000 ( 351.4% ),131,112 ( 589.5% ),851104000,111175,36
2016-06-05,2,0.0%,8,0.1%,991,0.0%,19.1%,626000,152000 ( 32.1% ),189,58 ( 44.3% ),851730000,111364,28
2016-06-06,1,0.0%,3,0%,96,0.0%,63.5%,363000,-263000 ( -42.0% ),61,-128 ( -67.7% ),852093000,111425,40
2016-06-07,2,0.0%,3,0%,390,0.0%,3.8%,46000,-317000 ( -87.3% ),15,-46 ( -75.4% ),852139000,111440,56
2016-06-08,2,0.0%,2,0%,211,0.0%,5.2%,22000,-24000 ( -52.2% ),11,-4 ( -26.7% ),852161000,111451,70
2016-06-09,1,0.0%,2,0%,358,0.0%,1.7%,15000,-7000 ( -31.8% ),6,-5 ( -45.5% ),852176000,111457,67
2016-06-10,1,0.0%,2,0%,358,0.0%,2.5%,22000,7000 ( 46.7% ),9,3 ( 50.0% ),852198000,111466,68
2016-06-11,1,0.0%,5,0%,895,0.0%,6.9%,140000,118000 ( 536.4% ),62,53 ( 588.9% ),852338000,111528,40
2016-06-12,1,0.0%,5,0%,895,0.0%,7.9%,169000,29000 ( 20.7% ),71,9 ( 14.5% ),852507000,111599,43
2016-06-14,1,0.0%,3,0%,537,0.0%,14.0%,153000,153000 ( 100.0% ),75,75 ( 100.0% ),852660000,111674,41
2016-06-15,1,0.0%,2,0%,358,0.0%,1.4%,13000,-140000 ( -91.5% ),5,-70 ( -93.3% ),852673000,111679,79
2016-06-16,1,0.0%,2,0%,358,0.0%,2.5%,23000,10000 ( 76.9% ),9,4 ( 80.0% ),852696000,111688,82
2016-06-17,1,0.0%,2,0%,358,0.0%,1.1%,9000,-14000 ( -60.9% ),4,-5 ( -55.6% ),852705000,111692,88
2016-06-18,1,0.0%,4,0%,716,0.0%,8.1%,140000,131000 ( 1455.6% ),58,54 ( 1350.0% ),852845000,111750,53
2016-06-19,1,0.0%,5,0%,895,0.0%,7.0%,153000,13000 ( 9.3% ),63,5 ( 8.6% ),852998000,111813,49
2016-06-21,1,0.0%,3,0%,537,0.0%,1.5%,21000,21000 ( 100.0% ),8,8 ( 100.0% ),853019000,111821,66
2016-06-23,1,0.0%,1,0%,179,0.0%,1.1%,5000,5000 ( 100.0% ),2,2 ( 100.0% ),853024000,111823,86
2016-06-24,1,0.0%,1,0%,179,0.0%,5.0%,22000,17000 ( 340.0% ),9,7 ( 350.0% ),853046000,111832,84
2016-06-25,1,0.0%,5,0%,895,0.0%,11.7%,242000,220000 ( 1000.0% ),105,96 ( 1066.7% ),853288000,111937,54
2016-06-26,1,0.0%,5,0%,895,0.0%,9.4%,205000,-37000 ( -15.3% ),84,-21 ( -20.0% ),853493000,112021,45
2016-06-28,1,0.0%,2,0%,358,0.0%,1.1%,10000,10000 ( 100.0% ),4,4 ( 100.0% ),853503000,112025,96
2016-06-29,1,0.0%,2,0%,358,0.0%,2.2%,19000,9000 ( 90.0% ),8,4 ( 100.0% ),853522000,112033,86
2016-06-30,2,0.0%,4,0%,600,0.0%,5.8%,157000,138000 ( 726.3% ),35,27 ( 337.5% ),853679000,112068,59
2016-07-01,1,0.0%,2,0%,358,0.0%,3.6%,31000,-126000 ( -80.3% ),13,-22 ( -62.9% ),853710000,112081,65
2016-07-02,1,0.0%,5,0%,895,0.0%,8.5%,181000,150000 ( 483.9% ),76,63 ( 484.6% ),853891000,112157,53
2016-07-03,1,0.0%,5,0%,895,0.0%,9.5%,200000,19000 ( 10.5% ),85,9 ( 11.8% ),854091000,112242,45
