날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-21,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),3208000,401,22
2017-08-22,1,0.0%,1,0%,118,0.0%,7.6%,180000,-3028000 ( -94.4% ),9,-392 ( -97.8% ),3388000,410,91
2017-08-23,497,8.6%,1549,9.1%,231112,8.3%,6.3%,107372200,107192200 ( 59551.2% ),14517,14508 ( 161200.0% ),110760200,14927,6
2017-08-24,448,7.2%,1403,7.8%,210256,7.2%,6.2%,95385500,-11986700 ( -11.2% ),12939,-1578 ( -10.9% ),206145700,27866,6
2017-08-25,462,7.3%,1325,7.2%,193898,6.6%,8.7%,139298548,43913048 ( 46.0% ),16963,4024 ( 31.1% ),345444248,44829,6
2017-08-26,448,6.6%,947,4.9%,123048,4.0%,15.3%,154917327,15618779 ( 11.2% ),18812,1849 ( 10.9% ),500361575,63641,7
2017-08-27,446,6.7%,905,4.8%,117252,3.9%,14.2%,136942300,-17975027 ( -11.6% ),16657,-2155 ( -11.5% ),637303875,80298,7
2017-08-28,411,7.0%,974,5.6%,140981,5.0%,5.0%,52026500,-84915800 ( -62.0% ),7085,-9572 ( -57.5% ),689330375,87383,8
2017-08-29,384,6.4%,905,5.2%,131417,4.7%,4.8%,47108900,-4917600 ( -9.5% ),6370,-715 ( -10.1% ),736439275,93753,9
2017-08-30,54,0.9%,66,0.4%,8312,0.3%,9.1%,5052500,-42056400 ( -89.3% ),753,-5617 ( -88.2% ),741491775,94506,20
2017-08-31,27,0.5%,32,0.2%,4291,0.2%,8.2%,2819000,-2233500 ( -44.2% ),351,-402 ( -53.4% ),744310775,94857,31
2017-09-01,33,0.6%,42,0.2%,5370,0.2%,5.8%,2698000,-121000 ( -4.3% ),314,-37 ( -10.5% ),747008775,95171,28
2017-09-02,38,0.6%,48,0.3%,5648,0.2%,9.5%,4284000,1586000 ( 58.8% ),535,221 ( 70.4% ),751292775,95706,29
2017-09-03,36,0.6%,51,0.3%,5886,0.2%,11.9%,5683000,1399000 ( 32.7% ),699,164 ( 30.7% ),756975775,96405,24
2017-09-04,26,0.5%,35,0.2%,4403,0.2%,4.0%,1325500,-4357500 ( -76.7% ),178,-521 ( -74.5% ),758301275,96583,36
2017-09-05,25,0.4%,36,0.2%,4568,0.2%,7.2%,2706000,1380500 ( 104.1% ),330,152 ( 85.4% ),761007275,96913,31
2017-09-06,3,0.1%,6,0%,786,0.0%,6.9%,446000,-2260000 ( -83.5% ),54,-276 ( -83.6% ),761453275,96967,50
2017-09-07,1,0.0%,1,0%,55,0.0%,1.8%,5000,-441000 ( -98.9% ),1,-53 ( -98.1% ),761458275,96968,102
2017-09-08,3,0.0%,3,0%,198,0.0%,7.1%,86000,81000 ( 1620.0% ),14,13 ( 1300.0% ),761544275,96982,90
2017-09-09,2,0.0%,2,0%,142,0.0%,3.5%,29000,-57000 ( -66.3% ),5,-9 ( -64.3% ),761573275,96987,109
2017-09-10,4,0.1%,4,0%,226,0.0%,2.7%,34000,5000 ( 17.2% ),6,1 ( 20.0% ),761607275,96993,102
2017-09-11,3,0.1%,3,0%,212,0.0%,2.4%,29000,-5000 ( -14.7% ),5,-1 ( -16.7% ),761636275,96998,86
2017-09-12,2,0.0%,2,0%,157,0.0%,6.4%,64000,35000 ( 120.7% ),10,5 ( 100.0% ),761700275,97008,90
2017-09-13,1,0.0%,1,0%,100,0.0%,9.0%,59000,-5000 ( -7.8% ),9,-1 ( -10.0% ),761759275,97017,101
