날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-11,1,0.0%,1,0%,202,0.0%,68.3%,1054000,1054000 ( 100.0% ),138,138 ( 100.0% ),1054000,138,46
2016-12-04,1,0.0%,1,0%,293,0.0%,71.7%,1676000,1676000 ( 100.0% ),210,210 ( 100.0% ),2730000,348,38
2016-12-06,1,0.0%,1,0%,293,0.0%,68.9%,1712000,1712000 ( 100.0% ),202,202 ( 100.0% ),4442000,550,34
2016-12-20,1,0.0%,1,0%,212,0.0%,72.6%,921000,921000 ( 100.0% ),154,154 ( 100.0% ),5363000,704,42
2017-01-04,1,0.0%,1,0%,92,0.0%,100.0%,736000,736000 ( 100.0% ),92,92 ( 100.0% ),6099000,796,40
2017-01-09,1,0.0%,1,0%,203,0.0%,100.0%,1421000,1421000 ( 100.0% ),203,203 ( 100.0% ),7520000,999,24
2017-01-16,1,0.0%,1,0%,306,0.0%,100.0%,2448000,2448000 ( 100.0% ),306,306 ( 100.0% ),9968000,1305,30
2017-01-17,1,0.0%,1,0%,255,0.0%,100.0%,2295000,-153000 ( -6.3% ),255,-51 ( -16.7% ),12263000,1560,36
2017-01-18,92,1.7%,158,0.9%,18182,0.7%,10.1%,13685000,11390000 ( 496.3% ),1830,1575 ( 617.6% ),25948000,3390,11
2017-01-19,124,2.2%,204,1.2%,24902,0.9%,10.3%,19463400,5778400 ( 42.2% ),2569,739 ( 40.4% ),45411400,5959,10
2017-01-20,116,2.1%,193,1.1%,23524,0.8%,8.6%,16682100,-2781300 ( -14.3% ),2019,-550 ( -21.4% ),62093500,7978,10
2017-01-21,114,1.9%,163,0.9%,19524,0.7%,13.5%,21956100,5274000 ( 31.6% ),2628,609 ( 30.2% ),84049600,10606,10
2017-01-22,118,2.0%,173,1%,21055,0.7%,12.9%,22828200,872100 ( 4.0% ),2713,85 ( 3.2% ),106877800,13319,10
2017-01-23,110,2.1%,174,1%,21528,0.8%,7.1%,11430200,-11398000 ( -49.9% ),1539,-1174 ( -43.3% ),118308000,14858,10
2017-01-24,114,2.1%,175,1%,21494,0.8%,7.8%,12343400,913200 ( 8.0% ),1675,136 ( 8.8% ),130651400,16533,10
2017-01-25,53,0.9%,80,0.5%,9580,0.3%,15.4%,9387900,-2955500 ( -23.9% ),1478,-197 ( -11.8% ),140039300,18011,15
2017-01-26,45,0.7%,70,0.4%,7602,0.3%,13.5%,7832500,-1555400 ( -16.6% ),1030,-448 ( -30.3% ),147871800,19041,16
2017-01-27,46,0.7%,64,0.3%,7146,0.2%,14.6%,8790000,957500 ( 12.2% ),1041,11 ( 1.1% ),156661800,20082,17
2017-01-28,43,0.7%,61,0.3%,5998,0.2%,15.9%,8053573,-736427 ( -8.4% ),955,-86 ( -8.3% ),164715373,21037,17
2017-01-29,41,0.6%,55,0.3%,6422,0.2%,18.1%,10147500,2093927 ( 26.0% ),1164,209 ( 21.9% ),174862873,22201,17
2017-01-30,42,0.6%,58,0.3%,6282,0.2%,23.0%,12406700,2259200 ( 22.3% ),1448,284 ( 24.4% ),187269573,23649,16
2017-01-31,42,0.7%,57,0.3%,6555,0.2%,11.7%,5491700,-6915000 ( -55.7% ),769,-679 ( -46.9% ),192761273,24418,20
2017-02-01,34,0.6%,49,0.3%,5777,0.2%,9.3%,3931100,-1560600 ( -28.4% ),536,-233 ( -30.3% ),196692373,24954,19
2017-02-02,28,0.5%,36,0.2%,3796,0.1%,10.0%,2877100,-1054000 ( -26.8% ),378,-158 ( -29.5% ),199569473,25332,27
