날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-23,1,0.0%,1,0%,224,0.0%,100.0%,1344000,1344000 ( 100.0% ),224,224 ( 100.0% ),1344000,224,33
2016-08-24,4,0.1%,5,0%,1059,0.0%,100.0%,8248000,6904000 ( 513.7% ),1059,835 ( 372.8% ),9592000,1283,18
2016-08-31,2,0.0%,2,0%,454,0.0%,100.0%,3632000,3632000 ( 100.0% ),454,454 ( 100.0% ),13224000,1737,32
2016-09-03,3,0.0%,3,0%,749,0.0%,100.0%,7490000,7490000 ( 100.0% ),749,749 ( 100.0% ),20714000,2486,31
2016-09-04,3,0.0%,3,0%,581,0.0%,100.0%,5810000,-1680000 ( -22.4% ),581,-168 ( -22.4% ),26524000,3067,35
2016-09-07,238,4.8%,299,2.1%,40157,1.7%,8.0%,23896700,23896700 ( 100.0% ),3199,3199 ( 100.0% ),50420700,6266,8
2016-09-08,236,4.7%,301,2%,39827,1.6%,5.2%,14757300,-9139400 ( -38.2% ),2083,-1116 ( -34.9% ),65178000,8349,9
2016-09-09,259,4.9%,332,2.1%,42655,1.7%,6.4%,21487400,6730100 ( 45.6% ),2718,635 ( 30.5% ),86665400,11067,8
2016-09-10,411,7.2%,669,4%,85638,3.1%,27.9%,180115600,158628200 ( 738.2% ),23863,21145 ( 778.0% ),266781000,34930,4
2016-09-11,425,7.4%,691,4.2%,89787,3.4%,31.7%,223977200,43861600 ( 24.4% ),28423,4560 ( 19.1% ),490758200,63353,4
2016-09-12,309,6.0%,405,2.8%,50061,2.1%,9.0%,29999900,-193977300 ( -86.6% ),4515,-23908 ( -84.1% ),520758100,67868,8
2016-09-13,281,4.8%,380,2.4%,46998,1.8%,8.4%,25989600,-4010300 ( -13.4% ),3945,-570 ( -12.6% ),546747700,71813,10
2016-09-14,272,4.6%,362,2.1%,45205,1.6%,20.8%,71710800,45721200 ( 175.9% ),9417,5472 ( 138.7% ),618458500,81230,10
2016-09-15,256,4.3%,342,2%,42437,1.5%,20.5%,67282500,-4428300 ( -6.2% ),8720,-697 ( -7.4% ),685741000,89950,9
