날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-18,8,0.1%,8,0%,1763,0.1%,100.0%,14748000,14748000 ( 100.0% ),1763,1763 ( 100.0% ),14748000,1763,11
2018-04-19,7,0.1%,7,0%,2171,0.1%,100.0%,18159000,3411000 ( 23.1% ),2171,408 ( 23.1% ),32907000,3934,12
2018-04-20,3,0.0%,3,0%,789,0.0%,98.4%,5922000,-12237000 ( -67.4% ),776,-1395 ( -64.3% ),38829000,4710,20
2018-04-23,6,0.1%,6,0%,1456,0.1%,100.6%,11840000,11840000 ( 100.0% ),1465,1465 ( 100.0% ),50669000,6175,12
2018-04-24,54,0.9%,54,0.3%,11909,0.4%,99.7%,100807000,88967000 ( 751.4% ),11868,10403 ( 710.1% ),151476000,18043,4
2018-04-25,260,4.9%,395,2.5%,50589,2.0%,15.8%,65090500,-35716500 ( -35.4% ),7976,-3892 ( -32.8% ),216566500,26019,3
2018-04-26,250,5.0%,443,2.8%,53170,2.1%,4.2%,17026100,-48064400 ( -73.8% ),2235,-5741 ( -72.0% ),233592600,28254,6
2018-04-27,252,5.1%,417,2.6%,50422,2.0%,6.0%,25816700,8790600 ( 51.6% ),3006,771 ( 34.5% ),259409300,31260,6
2018-04-28,231,4.5%,337,2%,39175,1.5%,11.6%,39274800,13458100 ( 52.1% ),4551,1545 ( 51.4% ),298684100,35811,7
2018-04-29,229,4.5%,335,2%,39018,1.5%,12.9%,42295800,3021000 ( 7.7% ),5035,484 ( 10.6% ),340979900,40846,6
2018-04-30,242,4.9%,384,2.4%,45913,1.8%,8.9%,31219100,-11076700 ( -26.2% ),4078,-957 ( -19.0% ),372199000,44924,5
2018-05-01,185,3.9%,225,1.3%,26322,1.0%,14.9%,28724800,-2494300 ( -8.0% ),3922,-156 ( -3.8% ),400923800,48846,6
2018-05-02,135,3.1%,180,1.1%,21301,0.8%,9.0%,14664100,-14060700 ( -48.9% ),1924,-1998 ( -50.9% ),415587900,50770,6
2018-05-03,58,1.3%,75,0.5%,9476,0.4%,15.2%,10959900,-3704200 ( -25.3% ),1438,-486 ( -25.3% ),426547800,52208,10
2018-05-04,62,1.3%,83,0.5%,10162,0.4%,14.6%,12827700,1867800 ( 17.0% ),1485,47 ( 3.3% ),439375500,53693,11
2018-05-05,43,0.8%,69,0.4%,8482,0.3%,32.0%,24492200,11664500 ( 90.9% ),2718,1233 ( 83.0% ),463867700,56411,9
2018-05-06,68,1.2%,102,0.6%,12845,0.5%,29.4%,33725900,9233700 ( 37.7% ),3781,1063 ( 39.1% ),497593600,60192,9
2018-05-07,77,1.4%,122,0.7%,16606,0.6%,24.0%,34791700,1065800 ( 3.2% ),3989,208 ( 5.5% ),532385300,64181,9
2018-05-08,106,2.3%,190,1.2%,26166,1.1%,7.6%,15481500,-19310200 ( -55.5% ),1978,-2011 ( -50.4% ),547866800,66159,4
2018-05-09,98,2.3%,174,1.1%,22729,0.9%,8.8%,16005000,523500 ( 3.4% ),1992,14 ( 0.7% ),563871800,68151,4
2018-05-10,97,2.2%,162,1%,21761,0.9%,7.9%,14013900,-1991100 ( -12.4% ),1719,-273 ( -13.7% ),577885700,69870,6
2018-05-11,99,2.2%,174,1.1%,23702,0.9%,10.3%,21798400,7784500 ( 55.5% ),2444,725 ( 42.2% ),599684100,72314,5
2018-05-12,108,2.1%,183,1%,23753,0.8%,26.9%,57704800,35906400 ( 164.7% ),6387,3943 ( 161.3% ),657388900,78701,7
2018-05-13,114,2.2%,204,1.2%,27958,1.0%,21.7%,54596100,-3108700 ( -5.4% ),6065,-322 ( -5.0% ),711985000,84766,6
2018-05-14,114,2.7%,218,1.4%,29699,1.2%,6.9%,16555900,-38040200 ( -69.7% ),2061,-4004 ( -66.0% ),728540900,86827,5
2018-05-15,118,2.7%,228,1.5%,31014,1.3%,7.6%,18685400,2129500 ( 12.9% ),2365,304 ( 14.8% ),747226300,89192,5
2018-05-16,72,1.4%,116,0.7%,15864,0.6%,10.1%,11826000,-6859400 ( -36.7% ),1609,-756 ( -32.0% ),759052300,90801,8
2018-05-17,55,1.1%,67,0.4%,9577,0.4%,11.2%,7695600,-4130400 ( -34.9% ),1075,-534 ( -33.2% ),766747900,91876,12
2018-05-18,52,1.0%,70,0.4%,10192,0.4%,13.1%,10641300,2945700 ( 38.3% ),1331,256 ( 23.8% ),777389200,93207,12
