날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-01,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),2192000,274,31
2016-12-05,43,0.9%,48,0.3%,7711,0.3%,62.6%,38600000,38600000 ( 100.0% ),4829,4829 ( 100.0% ),40792000,5103,6
2016-12-06,19,0.4%,19,0.1%,4369,0.2%,82.2%,28720000,-9880000 ( -25.6% ),3590,-1239 ( -25.7% ),69512000,8693,7
2016-12-07,4,0.1%,4,0%,1054,0.0%,100.0%,8432000,-20288000 ( -70.6% ),1054,-2536 ( -70.6% ),77944000,9747,9
2016-12-08,3,0.1%,3,0%,924,0.0%,100.0%,7392000,-1040000 ( -12.3% ),924,-130 ( -12.3% ),85336000,10671,13
2016-12-10,3,0.1%,3,0%,795,0.0%,100.0%,7950000,7950000 ( 100.0% ),795,795 ( 100.0% ),93286000,11466,13
2016-12-11,1,0.0%,1,0%,160,0.0%,100.0%,1280000,-6670000 ( -83.9% ),160,-635 ( -79.9% ),94566000,11626,36
2016-12-12,14,0.3%,14,0.1%,4510,0.2%,99.5%,35735000,34455000 ( 2691.8% ),4486,4326 ( 2703.8% ),130301000,16112,9
2016-12-13,7,0.1%,7,0%,1933,0.1%,100.0%,15464000,-20271000 ( -56.7% ),1933,-2553 ( -56.9% ),145765000,18045,11
2016-12-14,756,15.0%,3559,22.4%,609944,23.4%,15.1%,677051000,661587000 ( 4278.2% ),92278,90345 ( 4673.8% ),822816000,110323,2
2016-12-15,764,14.4%,3613,22.8%,613860,23.6%,15.2%,681016300,3965300 ( 0.6% ),93085,807 ( 0.9% ),1503832300,203408,2
2016-12-16,767,14.2%,3707,22.7%,627799,23.4%,16.6%,853190115,172173815 ( 25.3% ),104379,11294 ( 12.1% ),2357022415,307787,2
2016-12-17,729,12.4%,3466,20.1%,579433,20.6%,26.8%,1315627233,462437118 ( 54.2% ),155475,51096 ( 49.0% ),3672649648,463262,3
2016-12-18,725,12.4%,3356,19.9%,559706,20.3%,26.5%,1265304300,-50322933 ( -3.8% ),148496,-6979 ( -4.5% ),4937953948,611758,3
2016-12-19,710,14.0%,3361,21.5%,556128,21.6%,12.2%,512199500,-753104800 ( -59.5% ),67914,-80582 ( -54.3% ),5450153448,679672,3
