날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-02,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),1712000,214,31
2016-11-05,4,0.1%,4,0%,521,0.0%,38.8%,1740500,1740500 ( 100.0% ),202,202 ( 100.0% ),3452500,416,37
2016-11-06,4,0.1%,4,0%,426,0.0%,52.3%,2047000,306500 ( 17.6% ),223,21 ( 10.4% ),5499500,639,35
2016-11-10,151,3.2%,313,2%,39662,1.5%,5.2%,15489000,15489000 ( 100.0% ),2055,2055 ( 100.0% ),20988500,2694,10
2016-11-11,148,3.1%,303,1.9%,38197,1.4%,5.2%,16869000,1380000 ( 8.9% ),1977,-78 ( -3.8% ),37857500,4671,12
2016-11-12,151,2.8%,247,1.4%,31012,1.1%,6.2%,16452900,-416100 ( -2.5% ),1914,-63 ( -3.2% ),54310400,6585,12
2016-11-13,146,2.8%,245,1.4%,30196,1.1%,6.2%,15801800,-651100 ( -4.0% ),1858,-56 ( -2.9% ),70112200,8443,12
2016-11-14,141,3.1%,249,1.6%,31933,1.3%,4.1%,9679000,-6122800 ( -38.7% ),1323,-535 ( -28.8% ),79791200,9766,9
2016-11-15,145,2.9%,253,1.7%,33013,1.3%,3.8%,9107900,-571100 ( -5.9% ),1270,-53 ( -4.0% ),88899100,11036,12
2016-11-16,78,1.6%,124,0.8%,15080,0.6%,5.0%,5796400,-3311500 ( -36.4% ),749,-521 ( -41.0% ),94695500,11785,16
2016-11-17,45,0.9%,64,0.4%,7480,0.3%,6.2%,3511000,-2285400 ( -39.4% ),465,-284 ( -37.9% ),98206500,12250,24
2016-11-18,48,0.9%,66,0.4%,7981,0.3%,7.0%,4764500,1253500 ( 35.7% ),559,94 ( 20.2% ),102971000,12809,20
2016-11-19,40,0.7%,57,0.3%,5336,0.2%,14.4%,6966100,2201600 ( 46.2% ),768,209 ( 37.4% ),109937100,13577,19
2016-11-20,42,0.8%,58,0.4%,5678,0.2%,12.9%,6567500,-398600 ( -5.7% ),735,-33 ( -4.3% ),116504600,14312,19
2016-11-21,42,0.9%,57,0.4%,7871,0.3%,5.7%,3283000,-3284500 ( -50.0% ),445,-290 ( -39.5% ),119787600,14757,18
2016-11-22,42,0.9%,57,0.4%,6525,0.3%,6.1%,3034500,-248500 ( -7.6% ),398,-47 ( -10.6% ),122822100,15155,22
2016-11-23,42,0.8%,55,0.4%,7990,0.3%,4.4%,2669000,-365500 ( -12.0% ),349,-49 ( -12.3% ),125491100,15504,23
2016-11-24,16,0.3%,23,0.1%,2142,0.1%,8.7%,1544000,-1125000 ( -42.2% ),187,-162 ( -46.4% ),127035100,15691,41
2016-11-25,18,0.4%,30,0.2%,4632,0.2%,5.7%,2293000,749000 ( 48.5% ),263,76 ( 40.6% ),129328100,15954,32
2016-11-26,16,0.3%,25,0.1%,3349,0.1%,8.8%,2691500,398500 ( 17.4% ),296,33 ( 12.5% ),132019600,16250,38
2016-11-27,23,0.4%,30,0.2%,5078,0.2%,8.2%,3833500,1142000 ( 42.4% ),418,122 ( 41.2% ),135853100,16668,31
2016-11-28,19,0.4%,26,0.2%,4910,0.2%,4.1%,1655500,-2178000 ( -56.8% ),200,-218 ( -52.2% ),137508600,16868,32
2016-11-29,19,0.4%,26,0.2%,3303,0.1%,6.6%,1649000,-6500 ( -0.4% ),217,17 ( 8.5% ),139157600,17085,37
2016-11-30,8,0.2%,15,0.1%,3567,0.1%,5.0%,1352000,-297000 ( -18.0% ),177,-40 ( -18.4% ),140509600,17262,43
2016-12-01,9,0.2%,9,0.1%,1012,0.0%,3.4%,249000,-1103000 ( -81.6% ),34,-143 ( -80.8% ),140758600,17296,76
2016-12-02,8,0.2%,8,0%,677,0.0%,5.3%,266500,17500 ( 7.0% ),36,2 ( 5.9% ),141025100,17332,88
2016-12-03,7,0.1%,7,0%,637,0.0%,13.5%,780000,513500 ( 192.7% ),86,50 ( 138.9% ),141805100,17418,62
2016-12-04,6,0.1%,6,0%,544,0.0%,9.0%,435000,-345000 ( -44.2% ),49,-37 ( -43.0% ),142240100,17467,84
2016-12-05,11,0.2%,11,0.1%,1935,0.1%,4.2%,633200,198200 ( 45.6% ),81,32 ( 65.3% ),142873300,17548,48
2016-12-06,6,0.1%,6,0%,1197,0.0%,3.9%,352000,-281200 ( -44.4% ),47,-34 ( -42.0% ),143225300,17595,71
2016-12-07,5,0.1%,5,0%,1239,0.0%,1.7%,131000,-221000 ( -62.8% ),21,-26 ( -55.3% ),143356300,17616,85
2016-12-08,3,0.1%,3,0%,221,0.0%,8.1%,116000,-15000 ( -11.5% ),18,-3 ( -14.3% ),143472300,17634,75
2016-12-09,2,0.0%,3,0%,265,0.0%,5.7%,124000,8000 ( 6.9% ),15,-3 ( -16.7% ),143596300,17649,75
2016-12-10,4,0.1%,4,0%,400,0.0%,6.8%,249500,125500 ( 101.2% ),27,12 ( 80.0% ),143845800,17676,58
2016-12-11,3,0.1%,3,0%,300,0.0%,14.3%,375000,125500 ( 50.3% ),43,16 ( 59.3% ),144220800,17719,52
2016-12-12,4,0.1%,4,0%,353,0.0%,3.1%,74000,-301000 ( -80.3% ),11,-32 ( -74.4% ),144294800,17730,65
2016-12-13,3,0.1%,3,0%,234,0.0%,9.4%,190500,116500 ( 157.4% ),22,11 ( 100.0% ),144485300,17752,74
2016-12-14,2,0.0%,2,0%,145,0.0%,6.9%,74000,-116500 ( -61.2% ),10,-12 ( -54.5% ),144559300,17762,84
2016-12-15,1,0.0%,1,0%,77,0.0%,11.7%,81000,7000 ( 9.5% ),9,-1 ( -10.0% ),144640300,17771,84
2016-12-16,3,0.1%,3,0%,221,0.0%,10.9%,193500,112500 ( 138.9% ),24,15 ( 166.7% ),144833800,17795,61
2016-12-17,2,0.0%,2,0%,144,0.0%,12.5%,168000,-25500 ( -13.2% ),18,-6 ( -25.0% ),145001800,17813,68
2016-12-18,2,0.0%,2,0%,169,0.0%,3.0%,26000,-142000 ( -84.5% ),5,-13 ( -72.2% ),145027800,17818,80
2016-12-19,2,0.0%,2,0%,184,0.0%,4.3%,67000,41000 ( 157.7% ),8,3 ( 60.0% ),145094800,17826,76
2016-12-20,5,0.1%,5,0%,386,0.0%,4.4%,126400,59400 ( 88.7% ),17,9 ( 112.5% ),145221200,17843,75
2016-12-21,2,0.0%,2,0%,144,0.0%,7.6%,97000,-29400 ( -23.3% ),11,-6 ( -35.3% ),145318200,17854,83
2016-12-22,1,0.0%,1,0%,75,0.0%,1.3%,3500,-93500 ( -96.4% ),1,-10 ( -90.9% ),145321700,17855,92
2016-12-24,1,0.0%,1,0%,50,0.0%,14.0%,62000,62000 ( 100.0% ),7,7 ( 100.0% ),145383700,17862,83
2016-12-25,1,0.0%,1,0%,50,0.0%,10.0%,43000,-19000 ( -30.6% ),5,-2 ( -28.6% ),145426700,17867,85
2016-12-26,1,0.0%,1,0%,50,0.0%,14.0%,58000,15000 ( 34.9% ),7,2 ( 40.0% ),145484700,17874,58
2016-12-27,1,0.0%,1,0%,50,0.0%,6.0%,25000,-33000 ( -56.9% ),3,-4 ( -57.1% ),145509700,17877,77
2016-12-30,2,0.0%,2,0%,125,0.0%,5.6%,52500,52500 ( 100.0% ),7,7 ( 100.0% ),145562200,17884,84
2017-01-01,1,0.0%,1,0%,50,0.0%,20.0%,89000,89000 ( 100.0% ),10,10 ( 100.0% ),145651200,17894,60
2017-01-02,1,0.0%,1,0%,50,0.0%,12.0%,51000,-38000 ( -42.7% ),6,-4 ( -40.0% ),145702200,17900,57
2017-01-05,1,0.0%,1,0%,50,0.0%,8.0%,34000,34000 ( 100.0% ),4,4 ( 100.0% ),145736200,17904,75
2017-01-11,1,0.0%,1,0%,50,0.0%,26.0%,108000,108000 ( 100.0% ),13,13 ( 100.0% ),145844200,17917,69
2017-01-12,1,0.0%,1,0%,50,0.0%,4.0%,16000,-92000 ( -85.2% ),2,-11 ( -84.6% ),145860200,17919,77
2017-01-18,2,0.0%,2,0%,148,0.0%,3.4%,42000,42000 ( 100.0% ),5,5 ( 100.0% ),145902200,17924,67
