날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-02-09,17,0.3%,17,0.1%,1865,0.1%,87.2%,14212500,14212500 ( 100.0% ),1627,1627 ( 100.0% ),14212500,1627,14
2016-02-11,2,0.0%,2,0%,564,0.0%,87.4%,4059000,4059000 ( 100.0% ),493,493 ( 100.0% ),18271500,2120,19
2016-02-17,201,4.2%,409,2.5%,50513,1.9%,11.5%,44119500,44119500 ( 100.0% ),5826,5826 ( 100.0% ),62391000,7946,8
2016-02-18,233,4.8%,481,2.9%,60420,2.2%,14.7%,68075600,23956100 ( 54.3% ),8882,3056 ( 52.5% ),130466600,16828,7
2016-02-19,246,5.1%,500,3%,62924,2.2%,16.3%,85175936,17100336 ( 25.1% ),10275,1393 ( 15.7% ),215642536,27103,7
2016-02-20,222,4.4%,426,2.4%,53111,1.8%,25.4%,112000048,26824112 ( 31.5% ),13470,3195 ( 31.1% ),327642584,40573,7
2016-02-21,228,4.5%,423,2.5%,53764,1.9%,23.4%,105171400,-6828648 ( -6.1% ),12559,-911 ( -6.8% ),432813984,53132,7
2016-02-22,230,5.0%,480,3%,60863,2.3%,13.1%,60686200,-44485200 ( -42.3% ),7948,-4611 ( -36.7% ),493500184,61080,7
2016-02-23,232,4.9%,487,3%,61787,2.3%,14.3%,67463900,6777700 ( 11.2% ),8819,871 ( 11.0% ),560964084,69899,7
2016-02-24,133,2.8%,263,1.6%,33229,1.2%,21.9%,46516900,-20947000 ( -31.0% ),7263,-1556 ( -17.6% ),607480984,77162,10
2016-02-25,63,1.2%,117,0.7%,14928,0.6%,20.9%,23678700,-22838200 ( -49.1% ),3127,-4136 ( -56.9% ),631159684,80289,13
2016-02-26,65,1.2%,132,0.8%,16989,0.6%,20.9%,29582700,5904000 ( 24.9% ),3558,431 ( 13.8% ),660742384,83847,13
2016-02-27,68,1.1%,132,0.8%,15858,0.6%,32.3%,44081600,14498900 ( 49.0% ),5119,1561 ( 43.9% ),704823984,88966,13
2016-02-28,65,1.1%,128,0.8%,15501,0.6%,30.9%,39949900,-4131700 ( -9.4% ),4788,-331 ( -6.5% ),744773884,93754,13
2016-02-29,66,1.2%,133,0.8%,16484,0.6%,25.9%,32803900,-7146000 ( -17.9% ),4276,-512 ( -10.7% ),777577784,98030,13
2016-03-01,72,1.2%,132,0.8%,16424,0.6%,34.8%,46969300,14165400 ( 43.2% ),5712,1436 ( 33.6% ),824547084,103742,13
