날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-19,1,0.0%,1,0%,197,0.0%,100.0%,1773000,1773000 ( 100.0% ),197,197 ( 100.0% ),1773000,197,40
2017-05-22,4,0.1%,4,0%,1060,0.0%,95.2%,8072000,8072000 ( 100.0% ),1009,1009 ( 100.0% ),9845000,1206,11
2017-05-25,11,0.2%,11,0.1%,3384,0.1%,104.9%,29360000,29360000 ( 100.0% ),3549,3549 ( 100.0% ),39205000,4755,10
2017-05-26,3,0.1%,3,0%,485,0.0%,100.0%,4850000,-24510000 ( -83.5% ),485,-3064 ( -86.3% ),44055000,5240,19
2017-05-27,1,0.0%,1,0%,151,0.0%,100.0%,1510000,-3340000 ( -68.9% ),151,-334 ( -68.9% ),45565000,5391,43
2017-05-29,28,0.6%,28,0.2%,5648,0.2%,59.1%,32732600,32732600 ( 100.0% ),3339,3339 ( 100.0% ),78297600,8730,7
2017-05-30,14,0.3%,14,0.1%,2836,0.1%,71.0%,16137000,-16595600 ( -50.7% ),2014,-1325 ( -39.7% ),94434600,10744,11
2017-05-31,809,17.0%,3532,21.7%,617853,23.4%,22.1%,800909400,784772400 ( 4863.2% ),136240,134226 ( 6664.6% ),895344000,146984,2
2017-06-01,776,15.6%,3447,21.1%,603060,22.8%,12.1%,532286700,-268622700 ( -33.5% ),73171,-63069 ( -46.3% ),1427630700,220155,2
2017-06-02,786,15.7%,3419,20.6%,597322,22.3%,14.4%,693724105,161437405 ( 30.3% ),85851,12680 ( 17.3% ),2121354805,306006,3
2017-06-03,725,13.2%,3194,18.1%,547605,19.3%,28.1%,1274123297,580399192 ( 83.7% ),153756,67905 ( 79.1% ),3395478102,459762,3
2017-06-04,714,13.1%,3047,17.6%,525357,18.9%,25.6%,1115793400,-158329897 ( -12.4% ),134745,-19011 ( -12.4% ),4511271502,594507,3
2017-06-05,687,13.6%,3058,18.1%,505296,18.5%,14.5%,534008000,-581785400 ( -52.1% ),73276,-61469 ( -45.6% ),5045279502,667783,4
2017-06-06,534,10.1%,1535,8.5%,203966,6.9%,30.2%,494292500,-39715500 ( -7.4% ),61573,-11703 ( -16.0% ),5539572002,729356,5
2017-06-07,513,11.2%,1543,9.2%,199892,7.3%,8.7%,122084000,-372208500 ( -75.3% ),17446,-44127 ( -71.7% ),5661656002,746802,5
2017-06-08,436,8.9%,930,5.5%,117649,4.2%,9.0%,72813000,-49271000 ( -40.4% ),10589,-6857 ( -39.3% ),5734469002,757391,6
2017-06-09,442,8.8%,931,5.4%,118817,4.2%,8.5%,76302300,3489300 ( 4.8% ),10115,-474 ( -4.5% ),5810771302,767506,6
2017-06-10,388,6.9%,669,3.6%,83432,2.8%,15.9%,105799300,29497000 ( 38.7% ),13284,3169 ( 31.3% ),5916570602,780790,6
2017-06-11,364,6.5%,629,3.5%,78822,2.7%,15.0%,94842200,-10957100 ( -10.4% ),11850,-1434 ( -10.8% ),6011412802,792640,6
2017-06-12,390,8.1%,745,4.5%,93562,3.4%,6.2%,39503300,-55338900 ( -58.3% ),5785,-6065 ( -51.2% ),6050916102,798425,6
2017-06-13,379,7.6%,706,4.3%,88023,3.2%,6.3%,36607500,-2895800 ( -7.3% ),5550,-235 ( -4.1% ),6087523602,803975,6
2017-06-14,351,7.3%,658,4.1%,82926,3.1%,6.3%,36800600,193100 ( 0.5% ),5244,-306 ( -5.5% ),6124324202,809219,6
2017-06-15,101,1.9%,146,0.8%,19606,0.7%,8.8%,11372900,-25427700 ( -69.1% ),1733,-3511 ( -67.0% ),6135697102,810952,10
2017-06-16,100,1.8%,142,0.8%,17260,0.6%,12.0%,14600700,3227800 ( 28.4% ),2076,343 ( 19.8% ),6150297802,813028,8
2017-06-17,76,1.2%,108,0.6%,12724,0.4%,11.6%,11513700,-3087000 ( -21.1% ),1476,-600 ( -28.9% ),6161811502,814504,19
2017-06-18,71,1.2%,96,0.5%,13470,0.4%,9.3%,9862000,-1651700 ( -14.3% ),1253,-223 ( -15.1% ),6171673502,815757,20
2017-06-19,75,1.5%,116,0.7%,16454,0.6%,8.6%,8705300,-1156700 ( -11.7% ),1410,157 ( 12.5% ),6180378802,817167,8
2017-06-20,80,1.5%,120,0.7%,15690,0.6%,7.6%,7515500,-1189800 ( -13.7% ),1194,-216 ( -15.3% ),6187894302,818361,13
2017-06-21,91,1.8%,98,0.6%,16936,0.7%,81.2%,56013500,48498000 ( 645.3% ),13750,12556 ( 1051.6% ),6243907802,832111,5
2017-06-22,19,0.4%,20,0.1%,2717,0.1%,33.1%,5689500,-50324000 ( -89.8% ),899,-12851 ( -93.5% ),6249597302,833010,14
2017-06-23,17,0.3%,17,0.1%,2187,0.1%,9.9%,1524500,-4165000 ( -73.2% ),216,-683 ( -76.0% ),6251121802,833226,32
2017-06-24,11,0.2%,12,0.1%,1507,0.1%,17.3%,1955100,430600 ( 28.2% ),261,45 ( 20.8% ),6253076902,833487,30
2017-06-25,12,0.2%,13,0.1%,1646,0.1%,14.5%,1867500,-87600 ( -4.5% ),239,-22 ( -8.4% ),6254944402,833726,29
2017-06-26,18,0.4%,19,0.1%,2547,0.1%,31.5%,4022500,2155000 ( 115.4% ),802,563 ( 235.6% ),6258966902,834528,13
2017-06-27,14,0.3%,15,0.1%,1886,0.1%,16.6%,2242500,-1780000 ( -44.3% ),314,-488 ( -60.8% ),6261209402,834842,25
2017-06-28,8,0.2%,8,0.1%,1366,0.1%,52.9%,3319000,1076500 ( 48.0% ),722,408 ( 129.9% ),6264528402,835564,14
2017-06-29,6,0.1%,6,0%,1044,0.0%,50.4%,2287000,-1032000 ( -31.1% ),526,-196 ( -27.1% ),6266815402,836090,19
2017-06-30,3,0.1%,3,0%,473,0.0%,10.6%,380000,-1907000 ( -83.4% ),50,-476 ( -90.5% ),6267195402,836140,71
2017-07-01,4,0.1%,4,0%,633,0.0%,30.8%,1670000,1290000 ( 339.5% ),195,145 ( 290.0% ),6268865402,836335,36
2017-07-02,3,0.1%,3,0%,473,0.0%,13.7%,500000,-1170000 ( -70.1% ),65,-130 ( -66.7% ),6269365402,836400,63
