날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-06,1,0.0%,1,0%,306,0.0%,100.0%,2754000,2754000 ( 100.0% ),306,306 ( 100.0% ),2754000,306,21
2018-09-13,17,0.3%,17,0.1%,3247,0.1%,97.8%,28431000,28431000 ( 100.0% ),3175,3175 ( 100.0% ),31185000,3481,10
2018-09-14,1,0.0%,1,0%,170,0.0%,100.0%,1700000,-26731000 ( -94.0% ),170,-3005 ( -94.6% ),32885000,3651,40
2018-09-19,682,13.4%,2934,16%,405567,14.0%,24.3%,807398600,807398600 ( 100.0% ),98719,98719 ( 100.0% ),840283600,102370,3
2018-09-20,701,12.5%,2858,15.5%,398616,13.7%,19.1%,629650500,-177748100 ( -22.0% ),76112,-22607 ( -22.9% ),1469934100,178482,3
2018-09-21,760,13.6%,3123,16.3%,443396,14.7%,26.8%,1062011825,432361325 ( 68.7% ),118624,42512 ( 55.9% ),2531945925,297106,2
2018-09-22,824,12.9%,3287,15.9%,465943,14.5%,32.2%,1349366278,287354453 ( 27.1% ),150142,31518 ( 26.6% ),3881312203,447248,4
2018-09-23,775,12.2%,3016,14.8%,424814,13.4%,23.0%,897185250,-452181028 ( -33.5% ),97586,-52556 ( -35.0% ),4778497453,544834,4
2018-09-24,698,11.3%,2493,12.5%,346117,11.1%,23.7%,758395300,-138789950 ( -15.5% ),82000,-15586 ( -16.0% ),5536892753,626834,4
2018-09-25,679,10.6%,2279,11.1%,314411,9.9%,33.2%,945522150,187126850 ( 24.7% ),104359,22359 ( 27.3% ),6482414903,731193,4
2018-09-26,603,9.9%,1880,9.4%,251424,8.1%,35.6%,632366250,-313155900 ( -33.1% ),89503,-14856 ( -14.2% ),7114781153,820696,5
2018-09-27,544,10.4%,1823,9.9%,247770,8.6%,10.8%,219553550,-412812700 ( -65.3% ),26735,-62768 ( -70.1% ),7334334703,847431,5
2018-09-28,562,10.6%,1752,9.4%,238607,8.2%,12.7%,273037369,53483819 ( 24.4% ),30279,3544 ( 13.3% ),7607372072,877710,5
2018-09-29,557,9.6%,1627,8.3%,209060,6.9%,23.6%,442140523,169103154 ( 61.9% ),49428,19149 ( 63.2% ),8049512595,927138,5
2018-09-30,562,9.8%,1592,8.3%,205706,6.9%,18.2%,337084850,-105055673 ( -23.8% ),37516,-11912 ( -24.1% ),8386597445,964654,5
2018-10-01,499,10.4%,1443,8.4%,193273,7.1%,6.4%,101186900,-235897950 ( -70.0% ),12348,-25168 ( -67.1% ),8487784345,977002,5
2018-10-02,510,10.1%,1482,8.4%,196640,7.1%,8.1%,128683300,27496400 ( 27.2% ),15950,3602 ( 29.2% ),8616467645,992952,5
2018-10-03,121,2.1%,184,0.9%,20343,0.6%,20.5%,37247650,-91435650 ( -71.1% ),4166,-11784 ( -73.9% ),8653715295,997118,9
2018-10-04,120,2.4%,179,1%,21387,0.7%,7.7%,13357200,-23890450 ( -64.1% ),1656,-2510 ( -60.2% ),8667072495,998774,9
2018-10-05,118,2.3%,185,1%,21805,0.7%,15.4%,29119600,15762400 ( 118.0% ),3352,1696 ( 102.4% ),8696192095,1002126,8
2018-10-06,97,1.7%,141,0.7%,15208,0.5%,18.8%,25463250,-3656350 ( -12.6% ),2854,-498 ( -14.9% ),8721655345,1004980,9
2018-10-07,93,1.7%,133,0.7%,14935,0.5%,16.0%,21382200,-4081050 ( -16.0% ),2386,-468 ( -16.4% ),8743037545,1007366,9
2018-10-08,106,2.0%,156,0.8%,17871,0.6%,11.5%,16076200,-5306000 ( -24.8% ),2061,-325 ( -13.6% ),8759113745,1009427,9
2018-10-09,38,0.7%,49,0.2%,5527,0.2%,16.4%,7923100,-8153100 ( -50.7% ),906,-1155 ( -56.0% ),8767036845,1010333,15
2018-10-10,25,0.5%,30,0.2%,3441,0.1%,8.9%,2471050,-5452050 ( -68.8% ),305,-601 ( -66.3% ),8769507895,1010638,24
2018-10-11,5,0.1%,6,0%,639,0.0%,8.1%,440900,-2030150 ( -82.2% ),52,-253 ( -83.0% ),8769948795,1010690,56
2018-10-12,10,0.2%,12,0.1%,1500,0.1%,11.9%,1668600,1227700 ( 278.5% ),179,127 ( 244.2% ),8771617395,1010869,29
2018-10-13,11,0.2%,11,0.1%,1471,0.0%,11.3%,1522200,-146400 ( -8.8% ),166,-13 ( -7.3% ),8773139595,1011035,31
2018-10-14,9,0.1%,11,0.1%,1632,0.1%,8.3%,1240400,-281800 ( -18.5% ),136,-30 ( -18.1% ),8774379995,1011171,31
2018-10-15,6,0.1%,8,0%,1269,0.0%,3.3%,357300,-883100 ( -71.2% ),42,-94 ( -69.1% ),8774737295,1011213,54
2018-10-16,8,0.1%,9,0.1%,1331,0.0%,3.7%,428000,70700 ( 19.8% ),49,7 ( 16.7% ),8775165295,1011262,56
2018-10-17,5,0.1%,5,0%,657,0.0%,2.9%,159000,-269000 ( -62.9% ),19,-30 ( -61.2% ),8775324295,1011281,70
2018-10-19,1,0.0%,1,0%,110,0.0%,0.9%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),8775329295,1011282,85
2018-10-20,1,0.0%,1,0%,110,0.0%,0.9%,5000,0 ( 0.0% ),1,0 ( 0.0% ),8775334295,1011283,93
2018-10-21,1,0.0%,1,0%,110,0.0%,0.9%,5000,0 ( 0.0% ),1,0 ( 0.0% ),8775339295,1011284,90
2018-10-22,1,0.0%,1,0%,110,0.0%,0.9%,5000,0 ( 0.0% ),1,0 ( 0.0% ),8775344295,1011285,94
2018-10-23,1,0.0%,1,0%,110,0.0%,0.9%,5000,0 ( 0.0% ),1,0 ( 0.0% ),8775349295,1011286,103
2018-10-24,1,0.0%,1,0%,110,0.0%,0.9%,5000,0 ( 0.0% ),1,0 ( 0.0% ),8775354295,1011287,102
2018-10-30,1,0.0%,1,0%,220,0.0%,44.5%,833000,833000 ( 100.0% ),98,98 ( 100.0% ),8776187295,1011385,54
2018-10-31,1,0.0%,1,0%,218,0.0%,45.0%,833000,0 ( 0.0% ),98,0 ( 0.0% ),8777020295,1011483,55
2018-11-01,1,0.0%,1,0%,158,0.0%,61.4%,824500,-8500 ( -1.0% ),97,-1 ( -1.0% ),8777844795,1011580,56
