날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-02,2,0.0%,2,0%,411,0.0%,98.1%,3627000,3627000 ( 100.0% ),403,403 ( 100.0% ),3627000,403,26
2017-02-09,1,0.0%,1,0%,180,0.0%,100.0%,1080000,1080000 ( 100.0% ),180,180 ( 100.0% ),4707000,583,42
2017-02-13,2,0.0%,2,0%,546,0.0%,100.0%,4368000,4368000 ( 100.0% ),546,546 ( 100.0% ),9075000,1129,18
2017-02-14,3,0.0%,3,0%,567,0.0%,100.0%,4536000,168000 ( 3.8% ),567,21 ( 3.8% ),13611000,1696,26
2017-02-15,405,7.3%,1204,7.2%,162678,5.9%,16.0%,202013400,197477400 ( 4353.6% ),25961,25394 ( 4478.7% ),215624400,27657,5
2017-02-16,408,6.8%,1172,6.9%,157567,5.6%,14.6%,179395600,-22617800 ( -11.2% ),23007,-2954 ( -11.4% ),395020000,50664,6
2017-02-17,419,6.8%,1149,6.6%,153463,5.3%,14.5%,194924400,15528800 ( 8.7% ),22178,-829 ( -3.6% ),589944400,72842,6
2017-02-18,412,6.4%,1005,5.5%,127703,4.3%,23.7%,269240300,74315900 ( 38.1% ),30307,8129 ( 36.7% ),859184700,103149,6
2017-02-19,400,6.3%,951,5.3%,121292,4.1%,19.2%,207478600,-61761700 ( -22.9% ),23307,-7000 ( -23.1% ),1066663300,126456,6
2017-02-20,401,6.9%,1020,6.1%,133755,4.8%,9.7%,102257000,-105221600 ( -50.7% ),12983,-10324 ( -44.3% ),1168920300,139439,6
2017-02-21,399,6.7%,977,5.8%,130015,4.7%,8.5%,86839900,-15417100 ( -15.1% ),11077,-1906 ( -14.7% ),1255760200,150516,6
2017-02-22,109,1.8%,149,0.8%,18898,0.7%,10.5%,13227100,-73612800 ( -84.8% ),1990,-9087 ( -82.0% ),1268987300,152506,16
2017-02-23,99,1.6%,148,0.8%,18547,0.6%,8.7%,12781000,-446100 ( -3.4% ),1610,-380 ( -19.1% ),1281768300,154116,17
2017-02-24,98,1.5%,127,0.7%,16406,0.6%,9.2%,13544900,763900 ( 6.0% ),1506,-104 ( -6.5% ),1295313200,155622,19
2017-02-25,95,1.4%,117,0.6%,14497,0.5%,10.3%,13086500,-458400 ( -3.4% ),1493,-13 ( -0.9% ),1308399700,157115,22
2017-02-26,88,1.3%,111,0.6%,13951,0.5%,9.1%,11351000,-1735500 ( -13.3% ),1270,-223 ( -14.9% ),1319750700,158385,24
2017-02-27,84,1.4%,110,0.6%,13793,0.5%,7.3%,7806500,-3544500 ( -31.2% ),1005,-265 ( -20.9% ),1327557200,159390,21
2017-02-28,38,0.5%,48,0.3%,6216,0.2%,8.7%,4180500,-3626000 ( -46.4% ),539,-466 ( -46.4% ),1331737700,159929,33
2017-03-06,1,0.0%,1,0%,93,0.0%,10.8%,72500,72500 ( 100.0% ),10,10 ( 100.0% ),1331810200,159939,65
2017-03-07,1,0.0%,1,0%,93,0.0%,9.7%,73000,500 ( 0.7% ),9,-1 ( -10.0% ),1331883200,159948,75
