날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-30,1,0.0%,1,0%,172,0.0%,100.0%,1376000,1376000 ( 100.0% ),172,172 ( 100.0% ),1376000,172,41
2018-02-06,19,0.3%,19,0.1%,3126,0.1%,77.5%,17893600,17893600 ( 100.0% ),2424,2424 ( 100.0% ),19269600,2596,14
2018-02-07,156,2.5%,547,3.3%,75854,2.8%,10.8%,63424700,45531100 ( 254.5% ),8178,5754 ( 237.4% ),82694300,10774,9
2018-02-08,144,2.3%,443,2.5%,60291,2.1%,7.3%,34737300,-28687400 ( -45.2% ),4420,-3758 ( -46.0% ),117431600,15194,10
2018-02-09,154,2.4%,459,2.6%,62846,2.2%,7.3%,39062900,4325600 ( 12.5% ),4581,161 ( 3.6% ),156494500,19775,10
2018-02-10,155,2.3%,433,2.3%,59948,2.0%,11.1%,58095800,19032900 ( 48.7% ),6676,2095 ( 45.7% ),214590300,26451,11
2018-02-11,155,2.3%,404,2.2%,55515,1.9%,11.8%,57074800,-1021000 ( -1.8% ),6569,-107 ( -1.6% ),271665100,33020,11
2018-02-12,149,2.5%,399,2.4%,54964,2.0%,4.9%,21031600,-36043200 ( -63.2% ),2674,-3895 ( -59.3% ),292696700,35694,10
2018-02-13,146,2.4%,396,2.3%,54052,2.0%,5.1%,22070900,1039300 ( 4.9% ),2768,94 ( 3.5% ),314767600,38462,12
2018-02-14,8,0.1%,10,0.1%,1097,0.0%,6.5%,559500,-21511400 ( -97.5% ),71,-2697 ( -97.4% ),315327100,38533,47
2018-02-15,7,0.1%,10,0.1%,1085,0.0%,7.7%,714500,155000 ( 27.7% ),84,13 ( 18.3% ),316041600,38617,46
2018-02-16,6,0.1%,8,0%,849,0.0%,8.0%,562600,-151900 ( -21.3% ),68,-16 ( -19.0% ),316604200,38685,42
2018-02-17,8,0.1%,10,0.1%,1054,0.0%,9.7%,865400,302800 ( 53.8% ),102,34 ( 50.0% ),317469600,38787,47
2018-02-18,7,0.1%,10,0.1%,1355,0.0%,5.2%,564500,-300900 ( -34.8% ),70,-32 ( -31.4% ),318034100,38857,53
2018-02-19,6,0.1%,6,0%,1091,0.0%,3.0%,226000,-338500 ( -60.0% ),33,-37 ( -52.9% ),318260100,38890,65
2018-02-20,7,0.1%,9,0.1%,1535,0.1%,1.8%,189000,-37000 ( -16.4% ),27,-6 ( -18.2% ),318449100,38917,79
2018-02-21,7,0.1%,9,0.1%,1535,0.1%,3.5%,374500,185500 ( 98.1% ),54,27 ( 100.0% ),318823600,38971,62
2018-02-27,18,0.3%,18,0.1%,2472,0.1%,5.1%,957500,957500 ( 100.0% ),126,126 ( 100.0% ),319781100,39097,49
2018-02-28,5,0.1%,5,0%,653,0.0%,20.7%,596500,-361000 ( -37.7% ),135,9 ( 7.1% ),320377600,39232,41
2018-03-01,6,0.1%,8,0%,1630,0.1%,20.9%,1024000,427500 ( 71.7% ),341,206 ( 152.6% ),321401600,39573,30
2018-03-02,6,0.1%,8,0%,1531,0.1%,15.7%,835000,-189000 ( -18.5% ),240,-101 ( -29.6% ),322236600,39813,28
2018-03-03,5,0.1%,5,0%,666,0.0%,29.3%,842000,7000 ( 0.8% ),195,-45 ( -18.8% ),323078600,40008,32
2018-03-04,5,0.1%,5,0%,666,0.0%,24.9%,733000,-109000 ( -12.9% ),166,-29 ( -14.9% ),323811600,40174,37
2018-03-05,5,0.1%,5,0%,663,0.0%,28.5%,798000,65000 ( 8.9% ),189,23 ( 13.9% ),324609600,40363,28
2018-03-06,2,0.0%,2,0%,172,0.0%,12.2%,106600,-691400 ( -86.6% ),21,-168 ( -88.9% ),324716200,40384,74
2018-03-07,2,0.0%,2,0%,172,0.0%,12.2%,106600,0 ( 0.0% ),21,0 ( 0.0% ),324822800,40405,65
2018-03-08,1,0.0%,1,0%,95,0.0%,21.1%,100000,-6600 ( -6.2% ),20,-1 ( -4.8% ),324922800,40425,72
2018-03-09,1,0.0%,1,0%,95,0.0%,21.1%,100000,0 ( 0.0% ),20,0 ( 0.0% ),325022800,40445,66
2018-03-10,1,0.0%,1,0%,95,0.0%,21.1%,100000,0 ( 0.0% ),20,0 ( 0.0% ),325122800,40465,73
2018-03-11,1,0.0%,1,0%,95,0.0%,21.1%,100000,0 ( 0.0% ),20,0 ( 0.0% ),325222800,40485,71
2018-03-12,1,0.0%,1,0%,95,0.0%,21.1%,100000,0 ( 0.0% ),20,0 ( 0.0% ),325322800,40505,59
2018-03-21,1,0.0%,1,0%,250,0.0%,80.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),327122800,40705,27
2018-03-25,1,0.0%,1,0%,225,0.0%,88.9%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),328922800,40905,34
2018-04-04,1,0.0%,1,0%,243,0.0%,61.3%,1341000,1341000 ( 100.0% ),149,149 ( 100.0% ),330263800,41054,28
2020-01-26,1,0.0%,4,0%,556,0.0%,29.3%,326000,326000 ( 100.0% ),163,163 ( 100.0% ),330589800,41217,42
2020-01-27,1,0.0%,4,0%,556,0.0%,31.3%,348000,22000 ( 6.7% ),174,11 ( 6.7% ),330937800,41391,40
2020-01-28,1,0.0%,4,0%,556,0.0%,18.2%,207000,-141000 ( -40.5% ),101,-73 ( -42.0% ),331144800,41492,40
2020-01-29,1,0.0%,4,0%,556,0.0%,14.7%,164000,-43000 ( -20.8% ),82,-19 ( -18.8% ),331308800,41574,48
