날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-07,9,0.2%,9,0.1%,2025,0.1%,100.0%,16200000,16200000 ( 100.0% ),2025,2025 ( 100.0% ),16200000,2025,15
2018-03-14,1,0.0%,3,0%,852,0.0%,100.0%,5396000,5396000 ( 100.0% ),852,852 ( 100.0% ),21596000,2877,16
2018-03-20,7,0.1%,7,0%,1035,0.0%,102.9%,4260000,4260000 ( 100.0% ),1065,1065 ( 100.0% ),25856000,3942,16
2018-03-27,8,0.1%,10,0.1%,2343,0.1%,100.0%,19194000,19194000 ( 100.0% ),2343,2343 ( 100.0% ),45050000,6285,10
2018-03-29,5,0.1%,5,0%,1510,0.1%,97.5%,12152000,12152000 ( 100.0% ),1472,1472 ( 100.0% ),57202000,7757,9
2018-04-02,6,0.1%,6,0%,1696,0.1%,100.0%,13568000,13568000 ( 100.0% ),1696,1696 ( 100.0% ),70770000,9453,8
2018-04-03,8,0.2%,8,0%,2219,0.1%,99.4%,17226000,3658000 ( 27.0% ),2206,510 ( 30.1% ),87996000,11659,8
2018-04-04,1,0.0%,1,0%,104,0.0%,100.0%,624000,-16602000 ( -96.4% ),104,-2102 ( -95.3% ),88620000,11763,37
2018-04-05,463,8.9%,1760,9.7%,222939,7.7%,8.0%,124011100,123387100 ( 19773.6% ),17766,17662 ( 16982.7% ),212631100,29529,5
2018-04-06,462,8.5%,1703,9.1%,213486,7.2%,9.8%,161498800,37487700 ( 30.2% ),20919,3153 ( 17.7% ),374129900,50448,5
2018-04-07,509,8.6%,1486,7.5%,180278,5.7%,22.5%,319529500,158030700 ( 97.9% ),40590,19671 ( 94.0% ),693659400,91038,5
2018-04-08,544,9.3%,1540,8%,186420,6.1%,25.1%,371043900,51514400 ( 16.1% ),46814,6224 ( 15.3% ),1064703300,137852,4
2018-04-09,467,9.4%,1560,9%,191962,6.9%,8.5%,119270700,-251773200 ( -67.9% ),16405,-30409 ( -65.0% ),1183974000,154257,4
2018-04-10,486,9.6%,1600,9.3%,196560,7.1%,8.1%,115330600,-3940100 ( -3.3% ),15888,-517 ( -3.2% ),1299304600,170145,4
2018-04-11,505,9.7%,1599,9.3%,198135,7.2%,9.9%,142929400,27598800 ( 23.9% ),19560,3672 ( 23.1% ),1442234000,189705,4
