날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-18,19,0.4%,19,0.1%,5091,0.2%,59.7%,37269400,37269400 ( 100.0% ),3040,3040 ( 100.0% ),37269400,3040,11
2017-07-19,20,0.4%,20,0.1%,4218,0.2%,70.7%,26957800,-10311600 ( -27.7% ),2981,-59 ( -1.9% ),64227200,6021,13
2017-07-20,1252,22.2%,7554,41.1%,1464501,48.4%,15.3%,1776036300,1749078500 ( 6488.2% ),224242,221261 ( 7422.4% ),1840263500,230263,1
2017-07-21,1245,21.7%,7569,40.1%,1473859,47.6%,16.8%,2173063468,397027168 ( 22.4% ),248042,23800 ( 10.6% ),4013326968,478305,1
2017-07-22,1207,19.7%,7330,36.9%,1436406,44.3%,32.0%,4031277775,1858214307 ( 85.5% ),460182,212140 ( 85.5% ),8044604743,938487,1
2017-07-23,1181,19.3%,7026,36.3%,1382237,43.7%,29.7%,3602600500,-428677275 ( -10.6% ),411132,-49050 ( -10.7% ),11647205243,1349619,1
2017-07-24,1135,20.5%,6783,36.8%,1334284,44.2%,11.6%,1229508100,-2373092400 ( -65.9% ),154426,-256706 ( -62.4% ),12876713343,1504045,1
2017-07-25,1153,20.2%,6680,36.2%,1316122,43.6%,10.8%,1130024850,-99483250 ( -8.1% ),141556,-12870 ( -8.3% ),14006738193,1645601,1
2017-07-26,628,11.5%,2181,11.8%,335378,11.2%,28.9%,698540000,-431484850 ( -38.2% ),97068,-44488 ( -31.4% ),14705278193,1742669,3
2017-07-27,619,11.6%,2125,11.5%,321334,10.7%,22.0%,598773500,-99766500 ( -14.3% ),70612,-26456 ( -27.3% ),15304051693,1813281,3
2017-07-28,602,11.4%,2049,10.9%,308467,10.1%,28.8%,833928326,235154826 ( 39.3% ),88910,18298 ( 25.9% ),16137980019,1902191,3
2017-07-29,634,11.5%,1824,9.4%,270575,8.6%,52.5%,1322267914,488339588 ( 58.6% ),142131,53221 ( 59.9% ),17460247933,2044322,3
2017-07-30,664,12.1%,1874,9.8%,275215,8.9%,49.1%,1254698200,-67569714 ( -5.1% ),135170,-6961 ( -4.9% ),18714946133,2179492,3
2017-07-31,669,12.6%,2067,11%,307213,10.1%,31.4%,810512700,-444185500 ( -35.4% ),96408,-38762 ( -28.7% ),19525458833,2275900,3
