날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-09,1,0.0%,1,0%,247,0.0%,100.0%,2223000,2223000 ( 100.0% ),247,247 ( 100.0% ),2223000,247,17
2018-05-11,1,0.0%,2,0%,1248,0.0%,82.1%,16384000,16384000 ( 100.0% ),1024,1024 ( 100.0% ),18607000,1271,9
2018-05-15,1,0.0%,1,0%,231,0.0%,100.0%,2079000,2079000 ( 100.0% ),231,231 ( 100.0% ),20686000,1502,25
2018-05-16,1525,30.4%,7567,47.3%,1408306,54.7%,25.3%,3042723300,3040644300 ( 146255.1% ),356445,356214 ( 154205.2% ),3063409300,357947,1
2018-05-17,1404,26.9%,7408,44.3%,1393941,51.7%,18.6%,2229931900,-812791400 ( -26.7% ),259782,-96663 ( -27.1% ),5293341200,617729,1
2018-05-18,1485,27.6%,7864,45.5%,1477676,53.2%,21.9%,3057263120,827331220 ( 37.1% ),323152,63370 ( 24.4% ),8350604320,940881,1
2018-05-19,1562,26.7%,8617,46.6%,1608570,54.8%,35.5%,5373560516,2316297396 ( 75.8% ),570341,247189 ( 76.5% ),13724164836,1511222,1
2018-05-20,1576,26.9%,8459,46.7%,1583524,54.9%,29.2%,4385519550,-988040966 ( -18.4% ),462113,-108228 ( -19.0% ),18109684386,1973335,1
2018-05-21,1493,26.7%,8182,46.1%,1538902,54.3%,18.3%,2402979900,-1982539650 ( -45.2% ),281698,-180415 ( -39.0% ),20512664286,2255033,1
2018-05-22,1101,19.2%,5574,30.3%,1034936,35.4%,30.7%,3007974900,604995000 ( 25.2% ),317490,35792 ( 12.7% ),23520639186,2572523,2
2018-05-23,1027,20.5%,5139,30.5%,950139,35.0%,9.7%,792140200,-2215834700 ( -73.7% ),91779,-225711 ( -71.1% ),24312779386,2664302,2
2018-05-24,938,17.9%,4329,25.9%,776042,28.9%,9.7%,636255500,-155884700 ( -19.7% ),75447,-16332 ( -17.8% ),24949034886,2739749,2
2018-05-25,928,17.2%,4384,25.5%,771346,27.9%,12.3%,888130400,251874900 ( 39.6% ),95108,19661 ( 26.1% ),25837165286,2834857,2
2018-05-26,933,15.3%,4438,23.7%,763252,25.7%,24.4%,1747585539,859455139 ( 96.8% ),186003,90895 ( 95.6% ),27584750825,3020860,2
2018-05-27,925,15.4%,4312,23.6%,739352,25.5%,19.6%,1363628400,-383957139 ( -22.0% ),144836,-41167 ( -22.1% ),28948379225,3165696,2
2018-05-28,886,17.5%,4162,25.3%,720693,27.1%,7.3%,439364300,-924264100 ( -67.8% ),52592,-92244 ( -63.7% ),29387743525,3218288,2
2018-05-29,881,17.0%,4074,24.8%,709324,26.8%,6.2%,368524200,-70840100 ( -16.1% ),44281,-8311 ( -15.8% ),29756267725,3262569,2
2018-05-30,848,14.6%,3570,21%,593570,21.8%,13.8%,496729500,128205300 ( 34.8% ),81819,37538 ( 84.8% ),30252997225,3344388,2
2018-05-31,758,13.4%,3182,19.2%,543538,20.5%,7.7%,344713950,-152015550 ( -30.6% ),41960,-39859 ( -48.7% ),30597711175,3386348,2
2018-06-01,758,13.2%,3336,19.5%,564383,20.6%,9.1%,471046160,126332210 ( 36.6% ),51377,9417 ( 22.4% ),31068757335,3437725,2
2018-06-02,770,12.0%,3384,18.2%,563340,19.2%,18.1%,940648979,469602819 ( 99.7% ),101866,50489 ( 98.3% ),32009406314,3539591,2
2018-06-03,743,11.8%,3249,18%,540253,18.9%,14.3%,717384800,-223264179 ( -23.7% ),77415,-24451 ( -24.0% ),32726791114,3617006,2
2018-06-04,726,13.7%,3074,19.4%,528222,20.5%,5.2%,228440700,-488944100 ( -68.2% ),27515,-49900 ( -64.5% ),32955231814,3644521,2
2018-06-05,742,13.1%,3160,19%,535810,20.0%,6.6%,293064700,64624000 ( 28.3% ),35156,7641 ( 27.8% ),33248296514,3679677,2
2018-06-06,374,7.1%,854,4.7%,105605,3.7%,25.1%,242773900,-50290800 ( -17.2% ),26547,-8609 ( -24.5% ),33491070414,3706224,4
2018-06-07,362,7.5%,780,4.6%,100962,3.8%,8.4%,70630400,-172143500 ( -70.9% ),8502,-18045 ( -68.0% ),33561700814,3714726,5
2018-06-08,366,7.5%,756,4.4%,95542,3.5%,10.9%,95329559,24699159 ( 35.0% ),10419,1917 ( 22.5% ),33657030373,3725145,5
