날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-10,1,0.0%,1,0%,205,0.0%,100.0%,1845000,1845000 ( 100.0% ),205,205 ( 100.0% ),1845000,205,29
2016-06-15,1,0.0%,1,0%,151,0.0%,100.0%,1208000,1208000 ( 100.0% ),151,151 ( 100.0% ),3053000,356,28
2016-06-23,1,0.0%,1,0%,206,0.0%,100.0%,1854000,1854000 ( 100.0% ),206,206 ( 100.0% ),4907000,562,34
2016-06-28,1,0.0%,1,0%,203,0.0%,100.0%,1624000,1624000 ( 100.0% ),203,203 ( 100.0% ),6531000,765,28
2016-06-29,1,0.0%,1,0%,188,0.0%,100.0%,1504000,-120000 ( -7.4% ),188,-15 ( -7.4% ),8035000,953,36
2016-06-30,1,0.0%,1,0%,375,0.0%,100.0%,3375000,1871000 ( 124.4% ),375,187 ( 99.5% ),11410000,1328,25
2016-07-06,1,0.0%,1,0%,255,0.0%,80.8%,1718000,1718000 ( 100.0% ),206,206 ( 100.0% ),13128000,1534,31
2016-07-08,1,0.0%,1,0%,8,0.0%,100.0%,88000,88000 ( 100.0% ),8,8 ( 100.0% ),13216000,1542,101
2016-07-12,1,0.0%,1,0%,151,0.0%,100.0%,1208000,1208000 ( 100.0% ),151,151 ( 100.0% ),14424000,1693,38
2016-07-13,168,3.5%,371,2.3%,49275,1.9%,7.6%,27997800,26789800 ( 2217.7% ),3760,3609 ( 2390.1% ),42421800,5453,7
2016-07-14,185,3.7%,379,2.4%,49176,1.9%,8.4%,31040700,3042900 ( 10.9% ),4137,377 ( 10.0% ),73462500,9590,7
2016-07-15,196,3.3%,366,2.2%,47507,1.8%,9.2%,36727161,5686461 ( 18.3% ),4372,235 ( 5.7% ),110189661,13962,8
2016-07-16,184,2.9%,281,1.6%,35598,1.2%,17.2%,53031660,16304499 ( 44.4% ),6137,1765 ( 40.4% ),163221321,20099,7
2016-07-17,179,2.9%,267,1.6%,34389,1.2%,14.9%,44728800,-8302860 ( -15.7% ),5130,-1007 ( -16.4% ),207950121,25229,7
2016-07-18,189,3.9%,367,2.3%,47216,1.8%,8.4%,29669000,-15059800 ( -33.7% ),3947,-1183 ( -23.1% ),237619121,29176,6
2016-07-19,198,3.9%,377,2.4%,48382,1.8%,8.9%,32274700,2605700 ( 8.8% ),4303,356 ( 9.0% ),269893821,33479,6
2016-07-20,35,0.7%,47,0.3%,6212,0.2%,17.9%,8445400,-23829300 ( -73.8% ),1112,-3191 ( -74.2% ),278339221,34591,11
2016-07-21,38,0.8%,66,0.4%,8189,0.3%,19.5%,12618000,4172600 ( 49.4% ),1599,487 ( 43.8% ),290957221,36190,12
2016-07-22,39,0.8%,69,0.4%,8210,0.3%,21.0%,15208400,2590400 ( 20.5% ),1722,123 ( 7.7% ),306165621,37912,11
2016-07-23,35,0.7%,66,0.4%,7147,0.2%,41.8%,26777000,11568600 ( 76.1% ),2991,1269 ( 73.7% ),332942621,40903,10
2016-07-24,37,0.7%,64,0.4%,7686,0.3%,39.3%,26729100,-47900 ( -0.2% ),3021,30 ( 1.0% ),359671721,43924,10
2016-07-25,42,0.9%,80,0.5%,10339,0.4%,16.1%,12919500,-13809600 ( -51.7% ),1664,-1357 ( -44.9% ),372591221,45588,12
2016-07-26,41,0.8%,84,0.5%,10878,0.4%,15.9%,13122500,203000 ( 1.6% ),1728,64 ( 3.8% ),385713721,47316,12
2016-07-27,32,0.7%,68,0.4%,7336,0.3%,17.9%,8367000,-4755500 ( -36.2% ),1312,-416 ( -24.1% ),394080721,48628,15
2016-07-28,34,0.7%,52,0.3%,5761,0.2%,13.6%,6072400,-2294600 ( -27.4% ),784,-528 ( -40.2% ),400153121,49412,17
