날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-22,1,0.0%,1,0%,218,0.0%,100.0%,1744000,1744000 ( 100.0% ),218,218 ( 100.0% ),1744000,218,30
2017-03-23,1,0.0%,1,0%,213,0.0%,86.4%,1559000,-185000 ( -10.6% ),184,-34 ( -15.6% ),3303000,402,33
2017-03-28,6,0.1%,6,0%,751,0.0%,21.8%,1295300,1295300 ( 100.0% ),164,164 ( 100.0% ),4598300,566,39
2017-03-29,309,6.0%,564,3.5%,71902,2.7%,6.9%,30307000,29011700 ( 2239.8% ),4947,4783 ( 2916.5% ),34905300,5513,7
2017-03-30,297,5.8%,527,3.3%,67210,2.5%,5.3%,27082100,-3224900 ( -10.6% ),3559,-1388 ( -28.1% ),61987400,9072,7
2017-03-31,290,5.6%,496,3%,62433,2.3%,5.5%,28512434,1430334 ( 5.3% ),3458,-101 ( -2.8% ),90499834,12530,8
2017-04-01,273,4.7%,398,2.3%,49233,1.7%,11.9%,48400829,19888395 ( 69.8% ),5865,2407 ( 69.6% ),138900663,18395,7
2017-04-02,267,4.8%,378,2.2%,47921,1.7%,9.2%,36510300,-11890529 ( -24.6% ),4427,-1438 ( -24.5% ),175410963,22822,7
2017-04-03,241,4.6%,345,2.2%,46221,1.8%,3.3%,11777000,-24733300 ( -67.7% ),1547,-2880 ( -65.1% ),187187963,24369,9
2017-04-04,232,4.4%,328,2.1%,44197,1.7%,3.5%,11533300,-243700 ( -2.1% ),1543,-4 ( -0.3% ),198721263,25912,10
2017-04-05,77,1.6%,93,0.6%,13470,0.5%,12.2%,12587500,1054200 ( 9.1% ),1647,104 ( 6.7% ),211308763,27559,11
2017-04-06,44,0.8%,44,0.3%,5858,0.2%,2.7%,1203000,-11384500 ( -90.4% ),160,-1487 ( -90.3% ),212511763,27719,38
2017-04-07,46,0.8%,46,0.3%,5983,0.2%,4.4%,2259100,1056100 ( 87.8% ),265,105 ( 65.6% ),214770863,27984,27
2017-04-08,36,0.6%,36,0.2%,4793,0.2%,5.9%,2494000,234900 ( 10.4% ),284,19 ( 7.2% ),217264863,28268,30
2017-04-09,35,0.6%,35,0.2%,4472,0.2%,5.2%,2037500,-456500 ( -18.3% ),232,-52 ( -18.3% ),219302363,28500,33
2017-04-10,27,0.5%,27,0.2%,3846,0.2%,3.0%,804000,-1233500 ( -60.5% ),114,-118 ( -50.9% ),220106363,28614,44
2017-04-11,30,0.6%,31,0.2%,4099,0.2%,1.8%,510000,-294000 ( -36.6% ),73,-41 ( -36.0% ),220616363,28687,52
2017-04-12,4,0.1%,4,0%,584,0.0%,1.7%,68500,-441500 ( -86.6% ),10,-63 ( -86.3% ),220684863,28697,74
2017-04-13,4,0.1%,4,0%,528,0.0%,1.5%,61500,-7000 ( -10.2% ),8,-2 ( -20.0% ),220746363,28705,74
2017-04-14,3,0.1%,3,0%,354,0.0%,2.0%,56500,-5000 ( -8.1% ),7,-1 ( -12.5% ),220802863,28712,85
2017-04-15,2,0.0%,2,0%,290,0.0%,1.7%,36000,-20500 ( -36.3% ),5,-2 ( -28.6% ),220838863,28717,98
2017-04-16,2,0.0%,2,0%,256,0.0%,2.0%,41000,5000 ( 13.9% ),5,0 ( 0.0% ),220879863,28722,91
2017-04-18,1,0.0%,1,0%,166,0.0%,0.6%,6500,6500 ( 100.0% ),1,1 ( 100.0% ),220886363,28723,116
