날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-11,2,0.0%,5,0%,1126,0.0%,100.0%,7324000,7324000 ( 100.0% ),1126,1126 ( 100.0% ),7324000,1126,16
2018-11-22,1,0.0%,1,0%,284,0.0%,100.0%,2272000,2272000 ( 100.0% ),284,284 ( 100.0% ),9596000,1410,29
2018-11-26,44,0.9%,44,0.3%,7853,0.3%,94.7%,48523000,48523000 ( 100.0% ),7433,7433 ( 100.0% ),58119000,8843,5
2018-11-27,11,0.2%,13,0.1%,2318,0.1%,98.4%,20254000,-28269000 ( -58.3% ),2282,-5151 ( -69.3% ),78373000,11125,9
2018-11-28,2,0.0%,2,0%,406,0.0%,100.0%,2842000,-17412000 ( -86.0% ),406,-1876 ( -82.2% ),81215000,11531,23
2018-11-29,13,0.2%,15,0.1%,4433,0.2%,93.1%,26376000,23534000 ( 828.1% ),4126,3720 ( 916.3% ),107591000,15657,8
2018-11-30,1,0.0%,1,0%,159,0.0%,100.0%,954000,-25422000 ( -96.4% ),159,-3967 ( -96.1% ),108545000,15816,39
2018-12-03,8,0.1%,8,0%,1628,0.1%,84.0%,12480800,12480800 ( 100.0% ),1368,1368 ( 100.0% ),121025800,17184,10
2018-12-04,19,0.3%,19,0.1%,3563,0.1%,80.2%,18565900,6085100 ( 48.8% ),2858,1490 ( 108.9% ),139591700,20042,8
2018-12-05,854,16.0%,4323,24%,694233,24.4%,17.7%,959146850,940580950 ( 5066.2% ),122978,120120 ( 4202.9% ),1098738550,143020,1
2018-12-06,863,14.2%,3986,21.8%,638035,22.1%,17.6%,874480200,-84666650 ( -8.8% ),112469,-10509 ( -8.5% ),1973218750,255489,1
2018-12-07,913,14.8%,4226,22.6%,677926,23.0%,20.6%,1173723004,299242804 ( 34.2% ),139818,27349 ( 24.3% ),3146941754,395307,1
2018-12-08,954,14.7%,4553,22.9%,727889,23.3%,32.1%,2028220706,854497702 ( 72.8% ),233867,94049 ( 67.3% ),5175162460,629174,3
2018-12-09,948,14.6%,4425,22.6%,708416,23.1%,28.0%,1736457050,-291763656 ( -14.4% ),198391,-35476 ( -15.2% ),6911619510,827565,3
2018-12-10,919,15.2%,4130,23.1%,670823,23.7%,10.9%,576133500,-1160323550 ( -66.8% ),73418,-124973 ( -63.0% ),7487753010,900983,3
2018-12-11,913,14.5%,4084,22.7%,662156,23.4%,10.3%,527823200,-48310300 ( -8.4% ),68035,-5383 ( -7.3% ),8015576210,969018,3
2018-12-12,838,14.1%,3402,18.8%,563493,19.7%,11.8%,505783050,-22040150 ( -4.2% ),66503,-1532 ( -2.3% ),8521359260,1035521,3
2018-12-13,822,12.8%,3168,17.6%,523699,18.4%,12.4%,492799050,-12984000 ( -2.6% ),65151,-1352 ( -2.0% ),9014158310,1100672,3
2018-12-14,861,12.5%,3214,17.3%,519626,17.8%,17.1%,710310663,217511613 ( 44.1% ),88605,23454 ( 36.0% ),9724468973,1189277,3
2018-12-15,873,11.8%,3250,16.4%,513503,16.6%,25.0%,1091651063,381340400 ( 53.7% ),128392,39787 ( 44.9% ),10816120036,1317669,3
2018-12-16,853,11.8%,3147,16.3%,493562,16.3%,22.2%,950158300,-141492763 ( -13.0% ),109723,-18669 ( -14.5% ),11766278336,1427392,4
2018-12-17,788,13.0%,3085,17.6%,487962,17.5%,8.8%,329309100,-620849200 ( -65.3% ),42787,-66936 ( -61.0% ),12095587436,1470179,3
2018-12-18,808,12.4%,3025,17%,475749,17.0%,9.0%,323224300,-6084800 ( -1.8% ),42846,59 ( 0.1% ),12418811736,1513025,3
2018-12-19,163,2.6%,233,1.3%,27207,1.0%,22.6%,44076100,-279148200 ( -86.4% ),6138,-36708 ( -85.7% ),12462887836,1519163,10
2018-12-20,164,2.5%,231,1.3%,27715,1.0%,21.2%,42288600,-1787500 ( -4.1% ),5868,-270 ( -4.4% ),12505176436,1525031,9
2018-12-21,160,2.4%,225,1.3%,26583,1.0%,24.5%,51769750,9481150 ( 22.4% ),6514,646 ( 11.0% ),12556946186,1531545,9
2018-12-22,141,2.0%,209,1.1%,25719,0.9%,29.5%,65552700,13782950 ( 26.6% ),7581,1067 ( 16.4% ),12622498886,1539126,11
2018-12-23,134,1.9%,205,1.1%,25331,0.9%,27.1%,59843150,-5709550 ( -8.7% ),6876,-705 ( -9.3% ),12682342036,1546002,11
2018-12-24,111,1.5%,167,0.9%,20233,0.7%,23.3%,37449200,-22393950 ( -37.4% ),4713,-2163 ( -31.5% ),12719791236,1550715,12
2018-12-25,55,0.7%,91,0.5%,10372,0.3%,46.1%,40105150,2655950 ( 7.1% ),4783,70 ( 1.5% ),12759896386,1555498,13
