날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-22,2,0.0%,5,0%,1080,0.0%,100.0%,9688000,9688000 ( 100.0% ),1080,1080 ( 100.0% ),9688000,1080,14
2018-10-29,5,0.1%,5,0%,1593,0.1%,100.0%,11151000,11151000 ( 100.0% ),1593,1593 ( 100.0% ),20839000,2673,11
2018-11-05,7,0.1%,7,0%,1225,0.0%,100.0%,11025000,11025000 ( 100.0% ),1225,1225 ( 100.0% ),31864000,3898,13
2018-11-06,10,0.2%,10,0.1%,1692,0.1%,49.2%,7570000,-3455000 ( -31.3% ),833,-392 ( -32.0% ),39434000,4731,16
2018-11-07,666,12.9%,3131,18.1%,458868,16.7%,11.8%,429188850,421618850 ( 5569.6% ),54297,53464 ( 6418.2% ),468622850,59028,3
2018-11-08,693,12.4%,2867,16.5%,414692,15.0%,12.3%,404592600,-24596250 ( -5.7% ),51055,-3242 ( -6.0% ),873215450,110083,3
2018-11-09,715,12.5%,2833,15.8%,399902,14.1%,13.4%,457970463,53377863 ( 13.2% ),53633,2578 ( 5.0% ),1331185913,163716,3
2018-11-10,731,12.1%,2799,14.7%,379903,12.7%,24.7%,818858399,360887936 ( 78.8% ),93877,40244 ( 75.0% ),2150044312,257593,3
2018-11-11,717,11.8%,2687,14.4%,362550,12.4%,26.1%,832604150,13745751 ( 1.7% ),94622,745 ( 0.8% ),2982648462,352215,3
2018-11-12,666,12.9%,2563,15.2%,342976,12.7%,8.3%,224944700,-607659450 ( -73.0% ),28349,-66273 ( -70.0% ),3207593162,380564,3
2018-11-13,687,12.8%,2486,14.7%,330135,12.3%,7.8%,205599750,-19344950 ( -8.6% ),25888,-2461 ( -8.7% ),3413192912,406452,3
2018-11-14,397,8.4%,797,4.7%,88966,3.3%,11.6%,75214750,-130385000 ( -63.4% ),10320,-15568 ( -60.1% ),3488407662,416772,4
2018-11-15,336,6.0%,537,3.1%,61053,2.2%,11.5%,49803100,-25411650 ( -33.8% ),7007,-3313 ( -32.1% ),3538210762,423779,6
2018-11-16,324,5.8%,542,3.1%,60128,2.2%,11.8%,53783650,3980550 ( 8.0% ),7070,63 ( 0.9% ),3591994412,430849,6
2018-11-17,281,4.6%,443,2.4%,48568,1.7%,16.1%,61133400,7349750 ( 13.7% ),7805,735 ( 10.4% ),3653127812,438654,9
2018-11-18,278,4.5%,420,2.3%,46362,1.7%,15.0%,54318100,-6815300 ( -11.1% ),6971,-834 ( -10.7% ),3707445912,445625,9
2018-11-19,286,5.5%,444,2.7%,50442,1.9%,9.6%,34501050,-19817050 ( -36.5% ),4824,-2147 ( -30.8% ),3741946962,450449,7
2018-11-20,267,4.9%,424,2.6%,47990,1.8%,8.6%,28437000,-6064050 ( -17.6% ),4147,-677 ( -14.0% ),3770383962,454596,8
2018-11-21,231,4.4%,382,2.3%,41630,1.6%,9.5%,26178800,-2258200 ( -7.9% ),3969,-178 ( -4.3% ),3796562762,458565,7
2018-11-22,29,0.5%,41,0.2%,3170,0.1%,6.2%,1333900,-24844900 ( -94.9% ),196,-3773 ( -95.1% ),3797896662,458761,36
2018-11-23,28,0.5%,35,0.2%,3976,0.1%,17.5%,5051300,3717400 ( 278.7% ),694,498 ( 254.1% ),3802947962,459455,20
2018-11-24,23,0.4%,33,0.2%,2642,0.1%,9.0%,1621800,-3429500 ( -67.9% ),237,-457 ( -65.9% ),3804569762,459692,34
2018-11-25,23,0.4%,35,0.2%,2837,0.1%,8.0%,1492850,-128950 ( -8.0% ),226,-11 ( -4.6% ),3806062612,459918,30
2018-11-26,21,0.4%,23,0.1%,1711,0.1%,4.4%,471500,-1021350 ( -68.4% ),75,-151 ( -66.8% ),3806534112,459993,39
2018-11-27,20,0.4%,24,0.1%,2092,0.1%,5.6%,795500,324000 ( 68.7% ),118,43 ( 57.3% ),3807329612,460111,50
2018-11-28,4,0.1%,4,0%,374,0.0%,3.2%,60000,-735500 ( -92.5% ),12,-106 ( -89.8% ),3807389612,460123,100
2018-11-29,4,0.1%,4,0%,357,0.0%,21.6%,370000,310000 ( 516.7% ),77,65 ( 541.7% ),3807759612,460200,72
2018-12-01,1,0.0%,1,0%,137,0.0%,3.6%,40000,40000 ( 100.0% ),5,5 ( 100.0% ),3807799612,460205,137
2018-12-03,1,0.0%,1,0%,59,0.0%,3.4%,20000,20000 ( 100.0% ),2,2 ( 100.0% ),3807819612,460207,109
2018-12-04,1,0.0%,1,0%,177,0.0%,95.5%,845000,825000 ( 4125.0% ),169,167 ( 8350.0% ),3808664612,460376,38
2018-12-07,1,0.0%,2,0%,416,0.0%,1.0%,48000,48000 ( 100.0% ),4,4 ( 100.0% ),3808712612,460380,110
2018-12-13,2,0.0%,2,0%,209,0.0%,28.2%,266000,266000 ( 100.0% ),59,59 ( 100.0% ),3808978612,460439,62
2018-12-14,3,0.0%,3,0%,1017,0.0%,96.8%,8364000,8098000 ( 3044.4% ),984,925 ( 1567.8% ),3817342612,461423,24
2018-12-17,2,0.0%,2,0%,257,0.0%,27.6%,304000,304000 ( 100.0% ),71,71 ( 100.0% ),3817646612,461494,55
2018-12-18,3,0.0%,3,0%,447,0.0%,24.8%,479500,175500 ( 57.7% ),111,40 ( 56.3% ),3818126112,461605,61
2018-12-20,2,0.0%,2,0%,242,0.0%,36.4%,389000,389000 ( 100.0% ),88,88 ( 100.0% ),3818515112,461693,55
