날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-28,4,0.1%,4,0%,908,0.0%,100.0%,5448000,5448000 ( 100.0% ),908,908 ( 100.0% ),5448000,908,15
2016-02-01,1,0.0%,1,0%,300,0.0%,100.0%,2700000,2700000 ( 100.0% ),300,300 ( 100.0% ),8148000,1208,21
2016-02-03,2,0.0%,2,0%,700,0.0%,100.0%,4900000,4900000 ( 100.0% ),700,700 ( 100.0% ),13048000,1908,14
2016-02-04,4,0.1%,4,0%,1245,0.0%,100.0%,9510000,4610000 ( 94.1% ),1245,545 ( 77.9% ),22558000,3153,11
2016-02-13,1,0.0%,1,0%,118,0.0%,86.4%,1020000,1020000 ( 100.0% ),102,102 ( 100.0% ),23578000,3255,49
2016-02-14,1,0.0%,1,0%,183,0.0%,91.3%,1000000,-20000 ( -2.0% ),167,65 ( 63.7% ),24578000,3422,40
2016-02-15,7,0.2%,7,0%,1526,0.1%,99.9%,8520000,7520000 ( 752.0% ),1525,1358 ( 813.2% ),33098000,4947,16
2016-02-16,4,0.1%,4,0%,1149,0.0%,39.3%,3290000,-5230000 ( -61.4% ),451,-1074 ( -70.4% ),36388000,5398,19
2016-02-17,374,7.7%,1084,6.6%,142387,5.2%,13.4%,139569700,136279700 ( 4142.2% ),19124,18673 ( 4140.4% ),175957700,24522,5
2016-02-18,384,7.9%,1122,6.8%,145391,5.3%,18.5%,195496900,55927200 ( 40.1% ),26875,7751 ( 40.5% ),371454600,51397,5
2016-02-19,403,8.3%,1168,6.9%,151693,5.4%,23.8%,278462721,82965821 ( 42.4% ),36130,9255 ( 34.4% ),649917321,87527,5
2016-02-20,462,9.1%,1206,6.9%,157325,5.4%,43.8%,543972642,265509921 ( 95.3% ),68852,32722 ( 90.6% ),1193889963,156379,5
2016-02-21,499,9.9%,1282,7.5%,169276,6.0%,43.7%,583978500,40005858 ( 7.4% ),74035,5183 ( 7.5% ),1777868463,230414,5
2016-02-22,448,9.7%,1439,8.9%,193224,7.2%,24.2%,343564400,-240414100 ( -41.2% ),46731,-27304 ( -36.9% ),2121432863,277145,5
2016-02-23,471,9.9%,1517,9.3%,202374,7.5%,23.5%,346817000,3252600 ( 0.9% ),47480,749 ( 1.6% ),2468249863,324625,5
2016-02-24,456,9.5%,1473,9.2%,216435,8.1%,28.9%,366358500,19541500 ( 5.6% ),62460,14980 ( 31.6% ),2834608363,387085,5
2016-02-25,456,8.4%,1390,8.6%,214262,7.9%,17.7%,279573700,-86784800 ( -23.7% ),38021,-24439 ( -39.1% ),3114182063,425106,5
