날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-21,1,0.0%,1,0%,238,0.0%,100.0%,1904000,1904000 ( 100.0% ),238,238 ( 100.0% ),1904000,238,30
2016-09-22,5,0.1%,5,0%,1013,0.0%,100.0%,8104000,6200000 ( 325.6% ),1013,775 ( 325.6% ),10008000,1251,19
2016-09-29,22,0.5%,35,0.2%,4424,0.2%,12.8%,3975000,3975000 ( 100.0% ),565,565 ( 100.0% ),13983000,1816,20
2016-09-30,20,0.4%,34,0.2%,4220,0.2%,10.1%,2772000,-1203000 ( -30.3% ),428,-137 ( -24.2% ),16755000,2244,23
2016-10-02,1,0.0%,1,0%,59,0.0%,1.7%,10000,10000 ( 100.0% ),1,1 ( 100.0% ),16765000,2245,107
2016-10-03,1,0.0%,1,0%,59,0.0%,88.1%,520000,510000 ( 5100.0% ),52,51 ( 5100.0% ),17285000,2297,52
2016-10-04,1,0.0%,1,0%,102,0.0%,100.0%,891000,371000 ( 71.3% ),102,50 ( 96.2% ),18176000,2399,37
2016-10-05,119,2.6%,389,2.5%,55503,2.2%,4.1%,16488100,15597100 ( 1750.5% ),2274,2172 ( 2129.4% ),34664100,4673,8
2016-10-06,112,2.2%,330,2.1%,47921,1.8%,3.5%,11728300,-4759800 ( -28.9% ),1657,-617 ( -27.1% ),46392400,6330,12
2016-10-07,113,2.2%,295,1.8%,42650,1.6%,3.6%,12037000,308700 ( 2.6% ),1515,-142 ( -8.6% ),58429400,7845,12
2016-10-08,103,1.7%,224,1.3%,30729,1.1%,5.8%,14931100,2894100 ( 24.0% ),1782,267 ( 17.6% ),73360500,9627,16
2016-10-09,98,1.6%,206,1.2%,28315,1.0%,4.6%,10883000,-4048100 ( -27.1% ),1289,-493 ( -27.7% ),84243500,10916,16
2016-10-10,93,1.9%,197,1.3%,28297,1.1%,2.9%,5831000,-5052000 ( -46.4% ),830,-459 ( -35.6% ),90074500,11746,12
2016-10-11,89,1.8%,185,1.2%,26441,1.1%,2.6%,4841500,-989500 ( -17.0% ),682,-148 ( -17.8% ),94916000,12428,13
2016-10-12,89,1.8%,206,1.4%,29661,1.2%,2.7%,4690000,-151500 ( -3.1% ),799,117 ( 17.2% ),99606000,13227,12
2016-10-13,15,0.3%,19,0.1%,2471,0.1%,1.8%,310500,-4379500 ( -93.4% ),44,-755 ( -94.5% ),99916500,13271,60
2016-10-14,14,0.3%,18,0.1%,2000,0.1%,2.7%,440000,129500 ( 41.7% ),53,9 ( 20.5% ),100356500,13324,61
2016-10-15,15,0.3%,20,0.1%,2235,0.1%,4.2%,755500,315500 ( 71.7% ),94,41 ( 77.4% ),101112000,13418,53
2016-10-16,15,0.3%,18,0.1%,2176,0.1%,4.4%,858000,102500 ( 13.6% ),95,1 ( 1.1% ),101970000,13513,51
2016-10-17,15,0.3%,17,0.1%,2107,0.1%,1.9%,282000,-576000 ( -67.1% ),40,-55 ( -57.9% ),102252000,13553,49
2016-10-18,13,0.3%,18,0.1%,2366,0.1%,2.6%,427000,145000 ( 51.4% ),62,22 ( 55.0% ),102679000,13615,54
2016-10-19,3,0.1%,3,0%,352,0.0%,5.4%,153500,-273500 ( -64.1% ),19,-43 ( -69.4% ),102832500,13634,78
2016-10-22,3,0.1%,3,0%,407,0.0%,0.7%,12000,12000 ( 100.0% ),3,3 ( 100.0% ),102844500,13637,126
2016-10-23,3,0.1%,3,0%,407,0.0%,0.7%,12000,0 ( 0.0% ),3,0 ( 0.0% ),102856500,13640,133
2016-10-24,3,0.1%,3,0%,407,0.0%,0.7%,12000,0 ( 0.0% ),3,0 ( 0.0% ),102868500,13643,104
2016-10-25,2,0.0%,2,0%,304,0.0%,0.7%,9000,-3000 ( -25.0% ),2,-1 ( -33.3% ),102877500,13645,124
2016-10-26,3,0.1%,3,0%,457,0.0%,0.7%,9000,0 ( 0.0% ),3,1 ( 50.0% ),102886500,13648,102
2016-10-27,4,0.1%,4,0%,516,0.0%,0.8%,13000,4000 ( 44.4% ),4,1 ( 33.3% ),102899500,13652,98
2016-10-28,4,0.1%,4,0%,516,0.0%,0.8%,13000,0 ( 0.0% ),4,0 ( 0.0% ),102912500,13656,94
2016-10-29,2,0.0%,2,0%,304,0.0%,0.7%,7000,-6000 ( -46.2% ),2,-2 ( -50.0% ),102919500,13658,116
