날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-17,1,0.0%,1,0%,284,0.0%,100.0%,1704000,1704000 ( 100.0% ),284,284 ( 100.0% ),1704000,284,34
2017-01-18,1,0.0%,1,0%,255,0.0%,100.0%,2040000,336000 ( 19.7% ),255,-29 ( -10.2% ),3744000,539,30
2017-01-19,2,0.0%,2,0%,764,0.0%,100.0%,6112000,4072000 ( 199.6% ),764,509 ( 199.6% ),9856000,1303,17
2017-01-23,3,0.1%,3,0%,767,0.0%,66.0%,4048000,4048000 ( 100.0% ),506,506 ( 100.0% ),13904000,1809,14
2017-01-24,1,0.0%,1,0%,194,0.0%,0.0%,0,-4048000 ( -100.0% ),0,-506 ( -100.0% ),13904000,1809,98
2017-01-25,425,7.0%,1203,7%,161481,5.8%,8.0%,78334600,78334600 ( 100.0% ),12845,12845 ( 100.0% ),92238600,14654,6
2017-01-26,433,7.2%,1176,6.6%,159599,5.5%,8.4%,100009900,21675300 ( 27.7% ),13332,487 ( 3.8% ),192248500,27986,6
2017-01-27,400,6.2%,739,4%,95333,3.2%,13.7%,109502977,9493077 ( 9.5% ),13037,-295 ( -2.2% ),301751477,41023,8
2017-01-28,341,5.4%,581,3.2%,74639,2.5%,17.2%,108235166,-1267811 ( -1.2% ),12832,-205 ( -1.6% ),409986643,53855,7
2017-01-29,355,5.4%,575,3.1%,74611,2.5%,19.5%,121176100,12940934 ( 12.0% ),14526,1694 ( 13.2% ),531162743,68381,9
2017-01-30,347,5.3%,548,3%,70975,2.4%,17.2%,99799800,-21376300 ( -17.6% ),12235,-2291 ( -15.8% ),630962543,80616,9
2017-01-31,368,6.2%,780,4.5%,98730,3.5%,8.6%,62735700,-37064100 ( -37.1% ),8520,-3715 ( -30.4% ),693698243,89136,7
2017-02-01,218,4.1%,392,2.3%,50460,1.8%,5.6%,20698300,-42037400 ( -67.0% ),2845,-5675 ( -66.6% ),714396543,91981,8
2017-02-02,113,2.1%,179,1.1%,22859,0.8%,4.8%,8011700,-12686600 ( -61.3% ),1108,-1737 ( -61.1% ),722408243,93089,17
2017-02-03,116,2.1%,183,1.1%,23828,0.9%,5.0%,9836500,1824800 ( 22.8% ),1194,86 ( 7.8% ),732244743,94283,16
2017-02-04,103,1.7%,138,0.8%,18663,0.6%,8.9%,13518900,3682400 ( 37.4% ),1662,468 ( 39.2% ),745763643,95945,16
2017-02-05,94,1.6%,129,0.7%,18326,0.6%,8.2%,12057400,-1461500 ( -10.8% ),1511,-151 ( -9.1% ),757821043,97456,16
2017-02-06,100,1.9%,142,0.9%,18899,0.7%,4.0%,5642500,-6414900 ( -53.2% ),756,-755 ( -50.0% ),763463543,98212,14
2017-02-07,100,1.9%,145,0.9%,19415,0.7%,3.5%,4787000,-855500 ( -15.2% ),687,-69 ( -9.1% ),768250543,98899,20
2017-02-08,43,0.9%,73,0.4%,9494,0.3%,3.8%,2582500,-2204500 ( -46.1% ),358,-329 ( -47.9% ),770833043,99257,27
2017-02-09,5,0.1%,5,0%,580,0.0%,6.7%,268000,-2314500 ( -89.6% ),39,-319 ( -89.1% ),771101043,99296,67
2017-02-10,4,0.1%,4,0%,510,0.0%,7.1%,308000,40000 ( 14.9% ),36,-3 ( -7.7% ),771409043,99332,57
2017-02-11,6,0.1%,6,0%,671,0.0%,11.8%,668000,360000 ( 116.9% ),79,43 ( 119.4% ),772077043,99411,51
2017-02-12,5,0.1%,5,0%,593,0.0%,8.8%,430000,-238000 ( -35.6% ),52,-27 ( -34.2% ),772507043,99463,53
2017-02-13,4,0.1%,6,0%,803,0.0%,4.7%,305500,-124500 ( -29.0% ),38,-14 ( -26.9% ),772812543,99501,53
2017-02-14,4,0.1%,5,0%,623,0.0%,11.2%,549000,243500 ( 79.7% ),70,32 ( 84.2% ),773361543,99571,60
2017-02-16,1,0.0%,1,0%,450,0.0%,100.0%,2250000,2250000 ( 100.0% ),450,450 ( 100.0% ),775611543,100021,26
2017-03-23,1,0.0%,1,0%,30,0.0%,100.0%,180000,180000 ( 100.0% ),30,30 ( 100.0% ),775791543,100051,68
2017-09-04,2,0.0%,2,0%,312,0.0%,100.0%,2184000,2184000 ( 100.0% ),312,312 ( 100.0% ),777975543,100363,27
2017-09-06,2,0.0%,2,0%,312,0.0%,100.0%,2184000,2184000 ( 100.0% ),312,312 ( 100.0% ),780159543,100675,26
2017-09-08,2,0.0%,2,0%,312,0.0%,100.0%,2184000,2184000 ( 100.0% ),312,312 ( 100.0% ),782343543,100987,31
2017-09-25,1,0.0%,1,0%,158,0.0%,100.0%,1106000,1106000 ( 100.0% ),158,158 ( 100.0% ),783449543,101145,45
2017-09-26,1,0.0%,1,0%,158,0.0%,100.0%,1106000,0 ( 0.0% ),158,0 ( 0.0% ),784555543,101303,46
