날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-10,4,0.1%,4,0%,777,0.0%,100.0%,5439000,5439000 ( 100.0% ),777,777 ( 100.0% ),5439000,777,19
2017-01-11,2,0.0%,2,0%,190,0.0%,100.0%,1330000,-4109000 ( -75.5% ),190,-587 ( -75.5% ),6769000,967,34
2017-01-17,8,0.1%,8,0%,1493,0.1%,99.5%,11880000,11880000 ( 100.0% ),1485,1485 ( 100.0% ),18649000,2452,18
2017-01-18,2,0.0%,2,0%,286,0.0%,100.0%,2128000,-9752000 ( -82.1% ),286,-1199 ( -80.7% ),20777000,2738,27
2017-01-19,9,0.2%,9,0.1%,1404,0.1%,100.0%,9938000,7810000 ( 367.0% ),1404,1118 ( 390.9% ),30715000,4142,14
2017-01-23,1,0.0%,1,0%,261,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),30715000,4142,83
2017-01-24,2,0.0%,2,0%,239,0.0%,39.3%,752000,752000 ( 100.0% ),94,94 ( 100.0% ),31467000,4236,47
2017-01-25,1,0.0%,1,0%,102,0.0%,100.0%,918000,166000 ( 22.1% ),102,8 ( 8.5% ),32385000,4338,45
2017-01-26,1,0.0%,1,0%,85,0.0%,100.0%,744000,-174000 ( -19.0% ),85,-17 ( -16.7% ),33129000,4423,42
2017-01-29,10,0.2%,10,0.1%,1181,0.0%,70.2%,7056600,7056600 ( 100.0% ),829,829 ( 100.0% ),40185600,5252,18
2017-01-31,4,0.1%,4,0%,510,0.0%,60.0%,1836000,1836000 ( 100.0% ),306,306 ( 100.0% ),42021600,5558,27
2017-02-01,173,3.2%,803,4.8%,114536,4.2%,9.3%,79505500,77669500 ( 4230.4% ),10688,10382 ( 3392.8% ),121527100,16246,6
2017-02-02,176,3.3%,695,4.1%,99370,3.6%,7.9%,57512400,-21993100 ( -27.7% ),7806,-2882 ( -27.0% ),179039500,24052,7
2017-02-03,185,3.4%,651,3.8%,92447,3.3%,8.7%,65816000,8303600 ( 14.4% ),8035,229 ( 2.9% ),244855500,32087,8
2017-02-04,205,3.4%,567,3.2%,77128,2.6%,18.8%,122513000,56697000 ( 86.1% ),14480,6445 ( 80.2% ),367368500,46567,8
2017-02-05,197,3.3%,517,3%,70568,2.5%,18.2%,108780400,-13732600 ( -11.2% ),12872,-1608 ( -11.1% ),476148900,59439,8
2017-02-06,172,3.4%,555,3.5%,76823,2.9%,8.4%,42555600,-66224800 ( -60.9% ),6483,-6389 ( -49.6% ),518704500,65922,7
2017-02-07,179,3.4%,551,3.4%,76641,2.9%,7.7%,38688000,-3867600 ( -9.1% ),5879,-604 ( -9.3% ),557392500,71801,8
2017-02-08,150,3.0%,358,2.2%,48094,1.8%,8.9%,28069000,-10619000 ( -27.4% ),4287,-1592 ( -27.1% ),585461500,76088,10
2017-02-09,127,2.1%,201,1.2%,26513,1.0%,8.4%,14518900,-13550100 ( -48.3% ),2218,-2069 ( -48.3% ),599980400,78306,17
2017-02-10,140,2.3%,209,1.2%,27386,1.0%,11.3%,20253300,5734400 ( 39.5% ),3082,864 ( 39.0% ),620233700,81388,15
