날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-09,12,0.2%,12,0.1%,3593,0.1%,95.5%,41887000,41887000 ( 100.0% ),3430,3430 ( 100.0% ),41887000,3430,7
2018-04-11,2,0.0%,2,0%,297,0.0%,100.0%,2511000,2511000 ( 100.0% ),297,297 ( 100.0% ),44398000,3727,23
2018-04-12,784,13.6%,3751,20.8%,766586,26.3%,9.8%,604887250,602376250 ( 23989.5% ),74779,74482 ( 25078.1% ),649285250,78506,1
2018-04-13,836,13.8%,3950,21%,796087,26.2%,13.1%,914675475,309788225 ( 51.2% ),104368,29589 ( 39.6% ),1563960725,182874,1
2018-04-14,895,13.7%,4520,22.5%,902995,28.2%,30.4%,2410013347,1495337872 ( 163.5% ),274338,169970 ( 162.9% ),3973974072,457212,1
2018-04-15,909,14.0%,4474,23%,895216,28.7%,25.6%,2016598000,-393415347 ( -16.3% ),229406,-44932 ( -16.4% ),5990572072,686618,1
2018-04-16,829,15.0%,4077,23.4%,832776,29.5%,7.2%,480892900,-1535705100 ( -76.2% ),59825,-169581 ( -73.9% ),6471464972,746443,1
2018-04-17,836,14.8%,4053,23.5%,829501,29.6%,6.2%,415063000,-65829900 ( -13.7% ),51625,-8200 ( -13.7% ),6886527972,798068,1
2018-04-18,857,15.2%,4102,23.7%,839904,29.9%,6.3%,427503400,12440400 ( 3.0% ),53267,1642 ( 3.2% ),7314031372,851335,1
2018-04-19,737,11.9%,3349,19.5%,706177,25.4%,6.3%,362165600,-65337800 ( -15.3% ),44323,-8944 ( -16.8% ),7676196972,895658,1
2018-04-20,781,12.3%,3563,20.1%,743075,25.8%,9.0%,590253190,228087590 ( 63.0% ),66901,22578 ( 50.9% ),8266450162,962559,1
2018-04-21,887,12.6%,4241,22%,873960,28.2%,17.1%,1338664165,748410975 ( 126.8% ),149580,82679 ( 123.6% ),9605114327,1112139,1
2018-04-22,879,12.6%,4188,22.3%,861253,28.6%,17.1%,1332310500,-6353665 ( -0.5% ),147341,-2239 ( -1.5% ),10937424827,1259480,1
2018-04-23,799,13.3%,3700,22.1%,772573,28.4%,5.6%,353715900,-978594600 ( -73.5% ),43247,-104094 ( -70.6% ),11291140727,1302727,1
2018-04-24,817,13.3%,3610,22%,756722,28.3%,4.6%,284690700,-69025200 ( -19.5% ),35186,-8061 ( -18.6% ),11575831427,1337913,1
2018-04-25,362,6.8%,587,3.7%,75596,3.0%,9.6%,44254100,-240436600 ( -84.5% ),7263,-27923 ( -79.4% ),11620085527,1345176,5
2018-04-26,344,6.9%,588,3.7%,75861,3.0%,5.8%,35383700,-8870400 ( -20.0% ),4402,-2861 ( -39.4% ),11655469227,1349578,4
2018-04-27,343,6.9%,559,3.5%,72378,2.8%,7.4%,45968030,10584330 ( 29.9% ),5361,959 ( 21.8% ),11701437257,1354939,4
2018-04-28,301,5.8%,466,2.7%,58217,2.2%,15.7%,77575539,31607509 ( 68.8% ),9122,3761 ( 70.2% ),11779012796,1364061,3
2018-04-29,287,5.6%,423,2.5%,52893,2.0%,16.3%,73164900,-4410639 ( -5.7% ),8596,-526 ( -5.8% ),11852177696,1372657,3
2018-04-30,300,6.0%,489,3%,62889,2.5%,8.9%,42920000,-30244900 ( -41.3% ),5614,-2982 ( -34.7% ),11895097696,1378271,3
2018-05-01,110,2.3%,146,0.9%,17517,0.7%,14.9%,19432600,-23487400 ( -54.7% ),2607,-3007 ( -53.6% ),11914530296,1380878,7
2018-05-02,93,2.1%,128,0.8%,15898,0.6%,6.0%,7312100,-12120500 ( -62.4% ),959,-1648 ( -63.2% ),11921842396,1381837,9
2018-05-03,36,0.8%,48,0.3%,6026,0.2%,7.0%,3206200,-4105900 ( -56.2% ),419,-540 ( -56.3% ),11925048596,1382256,18
2018-05-04,38,0.8%,51,0.3%,6352,0.2%,11.8%,5967353,2761153 ( 86.1% ),751,332 ( 79.2% ),11931015949,1383007,14
2018-05-05,29,0.5%,34,0.2%,4394,0.2%,13.0%,4801560,-1165793 ( -19.5% ),572,-179 ( -23.8% ),11935817509,1383579,15
2018-05-06,29,0.5%,38,0.2%,5199,0.2%,14.2%,6427500,1625940 ( 33.9% ),739,167 ( 29.2% ),11942245009,1384318,13
2018-05-07,34,0.6%,41,0.2%,5842,0.2%,9.2%,4516600,-1910900 ( -29.7% ),535,-204 ( -27.6% ),11946761609,1384853,16
2018-05-08,37,0.8%,54,0.4%,7322,0.3%,4.3%,2400300,-2116300 ( -46.9% ),315,-220 ( -41.1% ),11949161909,1385168,20
2018-05-09,10,0.2%,11,0.1%,1726,0.1%,2.4%,302500,-2097800 ( -87.4% ),41,-274 ( -87.0% ),11949464409,1385209,54
2018-05-10,5,0.1%,5,0%,831,0.0%,3.5%,255100,-47400 ( -15.7% ),29,-12 ( -29.3% ),11949719509,1385238,51
2018-05-11,7,0.2%,7,0%,1290,0.0%,1.9%,212800,-42300 ( -16.6% ),25,-4 ( -13.8% ),11949932309,1385263,60
2018-05-12,7,0.1%,7,0%,1080,0.0%,6.6%,574200,361400 ( 169.8% ),71,46 ( 184.0% ),11950506509,1385334,45
2018-05-13,9,0.2%,9,0.1%,1216,0.0%,10.6%,1143100,568900 ( 99.1% ),129,58 ( 81.7% ),11951649609,1385463,33
2018-05-14,4,0.1%,4,0%,581,0.0%,4.1%,164500,-978600 ( -85.6% ),24,-105 ( -81.4% ),11951814109,1385487,57
2018-05-15,6,0.1%,6,0%,880,0.0%,2.2%,134000,-30500 ( -18.5% ),19,-5 ( -20.8% ),11951948109,1385506,70
2018-05-16,2,0.0%,2,0%,289,0.0%,1.7%,32000,-102000 ( -76.1% ),5,-14 ( -73.7% ),11951980109,1385511,83
