날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-20,2,0.0%,2,0%,927,0.0%,86.5%,14133000,14133000 ( 100.0% ),802,802 ( 100.0% ),14133000,802,18
2018-03-21,3,0.1%,3,0%,1419,0.1%,98.3%,14283000,150000 ( 1.1% ),1395,593 ( 73.9% ),28416000,2197,15
2018-03-26,4,0.1%,4,0%,1350,0.1%,100.0%,20769000,20769000 ( 100.0% ),1350,1350 ( 100.0% ),49185000,3547,11
2018-03-28,985,18.4%,4056,23.7%,777764,28.5%,19.3%,1005005000,1005005000 ( 100.0% ),149784,149784 ( 100.0% ),1054190000,153331,2
2018-03-29,965,18.5%,4058,23.8%,773098,28.4%,11.9%,781518400,-223486600 ( -22.2% ),91641,-58143 ( -38.8% ),1835708400,244972,2
2018-03-30,980,18.5%,4186,23.7%,793379,28.2%,17.0%,1245425012,463906612 ( 59.4% ),134675,43034 ( 47.0% ),3081133412,379647,2
2018-03-31,1079,19.1%,4594,24.3%,839756,28.0%,38.6%,2917268417,1671843405 ( 134.2% ),323881,189206 ( 140.5% ),5998401829,703528,2
2018-04-01,1058,19.0%,4460,24.3%,817487,28.0%,34.6%,2538255250,-379013167 ( -13.0% ),283181,-40700 ( -12.6% ),8536657079,986709,2
2018-04-02,959,20.4%,4145,25%,788937,29.3%,9.4%,629486200,-1908769050 ( -75.2% ),74329,-208852 ( -73.8% ),9166143279,1061038,2
2018-04-03,982,19.9%,4133,25%,784859,29.3%,8.0%,536259700,-93226500 ( -14.8% ),63033,-11296 ( -15.2% ),9702402979,1124071,2
2018-04-04,962,19.7%,4094,24.2%,775352,28.3%,8.8%,573146400,36886700 ( 6.9% ),68144,5111 ( 8.1% ),10275549379,1192215,2
2018-04-05,819,15.8%,3239,17.9%,625228,21.5%,9.7%,510856900,-62289500 ( -10.9% ),60436,-7708 ( -11.3% ),10786406279,1252651,3
2018-04-06,845,15.6%,3329,17.9%,634233,21.3%,13.7%,808764270,297907370 ( 58.3% ),87037,26601 ( 44.0% ),11595170549,1339688,3
2018-04-07,889,15.1%,3541,17.8%,642087,20.3%,32.7%,1935002564,1126238294 ( 139.3% ),209751,122714 ( 141.0% ),13530173113,1549439,2
2018-04-08,888,15.1%,3460,18%,629378,20.5%,28.1%,1621365900,-313636664 ( -16.2% ),176623,-33128 ( -15.8% ),15151539013,1726062,1
2018-04-09,786,15.8%,3194,18.5%,596906,21.4%,7.4%,365487600,-1255878300 ( -77.5% ),43926,-132697 ( -75.1% ),15517026613,1769988,3
2018-04-10,777,15.4%,3126,18.2%,587805,21.2%,6.5%,324751100,-40736500 ( -11.1% ),38108,-5818 ( -13.2% ),15841777713,1808096,3
2018-04-11,786,15.1%,3134,18.3%,593807,21.5%,7.3%,373564700,48813600 ( 15.0% ),43136,5028 ( 13.2% ),16215342413,1851232,2
2018-04-12,531,9.2%,1750,9.7%,302969,10.4%,7.7%,197715000,-175849700 ( -47.1% ),23446,-19690 ( -45.6% ),16413057413,1874678,6
2018-04-13,559,9.2%,1841,9.8%,316727,10.4%,11.7%,336169788,138454788 ( 70.0% ),37051,13605 ( 58.0% ),16749227201,1911729,4
2018-04-14,585,8.9%,1949,9.7%,329285,10.3%,26.6%,808254470,472084682 ( 140.4% ),87743,50692 ( 136.8% ),17557481671,1999472,3
2018-04-15,583,9.0%,1915,9.8%,324241,10.4%,20.5%,615113600,-193140870 ( -23.9% ),66630,-21113 ( -24.1% ),18172595271,2066102,3
2018-04-16,507,9.2%,1666,9.6%,286569,10.1%,5.8%,141392100,-473721500 ( -77.0% ),16533,-50097 ( -75.2% ),18313987371,2082635,5
2018-04-17,515,9.1%,1667,9.7%,288288,10.3%,5.1%,126331100,-15061000 ( -10.7% ),14694,-1839 ( -11.1% ),18440318471,2097329,5
2018-04-18,499,8.8%,1650,9.5%,284921,10.2%,5.2%,127557100,1226000 ( 1.0% ),14871,177 ( 1.2% ),18567875571,2112200,5
2018-04-19,429,6.9%,1128,6.6%,201184,7.2%,6.2%,113144800,-14412300 ( -11.3% ),12565,-2306 ( -15.5% ),18681020371,2124765,6
2018-04-20,444,7.0%,1186,6.7%,209217,7.3%,9.3%,190529600,77384800 ( 68.4% ),19446,6881 ( 54.8% ),18871549971,2144211,5
2018-04-21,503,7.1%,1316,6.8%,226571,7.3%,18.2%,406654000,216124400 ( 113.4% ),41303,21857 ( 112.4% ),19278203971,2185514,4
2018-04-22,494,7.1%,1298,6.9%,222007,7.4%,16.7%,365108700,-41545300 ( -10.2% ),37070,-4233 ( -10.2% ),19643312671,2222584,4
2018-04-23,446,7.4%,1166,7%,206122,7.6%,4.9%,91647500,-273461200 ( -74.9% ),10166,-26904 ( -72.6% ),19734960171,2232750,6
2018-04-24,442,7.2%,1139,6.9%,201234,7.5%,4.8%,88761700,-2885800 ( -3.1% ),9697,-469 ( -4.6% ),19823721871,2242447,7
2018-04-25,40,0.8%,52,0.3%,7048,0.3%,11.4%,5406200,-83355500 ( -93.9% ),802,-8895 ( -91.7% ),19829128071,2243249,12
