날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-18,1,0.0%,1,0%,274,0.0%,95.6%,1572000,1572000 ( 100.0% ),262,262 ( 100.0% ),1572000,262,26
2018-04-23,5,0.1%,7,0%,1132,0.0%,97.5%,8832000,8832000 ( 100.0% ),1104,1104 ( 100.0% ),10404000,1366,15
2018-04-26,6,0.1%,6,0%,973,0.0%,129.5%,10080000,10080000 ( 100.0% ),1260,1260 ( 100.0% ),20484000,2626,8
2018-04-30,14,0.3%,14,0.1%,2552,0.1%,100.0%,20403000,20403000 ( 100.0% ),2552,2552 ( 100.0% ),40887000,5178,8
2018-05-02,21,0.5%,21,0.1%,4098,0.2%,99.7%,34123000,34123000 ( 100.0% ),4084,4084 ( 100.0% ),75010000,9262,4
2018-05-03,15,0.3%,15,0.1%,2728,0.1%,69.6%,15735500,-18387500 ( -53.9% ),1898,-2186 ( -53.5% ),90745500,11160,7
2018-05-04,7,0.1%,7,0%,2148,0.1%,98.9%,20754000,5018500 ( 31.9% ),2124,226 ( 11.9% ),111499500,13284,8
2018-05-06,151,2.7%,250,1.4%,36855,1.3%,52.7%,176596500,176596500 ( 100.0% ),19414,19414 ( 100.0% ),288096000,32698,4
2018-05-07,156,2.8%,258,1.5%,37983,1.4%,49.9%,169068800,-7527700 ( -4.3% ),18959,-455 ( -2.3% ),457164800,51657,5
2018-05-08,16,0.3%,16,0.1%,2696,0.1%,72.4%,14297000,-154771800 ( -91.5% ),1951,-17008 ( -89.7% ),471461800,53608,5
2018-05-09,878,20.9%,4613,29%,706773,27.9%,9.0%,503920900,489623900 ( 3424.7% ),63660,61709 ( 3162.9% ),975382700,117268,2
2018-05-10,881,20.2%,4442,27.9%,680705,26.9%,7.9%,426906800,-77014100 ( -15.3% ),53923,-9737 ( -15.3% ),1402289500,171191,2
2018-05-11,902,20.2%,4614,27.9%,705861,27.0%,9.8%,593749474,166842674 ( 39.1% ),69096,15173 ( 28.1% ),1996038974,240287,2
2018-05-12,957,18.8%,4893,27.3%,757957,27.0%,21.6%,1451088483,857339009 ( 144.4% ),163425,94329 ( 136.5% ),3447127457,403712,2
2018-05-13,947,18.7%,4692,26.9%,725786,26.6%,18.3%,1179986600,-271101883 ( -18.7% ),133059,-30366 ( -18.6% ),4627114057,536771,2
2018-05-14,878,20.8%,4191,27.8%,649355,26.9%,5.0%,258721700,-921264900 ( -78.1% ),32344,-100715 ( -75.7% ),4885835757,569115,2
2018-05-15,923,20.8%,4120,27.2%,635379,26.3%,6.0%,294878000,36156300 ( 14.0% ),38090,5746 ( 17.8% ),5180713757,607205,2
2018-05-16,637,12.7%,2195,13.7%,290096,11.3%,7.1%,159111000,-135767000 ( -46.0% ),20525,-17565 ( -46.1% ),5339824757,627730,3
2018-05-17,528,10.1%,1494,8.9%,197116,7.3%,9.3%,140423900,-18687100 ( -11.7% ),18316,-2209 ( -10.8% ),5480248657,646046,4
2018-05-18,552,10.3%,1546,8.9%,200371,7.2%,11.0%,169109900,28686000 ( 20.4% ),21948,3632 ( 19.8% ),5649358557,667994,4
2018-05-19,541,9.2%,1348,7.3%,171549,5.8%,17.2%,252636500,83526600 ( 49.4% ),29488,7540 ( 34.4% ),5901995057,697482,5
2018-05-20,539,9.2%,1243,6.9%,156689,5.4%,17.3%,232997900,-19638600 ( -7.8% ),27045,-2443 ( -8.3% ),6134992957,724527,5
2018-05-21,539,9.7%,1340,7.5%,169683,6.0%,12.8%,163618500,-69379400 ( -29.8% ),21710,-5335 ( -19.7% ),6298611457,746237,5
2018-05-22,235,4.1%,359,2%,42375,1.5%,18.0%,61840300,-101778200 ( -62.2% ),7633,-14077 ( -64.8% ),6360451757,753870,8
2018-05-23,179,3.6%,260,1.5%,31648,1.2%,5.7%,12732700,-49107600 ( -79.4% ),1802,-5831 ( -76.4% ),6373184457,755672,8
2018-05-24,158,3.0%,199,1.2%,25118,0.9%,20.1%,35829800,23097100 ( 181.4% ),5058,3256 ( 180.7% ),6409014257,760730,7
2018-05-25,148,2.7%,189,1.1%,23117,0.8%,6.8%,10487400,-25342400 ( -70.7% ),1573,-3485 ( -68.9% ),6419501657,762303,9
2018-05-26,117,1.9%,155,0.8%,18011,0.6%,10.5%,13968700,3481300 ( 33.2% ),1884,311 ( 19.8% ),6433470357,764187,10
2018-05-27,111,1.9%,145,0.8%,17739,0.6%,8.7%,11728600,-2240100 ( -16.0% ),1549,-335 ( -17.8% ),6445198957,765736,10
2018-05-28,87,1.7%,117,0.7%,14728,0.6%,3.9%,3925700,-7802900 ( -66.5% ),569,-980 ( -63.3% ),6449124657,766305,12
2018-05-29,103,2.0%,135,0.8%,16970,0.6%,6.3%,7177000,3251300 ( 82.8% ),1063,494 ( 86.8% ),6456301657,767368,10
2018-05-30,28,0.5%,33,0.2%,3767,0.1%,20.1%,4048300,-3128700 ( -43.6% ),756,-307 ( -28.9% ),6460349957,768124,17
2018-05-31,19,0.3%,23,0.1%,2815,0.1%,16.2%,2670500,-1377800 ( -34.0% ),455,-301 ( -39.8% ),6463020457,768579,27
2018-06-01,14,0.2%,17,0.1%,2191,0.1%,2.7%,514400,-2156100 ( -80.7% ),59,-396 ( -87.0% ),6463534857,768638,51
2018-06-02,11,0.2%,16,0.1%,2111,0.1%,5.5%,827000,312600 ( 60.8% ),117,58 ( 98.3% ),6464361857,768755,40
2018-06-03,14,0.2%,20,0.1%,2540,0.1%,11.9%,2303300,1476300 ( 178.5% ),301,184 ( 157.3% ),6466665157,769056,26
2018-06-04,10,0.2%,12,0.1%,1461,0.1%,2.9%,338300,-1965000 ( -85.3% ),43,-258 ( -85.7% ),6467003457,769099,57
2018-06-05,11,0.2%,14,0.1%,1662,0.1%,2.8%,359600,21300 ( 6.3% ),46,3 ( 7.0% ),6467363057,769145,61
2018-06-06,5,0.1%,6,0%,842,0.0%,2.5%,203800,-155800 ( -43.3% ),21,-25 ( -54.3% ),6467566857,769166,72
2018-06-07,5,0.1%,5,0%,689,0.0%,25.3%,1196000,992200 ( 486.8% ),174,153 ( 728.6% ),6468762857,769340,32
2018-06-08,4,0.1%,5,0%,702,0.0%,3.6%,246500,-949500 ( -79.4% ),25,-149 ( -85.6% ),6469009357,769365,62
2018-06-09,2,0.0%,2,0%,271,0.0%,1.5%,34000,-212500 ( -86.2% ),4,-21 ( -84.0% ),6469043357,769369,91
2018-06-10,1,0.0%,1,0%,106,0.0%,1.9%,16000,-18000 ( -52.9% ),2,-2 ( -50.0% ),6469059357,769371,97
2018-06-11,3,0.1%,3,0%,455,0.0%,43.1%,1400000,1384000 ( 8650.0% ),196,194 ( 9700.0% ),6470459357,769567,25
2018-06-12,7,0.1%,8,0%,1242,0.0%,30.2%,2495300,1095300 ( 78.2% ),375,179 ( 91.3% ),6472954657,769942,23
2018-06-14,4,0.1%,4,0%,840,0.0%,14.3%,960000,960000 ( 100.0% ),120,120 ( 100.0% ),6473914657,770062,33
2018-06-15,6,0.1%,6,0%,974,0.0%,27.6%,1705000,745000 ( 77.6% ),269,149 ( 124.2% ),6475619657,770331,23
2018-06-16,5,0.1%,5,0%,955,0.0%,15.7%,1200000,-505000 ( -29.6% ),150,-119 ( -44.2% ),6476819657,770481,31
2018-06-17,5,0.1%,5,0%,955,0.0%,15.7%,1200000,0 ( 0.0% ),150,0 ( 0.0% ),6478019657,770631,25
2018-06-18,4,0.1%,4,0%,782,0.0%,15.3%,960000,-240000 ( -20.0% ),120,-30 ( -20.0% ),6478979657,770751,31
2018-06-20,1,0.0%,1,0%,232,0.0%,94.8%,1100000,1100000 ( 100.0% ),220,220 ( 100.0% ),6480079657,770971,28
2018-06-21,1,0.0%,1,0%,100,0.0%,20.0%,100000,-1000000 ( -90.9% ),20,-200 ( -90.9% ),6480179657,770991,61
2018-07-04,1,0.0%,1,0%,108,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),6480179657,770991,109
2018-07-06,1,0.0%,1,0%,108,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),6480179657,770991,103
2018-07-26,1,0.0%,1,0%,255,0.0%,58.8%,1200000,1200000 ( 100.0% ),150,150 ( 100.0% ),6481379657,771141,35
