날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-16,1,0.0%,1,0%,274,0.0%,95.6%,2358000,2358000 ( 100.0% ),262,262 ( 100.0% ),2358000,262,28
2018-03-17,22,0.4%,22,0.1%,2489,0.1%,58.5%,12692000,10334000 ( 438.3% ),1456,1194 ( 455.7% ),15050000,1718,19
2018-03-18,3,0.0%,3,0%,804,0.0%,48.8%,3249000,-9443000 ( -74.4% ),392,-1064 ( -73.1% ),18299000,2110,29
2018-03-19,3,0.1%,3,0%,407,0.0%,33.9%,1082000,-2167000 ( -66.7% ),138,-254 ( -64.8% ),19381000,2248,34
2018-03-20,3,0.1%,3,0%,425,0.0%,70.1%,2525000,1443000 ( 133.4% ),298,160 ( 115.9% ),21906000,2546,27
2018-03-23,2,0.0%,2,0%,451,0.0%,100.0%,3608000,3608000 ( 100.0% ),451,451 ( 100.0% ),25514000,2997,21
2018-03-24,2,0.0%,2,0%,706,0.0%,49.0%,3028000,-580000 ( -16.1% ),346,-105 ( -23.3% ),28542000,3343,28
2018-03-27,1,0.0%,1,0%,274,0.0%,95.6%,2096000,2096000 ( 100.0% ),262,262 ( 100.0% ),30638000,3605,29
2018-03-31,2,0.0%,2,0%,486,0.0%,82.1%,3565000,3565000 ( 100.0% ),399,399 ( 100.0% ),34203000,4004,23
2018-04-01,1,0.0%,1,0%,293,0.0%,47.1%,1363000,-2202000 ( -61.8% ),138,-261 ( -65.4% ),35566000,4142,32
2018-04-02,4,0.1%,4,0%,886,0.0%,85.0%,6669500,5306500 ( 389.3% ),753,615 ( 445.7% ),42235500,4895,15
2018-04-03,10,0.2%,10,0.1%,1627,0.1%,81.4%,9438500,2769000 ( 41.5% ),1325,572 ( 76.0% ),51674000,6220,13
2018-04-04,336,6.9%,823,4.9%,116278,4.2%,6.9%,59284000,49845500 ( 528.1% ),8017,6692 ( 505.1% ),110958000,14237,5
2018-04-05,332,6.4%,756,4.2%,107626,3.7%,6.5%,51388300,-7895700 ( -13.3% ),6986,-1031 ( -12.9% ),162346300,21223,7
2018-04-06,344,6.3%,783,4.2%,108499,3.6%,7.2%,64434700,13046400 ( 25.4% ),7835,849 ( 12.2% ),226781000,29058,6
2018-04-07,310,5.3%,599,3%,79746,2.5%,13.9%,93072800,28638100 ( 44.4% ),11090,3255 ( 41.5% ),319853800,40148,7
2018-04-08,309,5.3%,578,3%,78172,2.5%,12.3%,79319700,-13753100 ( -14.8% ),9604,-1486 ( -13.4% ),399173500,49752,7
2018-04-09,287,5.8%,643,3.7%,88992,3.2%,5.8%,38586500,-40733200 ( -51.4% ),5188,-4416 ( -46.0% ),437760000,54940,6
2018-04-10,297,5.9%,635,3.7%,88290,3.2%,5.9%,37808600,-777900 ( -2.0% ),5168,-20 ( -0.4% ),475568600,60108,6
2018-04-11,290,5.6%,616,3.6%,86917,3.1%,6.3%,42531300,4722700 ( 12.5% ),5473,305 ( 5.9% ),518099900,65581,7
2018-04-12,73,1.3%,132,0.7%,17263,0.6%,11.1%,15538300,-26993000 ( -63.5% ),1924,-3549 ( -64.8% ),533638200,67505,12
