날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-27,1,0.0%,1,0%,160,0.0%,100.0%,1440000,1440000 ( 100.0% ),160,160 ( 100.0% ),1440000,160,32
2016-06-28,12,0.3%,12,0.1%,2675,0.1%,99.1%,30009000,28569000 ( 1984.0% ),2651,2491 ( 1556.9% ),31449000,2811,12
2016-06-29,540,10.7%,2595,15.7%,482780,17.5%,17.5%,554446600,524437600 ( 1747.6% ),84540,81889 ( 3089.0% ),585895600,87351,3
2016-06-30,539,10.7%,2580,15.5%,479203,17.3%,12.3%,471278800,-83167800 ( -15.0% ),58987,-25553 ( -30.2% ),1057174400,146338,3
2016-07-01,554,10.8%,2631,15.6%,485134,17.2%,14.9%,651874956,180596156 ( 38.3% ),72114,13127 ( 22.3% ),1709049356,218452,2
2016-07-02,583,10.4%,2685,15%,483031,16.2%,36.1%,1563519421,911644465 ( 139.8% ),174142,102028 ( 141.5% ),3272568777,392594,2
2016-07-03,593,10.7%,2702,15.6%,483313,16.7%,33.0%,1424966740,-138552681 ( -8.9% ),159552,-14590 ( -8.4% ),4697535517,552146,2
2016-07-04,527,11.0%,2541,15.9%,480133,18.0%,9.7%,377304000,-1047662740 ( -73.5% ),46678,-112874 ( -70.7% ),5074839517,598824,2
2016-07-05,530,10.7%,2548,16%,481176,18.1%,10.0%,392208500,14904500 ( 4.0% ),48346,1668 ( 3.6% ),5467048017,647170,2
2016-07-06,427,8.6%,1457,9.1%,232067,8.7%,10.9%,194060700,-198147800 ( -50.5% ),25328,-23018 ( -47.6% ),5661108717,672498,4
2016-07-07,435,8.2%,1307,8.1%,209879,7.8%,10.0%,162796100,-31264600 ( -16.1% ),21042,-4286 ( -16.9% ),5823904817,693540,4
2016-07-08,458,8.2%,1333,8.1%,211430,7.7%,13.1%,236017500,73221400 ( 45.0% ),27798,6756 ( 32.1% ),6059922317,721338,4
2016-07-09,481,7.6%,1033,5.9%,151267,5.2%,32.2%,420724000,184706500 ( 78.3% ),48708,20910 ( 75.2% ),6480646317,770046,5
2016-07-10,464,7.4%,994,5.9%,146185,5.2%,29.6%,370920100,-49803900 ( -11.8% ),43293,-5415 ( -11.1% ),6851566417,813339,5
2016-07-11,408,8.0%,1192,7.6%,186678,7.1%,7.7%,110809900,-260110200 ( -70.1% ),14284,-29009 ( -67.0% ),6962376317,827623,4
2016-07-12,415,7.1%,980,6.3%,151376,5.8%,7.1%,81366700,-29443200 ( -26.6% ),10820,-3464 ( -24.3% ),7043743017,838443,5
2016-07-13,149,3.1%,301,1.9%,42595,1.6%,8.1%,24956200,-56410500 ( -69.3% ),3465,-7355 ( -68.0% ),7068699217,841908,8
2016-07-14,130,2.6%,223,1.4%,31134,1.2%,8.0%,18097700,-6858500 ( -27.5% ),2477,-988 ( -28.5% ),7086796917,844385,10
2016-07-15,121,2.0%,199,1.2%,27246,1.0%,8.2%,17385500,-712200 ( -3.9% ),2246,-231 ( -9.3% ),7104182417,846631,10
2016-07-16,108,1.7%,160,0.9%,21025,0.7%,20.6%,35097700,17712200 ( 101.9% ),4326,2080 ( 92.6% ),7139280117,850957,10
2016-07-17,110,1.8%,150,0.9%,20486,0.7%,17.1%,28771000,-6326700 ( -18.0% ),3503,-823 ( -19.0% ),7168051117,854460,10
2016-07-18,111,2.3%,201,1.3%,27540,1.1%,5.5%,11350500,-17420500 ( -60.5% ),1521,-1982 ( -56.6% ),7179401617,855981,14
2016-07-19,107,2.1%,174,1.1%,24106,0.9%,6.5%,11102100,-248400 ( -2.2% ),1564,43 ( 2.8% ),7190503717,857545,15
2016-07-20,5,0.1%,6,0%,931,0.0%,22.1%,1479000,-9623100 ( -86.7% ),206,-1358 ( -86.8% ),7191982717,857751,30
2016-07-21,4,0.1%,4,0%,853,0.0%,29.5%,1844000,365000 ( 24.7% ),252,46 ( 22.3% ),7193826717,858003,25
2016-07-22,2,0.0%,2,0%,549,0.0%,10.6%,492000,-1352000 ( -73.3% ),58,-194 ( -77.0% ),7194318717,858061,46
2016-07-23,1,0.0%,1,0%,285,0.0%,20.4%,472000,-20000 ( -4.1% ),58,0 ( 0.0% ),7194790717,858119,59
2016-07-24,2,0.0%,2,0%,445,0.0%,9.4%,360000,-112000 ( -23.7% ),42,-16 ( -27.6% ),7195150717,858161,58
2016-07-25,4,0.1%,4,0%,746,0.0%,9.4%,464000,104000 ( 28.9% ),70,28 ( 66.7% ),7195614717,858231,56
2016-07-26,1,0.0%,2,0%,264,0.0%,12.5%,261000,-203000 ( -43.8% ),33,-37 ( -52.9% ),7195875717,858264,67
2016-07-27,1,0.0%,1,0%,173,0.0%,79.8%,1095000,834000 ( 319.5% ),138,105 ( 318.2% ),7196970717,858402,36
