날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-19,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),3208000,401,21
2017-01-25,545,9.0%,2068,12%,290363,10.3%,24.5%,475128400,475128400 ( 100.0% ),71038,71038 ( 100.0% ),478336400,71439,3
2017-01-26,546,9.0%,2108,11.8%,292169,10.1%,24.9%,574263900,99135500 ( 20.9% ),72754,1716 ( 2.4% ),1052600300,144193,3
2017-01-27,578,8.9%,1759,9.5%,230703,7.7%,34.2%,703366389,129102489 ( 22.5% ),78851,6097 ( 8.4% ),1755966689,223044,4
2017-01-28,585,9.2%,1708,9.4%,225167,7.6%,36.9%,755843534,52477145 ( 7.5% ),83047,4196 ( 5.3% ),2511810223,306091,4
2017-01-29,599,9.1%,1676,9%,220149,7.3%,47.0%,930224650,174381116 ( 23.1% ),103452,20405 ( 24.6% ),3442034873,409543,4
2017-01-30,576,8.9%,1613,8.9%,210932,7.2%,42.9%,803385400,-126839250 ( -13.6% ),90436,-13016 ( -12.6% ),4245420273,499979,4
2017-01-31,541,9.2%,1936,11.2%,264848,9.4%,17.8%,366385800,-436999600 ( -54.4% ),47201,-43235 ( -47.8% ),4611806073,547180,3
2017-02-01,497,9.2%,1727,10.3%,239108,8.7%,12.1%,224355000,-142030800 ( -38.8% ),29001,-18200 ( -38.6% ),4836161073,576181,3
2017-02-02,446,8.3%,1341,8%,182279,6.6%,11.8%,167024200,-57330800 ( -25.6% ),21561,-7440 ( -25.7% ),5003185273,597742,4
2017-02-03,468,8.6%,1394,8.1%,188590,6.7%,13.4%,220219750,53195550 ( 31.8% ),25268,3707 ( 17.2% ),5223405023,623010,4
2017-02-04,486,8.1%,1255,7%,164504,5.6%,28.2%,405987342,185767592 ( 84.4% ),46339,21071 ( 83.4% ),5629392365,669349,5
2017-02-05,473,8.0%,1216,7%,159476,5.6%,24.2%,339636900,-66350442 ( -16.3% ),38653,-7686 ( -16.6% ),5969029265,708002,5
2017-02-06,465,9.1%,1324,8.3%,179938,6.8%,8.8%,123567900,-216069000 ( -63.6% ),15899,-22754 ( -58.9% ),6092597165,723901,4
2017-02-07,462,8.7%,1309,8.1%,176793,6.7%,8.3%,113581700,-9986200 ( -8.1% ),14727,-1172 ( -7.4% ),6206178865,738628,4
2017-02-08,348,6.9%,981,5.9%,129557,4.7%,7.6%,75332900,-38248800 ( -33.7% ),9824,-4903 ( -33.3% ),6281511765,748452,7
2017-02-09,108,1.8%,185,1.1%,24050,0.9%,9.4%,17312400,-58020500 ( -77.0% ),2250,-7574 ( -77.1% ),6298824165,750702,16
2017-02-10,112,1.8%,184,1.1%,24018,0.8%,11.0%,22905600,5593200 ( 32.3% ),2635,385 ( 17.1% ),6321729765,753337,16
2017-02-11,101,1.5%,156,0.9%,20634,0.7%,20.7%,37107600,14202000 ( 62.0% ),4265,1630 ( 61.9% ),6358837365,757602,15
2017-02-12,101,1.5%,155,0.9%,20796,0.7%,17.2%,31109000,-5998600 ( -16.2% ),3572,-693 ( -16.2% ),6389946365,761174,16
2017-02-13,105,1.8%,172,1%,22470,0.8%,7.6%,13069000,-18040000 ( -58.0% ),1697,-1875 ( -52.5% ),6403015365,762871,16
2017-02-14,102,1.6%,165,1%,21756,0.8%,8.3%,13919500,850500 ( 6.5% ),1802,105 ( 6.2% ),6416934865,764673,20
2017-02-15,4,0.1%,5,0%,898,0.0%,10.0%,735000,-13184500 ( -94.7% ),90,-1712 ( -95.0% ),6417669865,764763,53
2017-02-16,1,0.0%,1,0%,268,0.0%,7.8%,167000,-568000 ( -77.3% ),21,-69 ( -76.7% ),6417836865,764784,73
2017-02-17,1,0.0%,3,0%,372,0.0%,34.4%,1280500,1113500 ( 666.8% ),128,107 ( 509.5% ),6419117365,764912,42
2017-02-18,1,0.0%,2,0%,248,0.0%,50.4%,1093000,-187500 ( -14.6% ),125,-3 ( -2.3% ),6420210365,765037,44
2017-02-19,2,0.0%,3,0%,380,0.0%,25.8%,948500,-144500 ( -13.2% ),98,-27 ( -21.6% ),6421158865,765135,51
2017-02-20,1,0.0%,1,0%,158,0.0%,19.6%,262500,-686000 ( -72.3% ),31,-67 ( -68.4% ),6421421365,765166,62
2017-02-21,1,0.0%,2,0%,412,0.0%,22.6%,781000,518500 ( 197.5% ),93,62 ( 200.0% ),6422202365,765259,47
