날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-28,1,0.0%,1,0%,124,0.0%,80.6%,600000,600000 ( 100.0% ),100,100 ( 100.0% ),600000,100,48
2016-02-01,2,0.0%,2,0%,334,0.0%,91.3%,1830000,1830000 ( 100.0% ),305,305 ( 100.0% ),2430000,405,20
2016-02-02,4,0.1%,4,0%,905,0.0%,98.0%,6192000,4362000 ( 238.4% ),887,582 ( 190.8% ),8622000,1292,14
2016-02-03,1,0.0%,1,0%,116,0.0%,81.9%,570000,-5622000 ( -90.8% ),95,-792 ( -89.3% ),9192000,1387,41
2016-02-04,3,0.1%,4,0%,665,0.0%,96.7%,4355000,3785000 ( 664.0% ),643,548 ( 576.8% ),13547000,2030,16
2016-02-15,5,0.1%,5,0%,698,0.0%,88.7%,4864000,4864000 ( 100.0% ),619,619 ( 100.0% ),18411000,2649,22
2016-02-16,3,0.1%,3,0%,428,0.0%,86.7%,2352000,-2512000 ( -51.6% ),371,-248 ( -40.1% ),20763000,3020,23
2016-02-18,10,0.2%,10,0.1%,1953,0.1%,84.6%,10983000,10983000 ( 100.0% ),1652,1652 ( 100.0% ),31746000,4672,13
2016-02-21,1,0.0%,2,0%,514,0.0%,100.0%,3084000,3084000 ( 100.0% ),514,514 ( 100.0% ),34830000,5186,16
2016-02-22,1,0.0%,1,0%,144,0.0%,69.4%,800000,-2284000 ( -74.1% ),100,-414 ( -80.5% ),35630000,5286,39
2016-02-23,1,0.0%,1,0%,200,0.0%,100.0%,1200000,400000 ( 50.0% ),200,100 ( 100.0% ),36830000,5486,29
2016-02-24,5,0.1%,5,0%,601,0.0%,35.8%,1274000,74000 ( 6.2% ),215,15 ( 7.5% ),38104000,5701,28
2016-02-25,104,1.9%,219,1.4%,29276,1.1%,9.2%,17750400,16476400 ( 1293.3% ),2707,2492 ( 1159.1% ),55854400,8408,14
2016-02-26,109,1.9%,207,1.2%,27777,1.0%,8.9%,17166700,-583700 ( -3.3% ),2484,-223 ( -8.2% ),73021100,10892,14
2016-02-27,111,1.9%,179,1%,23689,0.8%,11.1%,18013800,847100 ( 4.9% ),2631,147 ( 5.9% ),91034900,13523,14
2016-02-28,119,2.0%,174,1%,23192,0.8%,17.6%,27009500,8995700 ( 49.9% ),4076,1445 ( 54.9% ),118044400,17599,14
2016-02-29,111,2.0%,169,1%,22182,0.8%,6.9%,10589300,-16420200 ( -60.8% ),1539,-2537 ( -62.2% ),128633700,19138,17
2016-03-01,106,1.8%,157,0.9%,20330,0.7%,16.1%,23775900,13186600 ( 124.5% ),3266,1727 ( 112.2% ),152409600,22404,14
2016-03-02,87,1.7%,132,0.9%,17032,0.7%,6.3%,7226000,-16549900 ( -69.6% ),1081,-2185 ( -66.9% ),159635600,23485,18
