날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-24,1,0.0%,1,0%,76,0.0%,100.0%,388000,388000 ( 100.0% ),76,76 ( 100.0% ),388000,76,52
2018-02-25,1,0.0%,1,0%,76,0.0%,100.0%,379500,-8500 ( -2.2% ),76,0 ( 0.0% ),767500,152,49
2018-02-28,1,0.0%,1,0%,126,0.0%,100.0%,1134000,1134000 ( 100.0% ),126,126 ( 100.0% ),1901500,278,43
2018-03-05,1,0.0%,1,0%,200,0.0%,100.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),3701500,478,25
2018-03-06,2,0.0%,2,0%,374,0.0%,100.0%,2992000,1192000 ( 66.2% ),374,174 ( 87.0% ),6693500,852,21
2018-03-14,248,4.8%,530,3.1%,71885,2.6%,4.5%,23103800,23103800 ( 100.0% ),3238,3238 ( 100.0% ),29797300,4090,9
2018-03-15,255,4.6%,502,2.9%,67918,2.5%,4.2%,20872300,-2231500 ( -9.7% ),2856,-382 ( -11.8% ),50669600,6946,10
2018-03-16,242,4.4%,477,2.7%,64204,2.3%,5.1%,27095600,6223300 ( 29.8% ),3301,445 ( 15.6% ),77765200,10247,10
2018-03-17,252,4.0%,416,2.2%,53959,1.8%,7.4%,32800500,5704900 ( 21.1% ),3996,695 ( 21.1% ),110565700,14243,13
2018-03-18,257,4.2%,405,2.2%,51559,1.8%,7.5%,31760500,-1040000 ( -3.2% ),3855,-141 ( -3.5% ),142326200,18098,13
2018-03-19,218,4.1%,360,2.2%,49217,1.9%,3.3%,11482400,-20278100 ( -63.8% ),1600,-2255 ( -58.5% ),153808600,19698,12
2018-03-20,223,4.1%,363,2.3%,49714,1.9%,3.4%,12111700,629300 ( 5.5% ),1684,84 ( 5.3% ),165920300,21382,14
2018-03-21,40,0.8%,50,0.3%,5737,0.2%,6.0%,2428500,-9683200 ( -79.9% ),346,-1338 ( -79.5% ),168348800,21728,25
2018-03-22,13,0.2%,19,0.1%,2082,0.1%,14.0%,1637000,-791500 ( -32.6% ),291,-55 ( -15.9% ),169985800,22019,28
2018-03-23,14,0.3%,19,0.1%,2176,0.1%,8.0%,1338800,-298200 ( -18.2% ),174,-117 ( -40.2% ),171324600,22193,34
2018-03-24,18,0.3%,22,0.1%,1984,0.1%,12.4%,1916000,577200 ( 43.1% ),246,72 ( 41.4% ),173240600,22439,32
2018-03-25,21,0.3%,25,0.1%,2291,0.1%,13.5%,2355000,439000 ( 22.9% ),309,63 ( 25.6% ),175595600,22748,30
2018-03-26,14,0.3%,17,0.1%,1515,0.1%,6.7%,631000,-1724000 ( -73.2% ),102,-207 ( -67.0% ),176226600,22850,37
2018-03-27,21,0.4%,24,0.1%,2551,0.1%,16.9%,3619000,2988000 ( 473.5% ),431,329 ( 322.5% ),179845600,23281,22
2018-03-28,1,0.0%,1,0%,54,0.0%,1.9%,5000,-3614000 ( -99.9% ),1,-430 ( -99.8% ),179850600,23282,105
2018-03-29,1,0.0%,1,0%,54,0.0%,14.8%,67000,62000 ( 1240.0% ),8,7 ( 700.0% ),179917600,23290,76
2018-03-30,1,0.0%,1,0%,54,0.0%,13.0%,35000,-32000 ( -47.8% ),7,-1 ( -12.5% ),179952600,23297,77
2018-03-31,1,0.0%,1,0%,54,0.0%,9.3%,37000,2000 ( 5.7% ),5,-2 ( -28.6% ),179989600,23302,82
2018-04-01,1,0.0%,1,0%,54,0.0%,20.4%,80000,43000 ( 116.2% ),11,6 ( 120.0% ),180069600,23313,69
2018-04-02,1,0.0%,1,0%,54,0.0%,7.4%,27000,-53000 ( -66.3% ),4,-7 ( -63.6% ),180096600,23317,65
2018-04-03,1,0.0%,1,0%,54,0.0%,3.7%,18000,-9000 ( -33.3% ),2,-2 ( -50.0% ),180114600,23319,78
2018-04-04,1,0.0%,1,0%,150,0.0%,0.7%,6000,-12000 ( -66.7% ),1,-1 ( -50.0% ),180120600,23320,96
2018-04-05,1,0.0%,1,0%,150,0.0%,0.7%,6000,0 ( 0.0% ),1,0 ( 0.0% ),180126600,23321,90
2018-04-06,1,0.0%,1,0%,150,0.0%,0.7%,6000,0 ( 0.0% ),1,0 ( 0.0% ),180132600,23322,106
2018-04-07,1,0.0%,1,0%,150,0.0%,0.7%,6000,0 ( 0.0% ),1,0 ( 0.0% ),180138600,23323,113
2018-04-08,1,0.0%,1,0%,150,0.0%,0.7%,6000,0 ( 0.0% ),1,0 ( 0.0% ),180144600,23324,113
2018-04-09,1,0.0%,1,0%,150,0.0%,0.7%,6000,0 ( 0.0% ),1,0 ( 0.0% ),180150600,23325,104
2018-05-09,1,0.0%,1,0%,202,0.0%,3.0%,39000,39000 ( 100.0% ),6,6 ( 100.0% ),180189600,23331,88
2018-05-10,1,0.0%,1,0%,202,0.0%,2.5%,37000,-2000 ( -5.1% ),5,-1 ( -16.7% ),180226600,23336,79
