날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-14,1,0.0%,1,0%,78,0.0%,2.6%,15400,15400 ( 100.0% ),2,2 ( 100.0% ),15400,2,108
2018-11-15,98,1.7%,104,0.6%,12777,0.5%,5.9%,4926600,4911200 ( 31890.9% ),751,749 ( 37450.0% ),4942000,753,15
2018-11-16,99,1.8%,103,0.6%,13393,0.5%,7.9%,6624700,1698100 ( 34.5% ),1053,302 ( 40.2% ),11566700,1806,12
2018-11-17,216,3.5%,245,1.3%,28941,1.0%,17.3%,38109300,31484600 ( 475.3% ),4994,3941 ( 374.3% ),49676000,6800,10
2018-11-18,213,3.5%,235,1.3%,27276,1.0%,20.0%,41760000,3650700 ( 9.6% ),5442,448 ( 9.0% ),91436000,12242,10
2018-11-19,72,1.4%,75,0.5%,9476,0.4%,6.3%,3739550,-38020450 ( -91.0% ),593,-4849 ( -89.1% ),95175550,12835,14
2018-11-20,74,1.3%,77,0.5%,9200,0.4%,7.1%,4050700,311150 ( 8.3% ),651,58 ( 9.8% ),99226250,13486,15
2018-11-21,63,1.2%,69,0.4%,7996,0.3%,11.8%,5373900,1323200 ( 32.7% ),944,293 ( 45.0% ),104600150,14430,14
2018-11-22,12,0.2%,12,0.1%,882,0.0%,36.4%,1758000,-3615900 ( -67.3% ),321,-623 ( -66.0% ),106358150,14751,27
2018-11-23,15,0.3%,16,0.1%,1424,0.1%,35.8%,2842100,1084100 ( 61.7% ),510,189 ( 58.9% ),109200250,15261,23
2018-11-24,22,0.4%,23,0.1%,1912,0.1%,35.6%,4734100,1892000 ( 66.6% ),680,170 ( 33.3% ),113934350,15941,18
2018-11-25,20,0.3%,21,0.1%,2032,0.1%,26.2%,3884800,-849300 ( -17.9% ),532,-148 ( -21.8% ),117819150,16473,19
2018-11-26,7,0.1%,7,0%,389,0.0%,34.2%,990000,-2894800 ( -74.5% ),133,-399 ( -75.0% ),118809150,16606,31
2018-11-27,4,0.1%,4,0%,248,0.0%,34.3%,438000,-552000 ( -55.8% ),85,-48 ( -36.1% ),119247150,16691,52
2018-11-28,5,0.1%,5,0%,267,0.0%,26.2%,364800,-73200 ( -16.7% ),70,-15 ( -17.6% ),119611950,16761,57
2018-11-29,4,0.1%,4,0%,614,0.0%,27.7%,1251600,886800 ( 243.1% ),170,100 ( 142.9% ),120863550,16931,47
2018-11-30,6,0.1%,6,0%,627,0.0%,35.2%,1360000,108400 ( 8.7% ),221,51 ( 30.0% ),122223550,17152,32
2018-12-01,1,0.0%,1,0%,124,0.0%,5.6%,57000,-1303000 ( -95.8% ),7,-214 ( -96.8% ),122280550,17159,131
2018-12-02,1,0.0%,1,0%,124,0.0%,11.3%,116000,59000 ( 103.5% ),14,7 ( 100.0% ),122396550,17173,100
2018-12-03,1,0.0%,1,0%,122,0.0%,100.0%,620000,504000 ( 434.5% ),122,108 ( 771.4% ),123016550,17295,41
2018-12-04,1,0.0%,1,0%,124,0.0%,4.8%,48000,-572000 ( -92.3% ),6,-116 ( -95.1% ),123064550,17301,109
2018-12-05,1,0.0%,1,0%,40,0.0%,100.0%,200000,152000 ( 316.7% ),40,34 ( 566.7% ),123264550,17341,77
2018-12-08,1,0.0%,1,0%,112,0.0%,80.4%,450000,450000 ( 100.0% ),90,90 ( 100.0% ),123714550,17431,53
2018-12-12,1,0.0%,1,0%,176,0.0%,76.7%,945000,945000 ( 100.0% ),135,135 ( 100.0% ),124659550,17566,43
2018-12-14,1,0.0%,1,0%,134,0.0%,80.6%,540000,540000 ( 100.0% ),108,108 ( 100.0% ),125199550,17674,56
