날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-04,3,0.0%,3,0%,666,0.0%,79.0%,4701500,4701500 ( 100.0% ),526,526 ( 100.0% ),4701500,526,26
2017-05-11,2,0.0%,2,0%,479,0.0%,100.0%,3206000,3206000 ( 100.0% ),479,479 ( 100.0% ),7907500,1005,21
2017-05-13,3,0.0%,3,0%,325,0.0%,75.7%,3684000,3684000 ( 100.0% ),246,246 ( 100.0% ),11591500,1251,34
2017-05-17,4,0.1%,5,0%,733,0.0%,2.6%,141000,141000 ( 100.0% ),19,19 ( 100.0% ),11732500,1270,66
2017-05-18,85,1.6%,124,0.7%,14884,0.5%,11.1%,12114900,11973900 ( 8492.1% ),1657,1638 ( 8621.1% ),23847400,2927,13
2017-05-19,81,1.4%,126,0.7%,15659,0.6%,9.8%,12418600,303700 ( 2.5% ),1532,-125 ( -7.5% ),36266000,4459,10
2017-05-20,84,1.4%,121,0.7%,14910,0.5%,16.6%,21002100,8583500 ( 69.1% ),2474,942 ( 61.5% ),57268100,6933,12
2017-05-21,83,1.4%,118,0.7%,14199,0.5%,17.0%,19956100,-1046000 ( -5.0% ),2409,-65 ( -2.6% ),77224200,9342,11
2017-05-22,84,1.6%,129,0.8%,16180,0.6%,8.1%,9440500,-10515600 ( -52.7% ),1311,-1098 ( -45.6% ),86664700,10653,10
2017-05-23,81,1.5%,124,0.8%,15752,0.6%,7.8%,8856500,-584000 ( -6.2% ),1224,-87 ( -6.6% ),95521200,11877,12
2017-05-24,58,1.2%,84,0.5%,11021,0.4%,8.8%,6971700,-1884800 ( -21.3% ),970,-254 ( -20.8% ),102492900,12847,11
2017-05-25,30,0.6%,42,0.3%,5274,0.2%,11.6%,4522600,-2449100 ( -35.1% ),613,-357 ( -36.8% ),107015500,13460,16
2017-05-26,33,0.6%,43,0.3%,5399,0.2%,11.7%,5059538,536938 ( 11.9% ),631,18 ( 2.9% ),112075038,14091,15
2017-05-27,38,0.7%,52,0.3%,6502,0.2%,21.5%,12161900,7102362 ( 140.4% ),1400,769 ( 121.9% ),124236938,15491,13
2017-05-28,40,0.7%,47,0.3%,6049,0.2%,17.7%,8631200,-3530700 ( -29.0% ),1073,-327 ( -23.4% ),132868138,16564,13
2017-05-29,28,0.6%,38,0.2%,5562,0.2%,9.1%,3807000,-4824200 ( -55.9% ),506,-567 ( -52.8% ),136675138,17070,16
2017-05-30,28,0.6%,41,0.2%,5593,0.2%,7.1%,2994400,-812600 ( -21.3% ),396,-110 ( -21.7% ),139669538,17466,19
2017-05-31,19,0.4%,30,0.2%,4006,0.2%,14.3%,3933700,939300 ( 31.4% ),571,175 ( 44.2% ),143603238,18037,16
2017-06-01,18,0.4%,30,0.2%,3338,0.1%,9.6%,2381500,-1552200 ( -39.5% ),320,-251 ( -44.0% ),145984738,18357,23
2017-06-02,22,0.4%,36,0.2%,3729,0.1%,14.1%,4151900,1770400 ( 74.3% ),525,205 ( 64.1% ),150136638,18882,18
2017-06-03,24,0.4%,36,0.2%,3916,0.1%,20.5%,6758400,2606500 ( 62.8% ),801,276 ( 52.6% ),156895038,19683,17
2017-06-04,23,0.4%,36,0.2%,3945,0.1%,15.7%,5279000,-1479400 ( -21.9% ),620,-181 ( -22.6% ),162174038,20303,17
2017-06-05,14,0.3%,27,0.2%,2630,0.1%,16.2%,3301300,-1977700 ( -37.5% ),425,-195 ( -31.5% ),165475338,20728,19
2017-06-06,22,0.4%,35,0.2%,3843,0.1%,22.0%,6887200,3585900 ( 108.6% ),844,419 ( 98.6% ),172362538,21572,16
2017-06-07,13,0.3%,26,0.2%,2894,0.1%,6.6%,1420000,-5467200 ( -79.4% ),191,-653 ( -77.4% ),173782538,21763,26
2017-06-08,7,0.1%,11,0.1%,1266,0.0%,8.1%,755000,-665000 ( -46.8% ),103,-88 ( -46.1% ),174537538,21866,44
2017-06-09,10,0.2%,18,0.1%,2248,0.1%,10.4%,1910000,1155000 ( 153.0% ),234,131 ( 127.2% ),176447538,22100,26
2017-06-10,13,0.2%,18,0.1%,1743,0.1%,21.0%,3266000,1356000 ( 71.0% ),366,132 ( 56.4% ),179713538,22466,26
