날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-26,1,0.0%,1,0%,208,0.0%,100.0%,1872000,1872000 ( 100.0% ),208,208 ( 100.0% ),1872000,208,32
2018-05-03,2,0.0%,3,0%,456,0.0%,100.0%,4104000,4104000 ( 100.0% ),456,456 ( 100.0% ),5976000,664,17
2018-05-10,138,3.2%,471,3%,60695,2.4%,4.5%,22336500,22336500 ( 100.0% ),2726,2726 ( 100.0% ),28312500,3390,5
2018-05-11,147,3.3%,497,3%,64108,2.5%,5.4%,31416000,9079500 ( 40.6% ),3448,722 ( 26.5% ),59728500,6838,4
2018-05-12,142,2.8%,481,2.7%,58526,2.1%,11.6%,63006600,31590600 ( 100.6% ),6772,3324 ( 96.4% ),122735100,13610,6
2018-05-13,149,2.9%,454,2.6%,55731,2.0%,9.1%,46886300,-16120300 ( -25.6% ),5089,-1683 ( -24.9% ),169621400,18699,7
2018-05-14,125,3.0%,416,2.8%,53941,2.2%,3.6%,15733700,-31152600 ( -66.4% ),1938,-3151 ( -61.9% ),185355100,20637,6
2018-05-15,132,3.0%,449,3%,57457,2.4%,4.2%,19294200,3560500 ( 22.6% ),2386,448 ( 23.1% ),204649300,23023,4
2018-05-16,131,2.6%,213,1.3%,29442,1.1%,3.2%,7600600,-11693600 ( -60.6% ),944,-1442 ( -60.4% ),212249900,23967,10
2018-05-17,90,1.7%,126,0.8%,17974,0.7%,3.3%,4626800,-2973800 ( -39.1% ),601,-343 ( -36.3% ),216876700,24568,18
2018-05-18,97,1.8%,139,0.8%,19096,0.7%,4.7%,7949700,3322900 ( 71.8% ),891,290 ( 48.3% ),224826400,25459,14
2018-05-19,95,1.6%,146,0.8%,18480,0.6%,6.0%,10111400,2161700 ( 27.2% ),1108,217 ( 24.4% ),234937800,26567,15
2018-05-20,88,1.5%,125,0.7%,16404,0.6%,5.8%,8581600,-1529800 ( -15.1% ),957,-151 ( -13.6% ),243519400,27524,15
2018-05-21,88,1.6%,130,0.7%,16854,0.6%,4.7%,6342200,-2239400 ( -26.1% ),797,-160 ( -16.7% ),249861600,28321,14
2018-05-22,31,0.5%,35,0.2%,4304,0.1%,6.1%,2340300,-4001900 ( -63.1% ),262,-535 ( -67.1% ),252201900,28583,26
2018-05-23,22,0.4%,29,0.2%,3663,0.1%,3.4%,953100,-1387200 ( -59.3% ),123,-139 ( -53.1% ),253155000,28706,36
2018-05-24,14,0.3%,18,0.1%,2394,0.1%,8.7%,1656900,703800 ( 73.8% ),209,86 ( 69.9% ),254811900,28915,27
2018-05-25,15,0.3%,21,0.1%,2939,0.1%,9.1%,2218400,561500 ( 33.9% ),267,58 ( 27.8% ),257030300,29182,22
2018-05-26,12,0.2%,13,0.1%,1873,0.1%,7.6%,1335000,-883400 ( -39.8% ),142,-125 ( -46.8% ),258365300,29324,38
2018-05-27,13,0.2%,14,0.1%,2027,0.1%,5.1%,936800,-398200 ( -29.8% ),104,-38 ( -26.8% ),259302100,29428,38
2018-05-28,8,0.2%,11,0.1%,1531,0.1%,3.3%,417800,-519000 ( -55.4% ),51,-53 ( -51.0% ),259719900,29479,44
2018-05-29,12,0.2%,14,0.1%,1787,0.1%,4.0%,580500,162700 ( 38.9% ),71,20 ( 39.2% ),260300400,29550,48
2018-05-30,3,0.1%,3,0%,197,0.0%,6.1%,109500,-471000 ( -81.1% ),12,-59 ( -83.1% ),260409900,29562,74
2018-05-31,3,0.1%,3,0%,358,0.0%,17.9%,528800,419300 ( 382.9% ),64,52 ( 433.3% ),260938700,29626,54
2018-06-01,3,0.1%,3,0%,439,0.0%,3.2%,130000,-398800 ( -75.4% ),14,-50 ( -78.1% ),261068700,29640,79
2018-06-02,2,0.0%,4,0%,510,0.0%,9.0%,379600,249600 ( 192.0% ),46,32 ( 228.6% ),261448300,29686,58
2018-06-03,1,0.0%,2,0%,248,0.0%,8.1%,204800,-174800 ( -46.0% ),20,-26 ( -56.5% ),261653100,29706,73
2018-06-04,2,0.0%,3,0%,388,0.0%,4.9%,167000,-37800 ( -18.5% ),19,-1 ( -5.0% ),261820100,29725,70
2018-06-05,2,0.0%,3,0%,402,0.0%,5.7%,201300,34300 ( 20.5% ),23,4 ( 21.1% ),262021400,29748,79
2018-06-09,1,0.0%,1,0%,138,0.0%,8.7%,112000,112000 ( 100.0% ),12,12 ( 100.0% ),262133400,29760,78
