날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-07,1,0.0%,1,0%,151,0.0%,100.0%,1661000,1661000 ( 100.0% ),151,151 ( 100.0% ),1661000,151,38
2018-09-08,4,0.1%,4,0%,980,0.0%,98.2%,9620000,7959000 ( 479.2% ),962,811 ( 537.1% ),11281000,1113,18
2018-09-11,3,0.1%,3,0%,637,0.0%,100.0%,4459000,4459000 ( 100.0% ),637,637 ( 100.0% ),15740000,1750,20
2018-09-12,8,0.2%,8,0%,1822,0.1%,100.0%,14668000,10209000 ( 229.0% ),1822,1185 ( 186.0% ),30408000,3572,12
2018-09-13,1,0.0%,1,0%,126,0.0%,100.0%,1008000,-13660000 ( -93.1% ),126,-1696 ( -93.1% ),31416000,3698,40
2018-09-15,2,0.0%,2,0%,240,0.0%,97.5%,2574000,2574000 ( 100.0% ),234,234 ( 100.0% ),33990000,3932,32
2018-09-17,1,0.0%,1,0%,104,0.0%,96.2%,900000,900000 ( 100.0% ),100,100 ( 100.0% ),34890000,4032,45
2018-09-18,2,0.0%,2,0%,236,0.0%,84.7%,1800000,900000 ( 100.0% ),200,100 ( 100.0% ),36690000,4232,32
2018-09-20,195,3.5%,208,1.1%,25376,0.9%,16.0%,29947400,29947400 ( 100.0% ),4066,4066 ( 100.0% ),66637400,8298,7
2018-09-21,188,3.4%,203,1.1%,24557,0.8%,6.8%,12799750,-17147650 ( -57.3% ),1672,-2394 ( -58.9% ),79437150,9970,8
2018-09-22,325,5.1%,422,2%,50057,1.6%,22.8%,89387250,76587500 ( 598.4% ),11414,9742 ( 582.7% ),168824400,21384,7
2018-09-23,311,4.9%,396,1.9%,46202,1.5%,19.2%,70895550,-18491700 ( -20.7% ),8878,-2536 ( -22.2% ),239719950,30262,7
2018-09-24,298,4.8%,374,1.9%,44243,1.4%,19.9%,72535050,1639500 ( 2.3% ),8793,-85 ( -1.0% ),312255000,39055,7
2018-09-25,322,5.0%,404,2%,48406,1.5%,30.3%,117730150,45195100 ( 62.3% ),14691,5898 ( 67.1% ),429985150,53746,7
2018-09-26,281,4.6%,355,1.8%,41905,1.3%,40.1%,131633000,13902850 ( 11.8% ),16793,2102 ( 14.3% ),561618150,70539,8
2018-09-27,137,2.6%,152,0.8%,17987,0.6%,8.4%,10087150,-121545850 ( -92.3% ),1510,-15283 ( -91.0% ),571705300,72049,10
2018-09-28,146,2.7%,165,0.9%,19064,0.7%,9.9%,13172900,3085750 ( 30.6% ),1896,386 ( 25.6% ),584878200,73945,8
2018-09-29,233,4.0%,294,1.5%,33094,1.1%,24.3%,62306300,49133400 ( 373.0% ),8031,6135 ( 323.6% ),647184500,81976,8
2018-09-30,236,4.1%,294,1.5%,33765,1.1%,22.3%,59179950,-3126350 ( -5.0% ),7525,-506 ( -6.3% ),706364450,89501,8
2018-10-01,76,1.6%,84,0.5%,9536,0.4%,3.3%,2204700,-56975250 ( -96.3% ),317,-7208 ( -95.8% ),708569150,89818,18
2018-10-02,100,2.0%,108,0.6%,12813,0.5%,8.7%,6749200,4544500 ( 206.1% ),1110,793 ( 250.2% ),715318350,90928,13
2018-10-03,9,0.2%,12,0.1%,769,0.0%,41.7%,2446600,-4302600 ( -63.7% ),321,-789 ( -71.1% ),717764950,91249,22
2018-10-04,4,0.1%,6,0%,318,0.0%,13.5%,255000,-2191600 ( -89.6% ),43,-278 ( -86.6% ),718019950,91292,40
2018-10-05,4,0.1%,5,0%,485,0.0%,45.2%,1318300,1063300 ( 417.0% ),219,176 ( 409.3% ),719338250,91511,20
2018-10-06,8,0.1%,10,0%,612,0.0%,28.4%,1214000,-104300 ( -7.9% ),174,-45 ( -20.5% ),720552250,91685,27
2018-10-07,7,0.1%,9,0%,496,0.0%,30.0%,1175000,-39000 ( -3.2% ),149,-25 ( -14.4% ),721727250,91834,30
2018-10-08,2,0.0%,3,0%,110,0.0%,52.7%,381000,-794000 ( -67.6% ),58,-91 ( -61.1% ),722108250,91892,46
2018-10-09,3,0.1%,3,0%,147,0.0%,40.1%,434000,53000 ( 13.9% ),59,1 ( 1.7% ),722542250,91951,44
2018-10-10,2,0.0%,2,0%,66,0.0%,6.1%,26000,-408000 ( -94.0% ),4,-55 ( -93.2% ),722568250,91955,74
2018-10-11,2,0.0%,2,0%,274,0.0%,55.5%,776000,750000 ( 2884.6% ),152,148 ( 3700.0% ),723344250,92107,38
2018-10-13,1,0.0%,1,0%,32,0.0%,96.9%,218000,218000 ( 100.0% ),31,31 ( 100.0% ),723562250,92138,59
