날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-27,1,0.0%,1,0%,208,0.0%,100.0%,1664000,1664000 ( 100.0% ),208,208 ( 100.0% ),1664000,208,41
2016-02-02,1,0.0%,1,0%,208,0.0%,100.0%,1664000,1664000 ( 100.0% ),208,208 ( 100.0% ),3328000,416,30
2016-02-03,1,0.0%,1,0%,208,0.0%,100.0%,1664000,0 ( 0.0% ),208,0 ( 0.0% ),4992000,624,28
2016-02-14,1,0.0%,1,0%,293,0.0%,44.0%,1269000,1269000 ( 100.0% ),129,129 ( 100.0% ),6261000,753,44
2016-02-18,2,0.0%,2,0%,311,0.0%,100.0%,2493000,2493000 ( 100.0% ),311,311 ( 100.0% ),8754000,1064,25
2016-02-19,10,0.2%,10,0.1%,2090,0.1%,100.0%,18810000,16317000 ( 654.5% ),2090,1779 ( 572.0% ),27564000,3154,11
2016-02-20,1,0.0%,1,0%,293,0.0%,48.8%,1412000,-17398000 ( -92.5% ),143,-1947 ( -93.2% ),28976000,3297,31
2016-02-23,14,0.3%,14,0.1%,3255,0.1%,100.0%,27786000,27786000 ( 100.0% ),3255,3255 ( 100.0% ),56762000,6552,9
2016-02-24,2,0.0%,2,0%,366,0.0%,69.9%,2130000,-25656000 ( -92.3% ),256,-2999 ( -92.1% ),58892000,6808,26
2016-02-25,3,0.1%,3,0%,625,0.0%,79.0%,3726000,1596000 ( 74.9% ),494,238 ( 93.0% ),62618000,7302,25
2016-02-27,18,0.3%,18,0.1%,2408,0.1%,48.8%,9545000,9545000 ( 100.0% ),1175,1175 ( 100.0% ),72163000,8477,18
2016-02-28,1,0.0%,1,0%,413,0.0%,19.9%,500000,-9045000 ( -94.8% ),82,-1093 ( -93.0% ),72663000,8559,51
2016-02-29,3,0.1%,3,0%,516,0.0%,100.0%,4128000,3628000 ( 725.6% ),516,434 ( 529.3% ),76791000,9075,23
2016-03-01,1,0.0%,1,0%,293,0.0%,42.3%,1227000,-2901000 ( -70.3% ),124,-392 ( -76.0% ),78018000,9199,38
2016-03-02,2,0.0%,3,0%,903,0.0%,65.4%,5043000,3816000 ( 311.0% ),591,467 ( 376.6% ),83061000,9790,20
2016-03-03,316,6.1%,943,6.2%,133771,5.3%,5.5%,56321500,51278500 ( 1016.8% ),7423,6832 ( 1156.0% ),139382500,17213,9
2016-03-04,323,6.1%,969,6.2%,137175,5.3%,6.4%,72060000,15738500 ( 27.9% ),8759,1336 ( 18.0% ),211442500,25972,9
2016-03-05,333,5.8%,804,4.8%,109782,4.0%,13.6%,124259700,52199700 ( 72.4% ),14916,6157 ( 70.3% ),335702200,40888,9
2016-03-06,317,5.6%,735,4.6%,100733,3.8%,12.1%,100765500,-23494200 ( -18.9% ),12169,-2747 ( -18.4% ),436467700,53057,9
2016-03-07,299,5.9%,711,4.8%,99949,4.1%,5.2%,38627200,-62138300 ( -61.7% ),5230,-6939 ( -57.0% ),475094900,58287,9
2016-03-08,296,5.8%,720,5%,99399,4.1%,5.5%,40272700,1645500 ( 4.3% ),5449,219 ( 4.2% ),515367600,63736,9
2016-03-09,303,5.9%,726,5%,100050,4.1%,5.9%,43364000,3091300 ( 7.7% ),5874,425 ( 7.8% ),558731600,69610,9
2016-03-10,80,1.7%,115,0.8%,14155,0.6%,8.0%,8442900,-34921100 ( -80.5% ),1126,-4748 ( -80.8% ),567174500,70736,16
2016-03-11,86,1.8%,119,0.7%,15800,0.6%,8.7%,11605900,3163000 ( 37.5% ),1379,253 ( 22.5% ),578780400,72115,15
2016-03-12,72,1.3%,89,0.5%,10508,0.4%,20.3%,18111100,6505200 ( 56.1% ),2132,753 ( 54.6% ),596891500,74247,15
2016-03-13,72,1.3%,90,0.6%,11490,0.4%,16.0%,15501000,-2610100 ( -14.4% ),1838,-294 ( -13.8% ),612392500,76085,16
