날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-23,1,0.0%,1,0%,118,0.0%,67.8%,651800,651800 ( 100.0% ),80,80 ( 100.0% ),651800,80,43
2018-05-24,6,0.1%,6,0%,685,0.0%,22.0%,1291500,639700 ( 98.1% ),151,71 ( 88.8% ),1943300,231,37
2018-05-25,1,0.0%,2,0%,494,0.0%,76.1%,4646000,3354500 ( 259.7% ),376,225 ( 149.0% ),6589300,607,19
2018-06-03,6,0.1%,6,0%,685,0.0%,24.5%,1474500,1474500 ( 100.0% ),168,168 ( 100.0% ),8063800,775,32
2018-06-07,1,0.0%,1,0%,72,0.0%,81.9%,528000,528000 ( 100.0% ),59,59 ( 100.0% ),8591800,834,51
2018-06-08,1,0.0%,1,0%,134,0.0%,15.7%,205500,-322500 ( -61.1% ),21,-38 ( -64.4% ),8797300,855,67
2018-06-09,3,0.1%,3,0%,275,0.0%,39.3%,1026500,821000 ( 399.5% ),108,87 ( 414.3% ),9823800,963,42
2018-06-10,1,0.0%,1,0%,108,0.0%,77.8%,793500,-233000 ( -22.7% ),84,-24 ( -22.2% ),10617300,1047,45
2018-06-11,2,0.0%,2,0%,365,0.0%,92.3%,2727000,1933500 ( 243.7% ),337,253 ( 301.2% ),13344300,1384,19
2018-06-12,1,0.0%,1,0%,94,0.0%,34.0%,289000,-2438000 ( -89.4% ),32,-305 ( -90.5% ),13633300,1416,63
2018-06-13,1,0.0%,1,0%,95,0.0%,47.4%,440500,151500 ( 52.4% ),45,13 ( 40.6% ),14073800,1461,55
2018-06-14,49,1.1%,76,0.4%,9305,0.3%,8.0%,5991500,5551000 ( 1260.2% ),747,702 ( 1560.0% ),20065300,2208,12
2018-06-15,47,1.0%,72,0.4%,9072,0.3%,9.6%,8129900,2138400 ( 35.7% ),874,127 ( 17.0% ),28195200,3082,10
2018-06-16,44,0.8%,74,0.4%,9286,0.3%,13.1%,11133800,3003900 ( 36.9% ),1214,340 ( 38.9% ),39329000,4296,12
2018-06-17,44,0.9%,72,0.4%,9090,0.3%,12.9%,10442300,-691500 ( -6.2% ),1173,-41 ( -3.4% ),49771300,5469,12
2018-06-18,41,0.9%,78,0.5%,9264,0.4%,5.1%,3712600,-6729700 ( -64.4% ),469,-704 ( -60.0% ),53483900,5938,14
2018-06-19,43,1.0%,86,0.5%,10415,0.4%,5.4%,4344900,632300 ( 17.0% ),563,94 ( 20.0% ),57828800,6501,15
2018-06-20,43,1.0%,92,0.5%,11542,0.4%,5.6%,5199500,854600 ( 19.7% ),644,81 ( 14.4% ),63028300,7145,15
2018-06-21,41,0.8%,48,0.3%,5928,0.2%,6.8%,3110800,-2088700 ( -40.2% ),404,-240 ( -37.3% ),66139100,7549,19
2018-06-22,35,0.6%,41,0.2%,5591,0.2%,6.9%,3357600,246800 ( 7.9% ),384,-20 ( -5.0% ),69496700,7933,21
2018-06-23,41,0.7%,48,0.3%,4853,0.2%,14.4%,6167000,2809400 ( 83.7% ),697,313 ( 81.5% ),75663700,8630,21
2018-06-24,35,0.6%,42,0.2%,5677,0.2%,10.4%,5235700,-931300 ( -15.1% ),593,-104 ( -14.9% ),80899400,9223,23
2018-06-25,28,0.5%,30,0.2%,3851,0.1%,6.8%,2121500,-3114200 ( -59.5% ),261,-332 ( -56.0% ),83020900,9484,25
2018-06-26,29,0.5%,33,0.2%,4517,0.2%,7.8%,2794800,673300 ( 31.7% ),352,91 ( 34.9% ),85815700,9836,21
2018-06-27,22,0.4%,27,0.2%,2613,0.1%,8.8%,1688500,-1106300 ( -39.6% ),229,-123 ( -34.9% ),87504200,10065,26
2018-06-28,12,0.2%,14,0.1%,1971,0.1%,7.3%,1148000,-540500 ( -32.0% ),144,-85 ( -37.1% ),88652200,10209,39
2018-06-29,12,0.2%,14,0.1%,1289,0.0%,14.0%,1430200,282200 ( 24.6% ),181,37 ( 25.7% ),90082400,10390,34
2018-06-30,10,0.2%,13,0.1%,1307,0.0%,18.8%,2309000,878800 ( 61.4% ),246,65 ( 35.9% ),92391400,10636,36
2018-07-01,16,0.3%,22,0.1%,2816,0.1%,12.7%,2928500,619500 ( 26.8% ),359,113 ( 45.9% ),95319900,10995,28
2018-07-02,13,0.2%,15,0.1%,1540,0.1%,11.8%,1422000,-1506500 ( -51.4% ),182,-177 ( -49.3% ),96741900,11177,31
2018-07-03,9,0.2%,11,0.1%,1069,0.0%,16.3%,1392000,-30000 ( -2.1% ),174,-8 ( -4.4% ),98133900,11351,38
2018-07-04,12,0.2%,15,0.1%,1245,0.0%,14.7%,1494000,102000 ( 7.3% ),183,9 ( 5.2% ),99627900,11534,30
2018-07-05,7,0.1%,7,0%,459,0.0%,13.5%,503000,-991000 ( -66.3% ),62,-121 ( -66.1% ),100130900,11596,45
2018-07-06,11,0.2%,12,0.1%,929,0.0%,13.3%,1083000,580000 ( 115.3% ),124,62 ( 100.0% ),101213900,11720,32
2018-07-07,11,0.2%,15,0.1%,1084,0.0%,22.0%,2186000,1103000 ( 101.8% ),238,114 ( 91.9% ),103399900,11958,26
2018-07-08,6,0.1%,8,0%,709,0.0%,18.3%,1212000,-974000 ( -44.6% ),130,-108 ( -45.4% ),104611900,12088,32
2018-07-09,6,0.1%,6,0%,359,0.0%,26.7%,831000,-381000 ( -31.4% ),96,-34 ( -26.2% ),105442900,12184,41
2018-07-10,6,0.1%,8,0%,686,0.0%,15.7%,850000,19000 ( 2.3% ),108,12 ( 12.5% ),106292900,12292,42
2018-07-11,5,0.1%,6,0%,332,0.0%,12.3%,327000,-523000 ( -61.5% ),41,-67 ( -62.0% ),106619900,12333,62
2018-07-12,7,0.1%,8,0%,468,0.0%,20.3%,782000,455000 ( 139.1% ),95,54 ( 131.7% ),107401900,12428,55
2018-07-13,7,0.1%,8,0%,507,0.0%,20.1%,792000,10000 ( 1.3% ),102,7 ( 7.4% ),108193900,12530,50
2018-07-14,8,0.1%,8,0%,495,0.0%,31.3%,1228500,436500 ( 55.1% ),155,53 ( 52.0% ),109422400,12685,48
2018-07-15,4,0.1%,5,0%,336,0.0%,25.6%,712000,-516500 ( -42.0% ),86,-69 ( -44.5% ),110134400,12771,52
2018-07-16,4,0.1%,4,0%,345,0.0%,15.7%,481000,-231000 ( -32.4% ),54,-32 ( -37.2% ),110615400,12825,55
2018-07-17,4,0.1%,4,0%,290,0.0%,32.4%,774000,293000 ( 60.9% ),94,40 ( 74.1% ),111389400,12919,51
2018-07-18,7,0.1%,7,0%,518,0.0%,19.3%,813000,39000 ( 5.0% ),100,6 ( 6.4% ),112202400,13019,47
2018-07-19,2,0.0%,3,0%,250,0.0%,5.6%,118000,-695000 ( -85.5% ),14,-86 ( -86.0% ),112320400,13033,87
2018-07-20,3,0.1%,3,0%,228,0.0%,7.0%,109000,-9000 ( -7.6% ),16,2 ( 14.3% ),112429400,13049,99
2018-07-21,4,0.1%,5,0%,259,0.0%,17.8%,355000,246000 ( 225.7% ),46,30 ( 187.5% ),112784400,13095,73
2018-07-22,3,0.0%,3,0%,246,0.0%,29.3%,708000,353000 ( 99.4% ),72,26 ( 56.5% ),113492400,13167,55
2018-07-23,2,0.0%,2,0%,127,0.0%,18.1%,164000,-544000 ( -76.8% ),23,-49 ( -68.1% ),113656400,13190,59
2018-07-24,4,0.1%,4,0%,390,0.0%,4.6%,116000,-48000 ( -29.3% ),18,-5 ( -21.7% ),113772400,13208,77
2018-07-25,3,0.1%,3,0%,219,0.0%,18.7%,329000,213000 ( 183.6% ),41,23 ( 127.8% ),114101400,13249,69
2018-07-26,3,0.1%,3,0%,338,0.0%,5.6%,167000,-162000 ( -49.2% ),19,-22 ( -53.7% ),114268400,13268,78
2018-07-27,5,0.1%,5,0%,430,0.0%,8.8%,346000,179000 ( 107.2% ),38,19 ( 100.0% ),114614400,13306,54
2018-07-28,5,0.1%,7,0%,618,0.0%,11.2%,596000,250000 ( 72.3% ),69,31 ( 81.6% ),115210400,13375,46
2018-07-29,2,0.0%,2,0%,188,0.0%,32.4%,561000,-35000 ( -5.9% ),61,-8 ( -11.6% ),115771400,13436,42
2018-07-30,2,0.0%,2,0%,102,0.0%,22.5%,188000,-373000 ( -66.5% ),23,-38 ( -62.3% ),115959400,13459,58
