날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-01,1,0.0%,1,0%,154,0.0%,100.0%,1386000,1386000 ( 100.0% ),154,154 ( 100.0% ),1386000,154,27
2018-10-04,2,0.0%,2,0%,421,0.0%,83.6%,4798500,4798500 ( 100.0% ),352,352 ( 100.0% ),6184500,506,18
2018-10-07,1,0.0%,1,0%,202,0.0%,78.2%,2054000,2054000 ( 100.0% ),158,158 ( 100.0% ),8238500,664,28
2018-10-09,214,3.7%,355,1.8%,43654,1.4%,15.2%,55706000,55706000 ( 100.0% ),6653,6653 ( 100.0% ),63944500,7317,9
2018-10-10,187,3.8%,317,1.8%,40832,1.4%,3.3%,10866750,-44839250 ( -80.5% ),1362,-5291 ( -79.5% ),74811250,8679,9
2018-10-11,158,2.9%,252,1.4%,32097,1.1%,3.0%,7979100,-2887650 ( -26.6% ),972,-390 ( -28.6% ),82790350,9651,13
2018-10-12,169,3.0%,257,1.4%,33129,1.1%,3.7%,11193150,3214050 ( 40.3% ),1223,251 ( 25.8% ),93983500,10874,12
2018-10-13,195,3.1%,276,1.4%,34164,1.1%,6.4%,18752200,7559050 ( 67.5% ),2188,965 ( 78.9% ),112735700,13062,14
2018-10-14,189,3.0%,263,1.3%,32652,1.0%,6.7%,18544800,-207400 ( -1.1% ),2186,-2 ( -0.1% ),131280500,15248,14
2018-10-15,149,2.8%,207,1.2%,26832,0.9%,2.3%,4935950,-13608850 ( -73.4% ),625,-1561 ( -71.4% ),136216450,15873,16
2018-10-16,143,2.7%,192,1.1%,25749,0.9%,2.2%,4504100,-431850 ( -8.7% ),578,-47 ( -7.5% ),140720550,16451,16
2018-10-17,145,2.7%,200,1.1%,25616,0.9%,2.8%,5716900,1212800 ( 26.9% ),725,147 ( 25.4% ),146437450,17176,17
2018-10-18,12,0.2%,13,0.1%,2020,0.1%,4.5%,749100,-4967800 ( -86.9% ),90,-635 ( -87.6% ),147186550,17266,45
2018-10-19,16,0.3%,16,0.1%,2211,0.1%,7.4%,1438300,689200 ( 92.0% ),163,73 ( 81.1% ),148624850,17429,34
2018-10-20,14,0.2%,15,0.1%,2102,0.1%,17.7%,3528750,2090450 ( 145.3% ),372,209 ( 128.2% ),152153600,17801,28
2018-10-21,15,0.2%,15,0.1%,2056,0.1%,17.8%,3316600,-212150 ( -6.0% ),366,-6 ( -1.6% ),155470200,18167,21
2018-10-22,11,0.2%,13,0.1%,1875,0.1%,4.8%,733500,-2583100 ( -77.9% ),90,-276 ( -75.4% ),156203700,18257,50
2018-10-23,14,0.3%,17,0.1%,2486,0.1%,4.4%,875600,142100 ( 19.4% ),110,20 ( 22.2% ),157079300,18367,42
2018-10-24,11,0.2%,13,0.1%,1725,0.1%,5.7%,804950,-70650 ( -8.1% ),99,-11 ( -10.0% ),157884250,18466,49
2018-10-25,2,0.0%,2,0%,210,0.0%,16.2%,291150,-513800 ( -63.8% ),34,-65 ( -65.7% ),158175400,18500,75
2018-10-26,2,0.0%,3,0%,304,0.0%,23.0%,632300,341150 ( 117.2% ),70,36 ( 105.9% ),158807700,18570,59
2018-10-27,2,0.0%,2,0%,179,0.0%,60.3%,1014600,382300 ( 60.5% ),108,38 ( 54.3% ),159822300,18678,60
2018-10-28,3,0.1%,4,0%,410,0.0%,25.6%,929850,-84750 ( -8.4% ),105,-3 ( -2.8% ),160752150,18783,50
2018-10-29,2,0.0%,3,0%,304,0.0%,7.6%,188150,-741700 ( -79.8% ),23,-82 ( -78.1% ),160940300,18806,63
2018-10-30,2,0.0%,3,0%,304,0.0%,10.9%,270000,81850 ( 43.5% ),33,10 ( 43.5% ),161210300,18839,69
2018-10-31,1,0.0%,1,0%,97,0.0%,17.5%,104000,-166000 ( -61.5% ),17,-16 ( -48.5% ),161314300,18856,83
2018-11-01,6,0.1%,6,0%,1102,0.0%,21.2%,1264000,1160000 ( 1115.4% ),234,217 ( 1276.5% ),162578300,19090,35
2018-11-02,6,0.1%,7,0%,1209,0.0%,19.6%,1303300,39300 ( 3.1% ),237,3 ( 1.3% ),163881600,19327,25
2018-11-03,6,0.1%,7,0%,1219,0.0%,22.7%,1750000,446700 ( 34.3% ),277,40 ( 16.9% ),165631600,19604,29
2018-11-04,6,0.1%,7,0%,1209,0.0%,21.3%,1522650,-227350 ( -13.0% ),258,-19 ( -6.9% ),167154250,19862,25
2018-11-05,6,0.1%,6,0%,1046,0.0%,20.0%,1074500,-448150 ( -29.4% ),209,-49 ( -19.0% ),168228750,20071,24
2018-11-06,6,0.1%,6,0%,1112,0.0%,18.6%,1063000,-11500 ( -1.1% ),207,-2 ( -1.0% ),169291750,20278,28
2018-11-07,6,0.1%,6,0%,1102,0.0%,18.3%,1020000,-43000 ( -4.0% ),202,-5 ( -2.4% ),170311750,20480,34
2018-11-08,3,0.1%,3,0%,532,0.0%,16.2%,437500,-582500 ( -57.1% ),86,-116 ( -57.4% ),170749250,20566,58
2018-11-09,3,0.1%,4,0%,629,0.0%,14.5%,517500,80000 ( 18.3% ),91,5 ( 5.8% ),171266750,20657,56
2018-11-10,3,0.0%,3,0%,532,0.0%,21.2%,703500,186000 ( 35.9% ),113,22 ( 24.2% ),171970250,20770,51
2018-11-11,3,0.0%,3,0%,443,0.0%,25.3%,704650,1150 ( 0.2% ),112,-1 ( -0.9% ),172674900,20882,45
2018-11-12,3,0.1%,3,0%,443,0.0%,19.0%,437000,-267650 ( -38.0% ),84,-28 ( -25.0% ),173111900,20966,41
2018-11-13,3,0.1%,3,0%,443,0.0%,24.2%,628500,191500 ( 43.8% ),107,23 ( 27.4% ),173740400,21073,49
2018-11-14,2,0.0%,2,0%,346,0.0%,23.1%,400000,-228500 ( -36.4% ),80,-27 ( -25.2% ),174140400,21153,55
2019-08-31,1,0.0%,1,0%,152,0.0%,37.5%,724000,724000 ( 100.0% ),57,57 ( 100.0% ),174864400,21210,68
