날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-13,15,0.2%,15,0.1%,3238,0.1%,100.0%,21524000,21524000 ( 100.0% ),3239,3239 ( 100.0% ),21524000,3239,10
2018-02-20,35,0.6%,40,0.2%,8477,0.3%,80.8%,46692700,46692700 ( 100.0% ),6846,6846 ( 100.0% ),68216700,10085,8
2018-02-21,12,0.2%,12,0.1%,2740,0.1%,100.0%,21636000,-25056700 ( -53.7% ),2740,-4106 ( -60.0% ),89852700,12825,10
2018-02-24,2,0.0%,5,0%,1332,0.0%,91.0%,6420000,6420000 ( 100.0% ),1212,1212 ( 100.0% ),96272700,14037,17
2018-02-25,2,0.0%,2,0%,207,0.0%,100.0%,1559000,-4861000 ( -75.7% ),207,-1005 ( -82.9% ),97831700,14244,34
2018-02-27,10,0.2%,10,0.1%,1750,0.1%,77.4%,12106000,12106000 ( 100.0% ),1354,1354 ( 100.0% ),109937700,15598,17
2018-02-28,831,13.6%,4188,22.4%,761215,25.3%,17.3%,779250900,767144900 ( 6336.9% ),131350,129996 ( 9600.9% ),889188600,146948,2
2018-03-01,884,14.0%,4274,22.4%,782367,25.5%,21.4%,1385057900,605807000 ( 77.7% ),167097,35747 ( 27.2% ),2274246500,314045,2
2018-03-02,830,14.0%,4101,22.1%,746023,24.9%,10.6%,658080114,-726977786 ( -52.5% ),78782,-88315 ( -52.9% ),2932326614,392827,2
2018-03-03,830,13.3%,3950,20.6%,688338,22.4%,22.4%,1292433216,634353102 ( 96.4% ),154014,75232 ( 95.5% ),4224759830,546841,2
2018-03-04,833,13.6%,3861,20.9%,667081,22.4%,20.9%,1167919900,-124513316 ( -9.6% ),139732,-14282 ( -9.3% ),5392679730,686573,2
2018-03-05,751,14.6%,3710,22.2%,625077,22.9%,8.1%,385233100,-782686800 ( -67.0% ),50835,-88897 ( -63.6% ),5777912830,737408,2
2018-03-06,766,14.4%,3711,22.4%,623848,23.1%,7.7%,359487700,-25745400 ( -6.7% ),47876,-2959 ( -5.8% ),6137400530,785284,2
