날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-23,1,0.0%,1,0%,450,0.0%,100.0%,5400000,5400000 ( 100.0% ),450,450 ( 100.0% ),5400000,450,37
2017-09-26,2,0.0%,2,0%,54,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),5400000,450,163
2017-09-28,80,1.5%,138,0.9%,16275,0.6%,4.7%,4896500,4896500 ( 100.0% ),760,760 ( 100.0% ),10296500,1210,17
2017-09-29,88,1.7%,144,0.9%,16798,0.6%,4.7%,5548000,651500 ( 13.3% ),782,22 ( 2.9% ),15844500,1992,17
2017-09-30,128,2.2%,254,1.4%,30724,1.1%,23.4%,50505000,44957000 ( 810.3% ),7192,6410 ( 819.7% ),66349500,9184,8
2017-10-01,129,2.3%,262,1.4%,31211,1.1%,27.6%,60569000,10064000 ( 19.9% ),8599,1407 ( 19.6% ),126918500,17783,8
2017-10-02,135,2.3%,275,1.5%,32708,1.1%,25.2%,53416500,-7152500 ( -11.8% ),8238,-361 ( -4.2% ),180335000,26021,9
2017-10-03,109,1.8%,183,1%,20775,0.7%,17.8%,26896000,-26520500 ( -49.6% ),3697,-4541 ( -55.1% ),207231000,29718,11
2017-10-04,102,1.7%,168,0.9%,18729,0.6%,12.5%,17299000,-9597000 ( -35.7% ),2334,-1363 ( -36.9% ),224530000,32052,12
2017-10-05,107,1.8%,174,0.9%,19628,0.7%,21.8%,31211000,13912000 ( 80.4% ),4287,1953 ( 83.7% ),255741000,36339,10
2017-10-06,104,1.6%,165,0.9%,18519,0.6%,31.8%,42443000,11232000 ( 36.0% ),5886,1599 ( 37.3% ),298184000,42225,11
2017-10-07,98,1.5%,151,0.8%,17398,0.6%,25.5%,31640500,-10802500 ( -25.5% ),4445,-1441 ( -24.5% ),329824500,46670,11
2017-10-08,100,1.5%,149,0.8%,17268,0.6%,22.8%,28188500,-3452000 ( -10.9% ),3941,-504 ( -11.3% ),358013000,50611,11
2017-10-09,96,1.6%,145,0.8%,17010,0.6%,30.0%,36287000,8098500 ( 28.7% ),5105,1164 ( 29.5% ),394300000,55716,9
2017-10-10,39,0.8%,49,0.3%,6407,0.2%,2.8%,1154000,-35133000 ( -96.8% ),182,-4923 ( -96.4% ),395454000,55898,23
2017-10-11,53,1.1%,64,0.4%,7927,0.3%,2.8%,1467000,313000 ( 27.1% ),222,40 ( 22.0% ),396921000,56120,22
2017-10-12,12,0.2%,16,0.1%,1719,0.1%,4.3%,490000,-977000 ( -66.6% ),74,-148 ( -66.7% ),397411000,56194,41
2017-10-13,11,0.2%,14,0.1%,1370,0.0%,6.7%,630000,140000 ( 28.6% ),92,18 ( 24.3% ),398041000,56286,38
2017-10-14,73,1.3%,92,0.5%,10468,0.4%,13.3%,9752500,9122500 ( 1448.0% ),1389,1297 ( 1409.8% ),407793500,57675,14
2017-10-15,75,1.3%,90,0.5%,10378,0.4%,16.6%,11861500,2109000 ( 21.6% ),1719,330 ( 23.8% ),419655000,59394,12
2017-10-16,13,0.3%,15,0.1%,1590,0.1%,4.8%,475000,-11386500 ( -96.0% ),76,-1643 ( -95.6% ),420130000,59470,34
2017-10-17,12,0.2%,14,0.1%,1186,0.0%,5.5%,424000,-51000 ( -10.7% ),65,-11 ( -14.5% ),420554000,59535,42
2017-10-18,13,0.3%,13,0.1%,1446,0.1%,3.3%,330000,-94000 ( -22.2% ),47,-18 ( -27.7% ),420884000,59582,56
2017-10-19,7,0.1%,8,0%,718,0.0%,5.2%,245000,-85000 ( -25.8% ),37,-10 ( -21.3% ),421129000,59619,61
2017-10-20,6,0.1%,6,0%,561,0.0%,5.5%,211000,-34000 ( -13.9% ),31,-6 ( -16.2% ),421340000,59650,65
2017-10-21,49,0.8%,58,0.3%,6731,0.2%,10.0%,4848500,4637500 ( 2197.9% ),675,644 ( 2077.4% ),426188500,60325,22
2017-10-22,53,0.8%,63,0.3%,7246,0.2%,13.6%,6984000,2135500 ( 44.0% ),984,309 ( 45.8% ),433172500,61309,19
2017-10-23,11,0.2%,12,0.1%,1225,0.0%,2.8%,225500,-6758500 ( -96.8% ),34,-950 ( -96.5% ),433398000,61343,58
2017-10-24,11,0.2%,12,0.1%,1242,0.0%,3.6%,288000,62500 ( 27.7% ),45,11 ( 32.4% ),433686000,61388,62
2017-10-25,5,0.1%,6,0%,603,0.0%,3.8%,134000,-154000 ( -53.5% ),23,-22 ( -48.9% ),433820000,61411,80
2017-10-26,4,0.1%,4,0%,312,0.0%,4.5%,99000,-35000 ( -26.1% ),14,-9 ( -39.1% ),433919000,61425,104
2017-10-27,3,0.1%,3,0%,199,0.0%,9.5%,148000,49000 ( 49.5% ),19,5 ( 35.7% ),434067000,61444,95
2017-10-28,19,0.3%,23,0.1%,2556,0.1%,10.4%,1906500,1758500 ( 1188.2% ),267,248 ( 1305.3% ),435973500,61711,37
2017-10-29,19,0.3%,24,0.1%,2654,0.1%,16.1%,3145000,1238500 ( 65.0% ),428,161 ( 60.3% ),439118500,62139,31
2017-10-30,3,0.1%,3,0%,220,0.0%,6.4%,86000,-3059000 ( -97.3% ),14,-414 ( -96.7% ),439204500,62153,70
2017-10-31,4,0.1%,4,0%,451,0.0%,4.9%,153000,67000 ( 77.9% ),22,8 ( 57.1% ),439357500,62175,80
2017-11-01,4,0.1%,4,0%,324,0.0%,8.3%,177000,24000 ( 15.7% ),27,5 ( 22.7% ),439534500,62202,75
2017-11-04,7,0.1%,7,0%,768,0.0%,14.1%,851000,851000 ( 100.0% ),108,108 ( 100.0% ),440385500,62310,65
2017-11-05,7,0.1%,7,0%,768,0.0%,18.5%,1072000,221000 ( 26.0% ),142,34 ( 31.5% ),441457500,62452,53
2017-11-11,1,0.0%,1,0%,84,0.0%,2.4%,18000,18000 ( 100.0% ),2,2 ( 100.0% ),441475500,62454,117
