날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-17,1,0.0%,1,0%,200,0.0%,100.0%,1600000,1600000 ( 100.0% ),200,200 ( 100.0% ),1600000,200,38
2016-11-22,3,0.1%,3,0%,613,0.0%,100.0%,4904000,4904000 ( 100.0% ),613,613 ( 100.0% ),6504000,813,18
2016-11-23,1,0.0%,1,0%,223,0.0%,4.9%,88500,-4815500 ( -98.2% ),11,-602 ( -98.2% ),6592500,824,90
2016-11-24,131,2.6%,137,0.9%,17999,0.7%,6.0%,6760000,6671500 ( 7538.4% ),1077,1066 ( 9690.9% ),13352500,1901,17
2016-11-25,152,3.0%,161,1%,21321,0.8%,6.4%,10077300,3317300 ( 49.1% ),1373,296 ( 27.5% ),23429800,3274,15
2016-11-26,275,5.1%,365,2.1%,46872,1.7%,28.5%,105392600,95315300 ( 945.8% ),13340,11967 ( 871.6% ),128822400,16614,5
2016-11-27,291,5.5%,404,2.4%,51828,1.9%,31.0%,127959300,22566700 ( 21.4% ),16074,2734 ( 20.5% ),256781700,32688,4
2016-11-28,155,3.2%,166,1.1%,21837,0.9%,5.7%,8319700,-119639600 ( -93.5% ),1248,-14826 ( -92.2% ),265101400,33936,11
2016-11-29,145,2.9%,157,1%,20941,0.8%,4.9%,7046000,-1273700 ( -15.3% ),1022,-226 ( -18.1% ),272147400,34958,15
2016-11-30,90,1.8%,93,0.6%,12142,0.4%,10.4%,7559500,513500 ( 7.3% ),1265,243 ( 23.8% ),279706900,36223,15
2016-12-01,45,0.9%,49,0.3%,5976,0.2%,11.7%,4352200,-3207300 ( -42.4% ),699,-566 ( -44.7% ),284059100,36922,19
2016-12-02,54,1.1%,58,0.3%,7682,0.3%,12.2%,5977800,1625600 ( 37.4% ),940,241 ( 34.5% ),290036900,37862,16
2016-12-03,209,3.9%,301,1.7%,37164,1.3%,30.4%,89427400,83449600 ( 1396.0% ),11295,10355 ( 1101.6% ),379464300,49157,6
2016-12-04,208,3.9%,312,1.8%,38955,1.4%,35.0%,109864600,20437200 ( 22.9% ),13642,2347 ( 20.8% ),489328900,62799,5
2016-12-05,56,1.2%,63,0.4%,8341,0.3%,5.8%,3354100,-106510500 ( -96.9% ),480,-13162 ( -96.5% ),492683000,63279,17
2016-12-06,63,1.3%,70,0.4%,9154,0.3%,9.6%,5531800,2177700 ( 64.9% ),875,395 ( 82.3% ),498214800,64154,16
2016-12-07,12,0.3%,13,0.1%,1143,0.0%,18.2%,1223000,-4308800 ( -77.9% ),208,-667 ( -76.2% ),499437800,64362,28
2016-12-08,7,0.1%,7,0%,875,0.0%,15.9%,756000,-467000 ( -38.2% ),139,-69 ( -33.2% ),500193800,64501,44
2016-12-09,9,0.2%,9,0.1%,1001,0.0%,28.7%,1633000,877000 ( 116.0% ),287,148 ( 106.5% ),501826800,64788,26
2016-12-10,24,0.4%,25,0.1%,2906,0.1%,20.2%,4887600,3254600 ( 199.3% ),587,300 ( 104.5% ),506714400,65375,18
2016-12-11,24,0.4%,26,0.2%,3109,0.1%,19.9%,5238300,350700 ( 7.2% ),620,33 ( 5.6% ),511952700,65995,16
2016-12-12,4,0.1%,4,0%,440,0.0%,7.5%,207000,-5031300 ( -96.0% ),33,-587 ( -94.7% ),512159700,66028,53
2016-12-13,6,0.1%,6,0%,742,0.0%,11.5%,416000,209000 ( 101.0% ),85,52 ( 157.6% ),512575700,66113,51
2016-12-14,3,0.1%,4,0%,532,0.0%,9.0%,295000,-121000 ( -29.1% ),48,-37 ( -43.5% ),512870700,66161,60
2016-12-15,1,0.0%,1,0%,103,0.0%,77.7%,480000,185000 ( 62.7% ),80,32 ( 66.7% ),513350700,66241,53
2016-12-16,2,0.0%,3,0%,183,0.0%,87.4%,880000,400000 ( 83.3% ),160,80 ( 100.0% ),514230700,66401,32
2016-12-17,1,0.0%,1,0%,128,0.0%,4.7%,48000,-832000 ( -94.5% ),6,-154 ( -96.3% ),514278700,66407,81
2016-12-22,2,0.0%,2,0%,234,0.0%,66.2%,775000,775000 ( 100.0% ),155,155 ( 100.0% ),515053700,66562,35
