날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-15,1,0.0%,3,0%,996,0.0%,83.3%,3320000,3320000 ( 100.0% ),830,830 ( 100.0% ),3320000,830,11
2018-06-19,5,0.1%,7,0%,1897,0.1%,82.8%,14139000,14139000 ( 100.0% ),1571,1571 ( 100.0% ),17459000,2401,11
2018-06-20,10,0.2%,10,0.1%,3036,0.1%,99.2%,27108000,12969000 ( 91.7% ),3012,1441 ( 91.7% ),44567000,5413,8
2018-06-23,7,0.1%,7,0%,1391,0.0%,55.0%,8374900,8374900 ( 100.0% ),765,765 ( 100.0% ),52941900,6178,20
2018-06-24,1,0.0%,1,0%,180,0.0%,100.0%,2160000,-6214900 ( -74.2% ),180,-585 ( -76.5% ),55101900,6358,34
2018-06-25,4,0.1%,4,0%,1502,0.1%,98.4%,13302000,11142000 ( 515.8% ),1478,1298 ( 721.1% ),68403900,7836,12
2018-06-27,880,15.9%,3793,22.6%,680364,25.5%,17.9%,738666200,738666200 ( 100.0% ),121990,121990 ( 100.0% ),807070100,129826,2
2018-06-28,864,16.0%,3980,23.3%,721771,26.4%,13.1%,770347800,31681600 ( 4.3% ),94414,-27576 ( -22.6% ),1577417900,224240,1
2018-06-29,921,16.6%,4213,23.7%,759372,26.8%,17.9%,1226299921,455952121 ( 59.2% ),136113,41699 ( 44.2% ),2803717821,360353,1
2018-06-30,1054,17.5%,4828,25.6%,872958,29.3%,34.6%,2743779931,1517480010 ( 123.7% ),301612,165499 ( 121.6% ),5547497752,661965,1
2018-07-01,1117,18.8%,4880,26.7%,882737,30.6%,33.6%,2703207100,-40572831 ( -1.5% ),296821,-4791 ( -1.6% ),8250704852,958786,1
2018-07-02,1017,19.5%,4686,27.8%,858713,31.8%,14.5%,1018969200,-1684237900 ( -62.3% ),124470,-172351 ( -58.1% ),9269674052,1083256,1
