날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-28,1,0.0%,1,0%,208,0.0%,100.0%,1664000,1664000 ( 100.0% ),208,208 ( 100.0% ),1664000,208,39
2017-10-11,1,0.0%,1,0%,208,0.0%,100.0%,1664000,1664000 ( 100.0% ),208,208 ( 100.0% ),3328000,416,25
2017-10-18,17,0.3%,17,0.1%,2784,0.1%,53.6%,13411800,13411800 ( 100.0% ),1491,1491 ( 100.0% ),16739800,1907,9
2017-10-19,371,6.4%,977,5.8%,142796,5.2%,4.9%,51129800,37718000 ( 281.2% ),6976,5485 ( 367.9% ),67869600,8883,8
2017-10-20,398,6.6%,946,5.5%,136809,4.8%,4.7%,52335589,1205789 ( 2.4% ),6383,-593 ( -8.5% ),120205189,15266,9
2017-10-21,371,5.7%,754,4.1%,99373,3.3%,8.1%,67258893,14923304 ( 28.5% ),8057,1674 ( 26.2% ),187464082,23323,11
2017-10-22,357,5.6%,696,3.8%,92003,3.1%,8.0%,61815600,-5443293 ( -8.1% ),7377,-680 ( -8.4% ),249279682,30700,11
2017-10-23,344,6.2%,700,4.3%,100136,3.7%,4.1%,29903500,-31912100 ( -51.6% ),4126,-3251 ( -44.1% ),279183182,34826,8
2017-10-24,341,6.0%,690,4.2%,98797,3.6%,4.2%,29724500,-179000 ( -0.6% ),4107,-19 ( -0.5% ),308907682,38933,9
2017-10-25,118,2.2%,142,0.9%,18639,0.7%,7.4%,8993500,-20731000 ( -69.7% ),1386,-2721 ( -66.3% ),317901182,40319,10
2017-10-26,63,1.2%,68,0.4%,9582,0.4%,6.8%,4947000,-4046500 ( -45.0% ),653,-733 ( -52.9% ),322848182,40972,21
2017-10-27,58,1.1%,69,0.4%,9415,0.3%,8.2%,6479500,1532500 ( 31.0% ),770,117 ( 17.9% ),329327682,41742,18
2017-10-28,52,0.9%,60,0.3%,7535,0.3%,13.3%,8533400,2053900 ( 31.7% ),1001,231 ( 30.0% ),337861082,42743,19
