날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-12,6,0.1%,11,0.1%,2548,0.1%,98.0%,19433000,19433000 ( 100.0% ),2498,2498 ( 100.0% ),19433000,2498,10
2016-12-15,16,0.3%,17,0.1%,3188,0.1%,99.7%,27660000,27660000 ( 100.0% ),3180,3180 ( 100.0% ),47093000,5678,10
2016-12-16,35,0.6%,37,0.2%,7069,0.3%,100.0%,66144000,38484000 ( 139.1% ),7069,3889 ( 122.3% ),113237000,12747,8
2016-12-17,2,0.0%,5,0%,326,0.0%,100.0%,3260000,-62884000 ( -95.1% ),326,-6743 ( -95.4% ),116497000,13073,24
2016-12-18,3,0.1%,8,0%,980,0.0%,82.4%,8080000,4820000 ( 147.9% ),808,482 ( 147.9% ),124577000,13881,18
2016-12-19,22,0.4%,23,0.1%,4702,0.2%,99.6%,38508000,30428000 ( 376.6% ),4685,3877 ( 479.8% ),163085000,18566,7
2016-12-20,26,0.5%,28,0.2%,5847,0.2%,83.4%,50288200,11780200 ( 30.6% ),4878,193 ( 4.1% ),213373200,23444,9
2016-12-21,1448,29.2%,6617,43.1%,1294473,51.5%,30.3%,2944795900,2894507700 ( 5755.8% ),392856,387978 ( 7953.6% ),3158169100,416300,1
2016-12-22,1441,28.0%,6615,42.5%,1296233,51.0%,26.8%,2616224500,-328571400 ( -11.2% ),347324,-45532 ( -11.6% ),5774393600,763624,1
2016-12-23,1450,27.8%,7026,43.2%,1370612,51.6%,30.4%,3495241400,879016900 ( 33.6% ),417071,69747 ( 20.1% ),9269635000,1180695,1
2016-12-24,1501,25.7%,7383,41.3%,1430886,49.4%,64.2%,7874891609,4379650209 ( 125.3% ),918759,501688 ( 120.3% ),17144526609,2099454,1
2016-12-25,1495,25.5%,7145,41%,1382920,48.9%,65.3%,7685360800,-189530809 ( -2.4% ),902734,-16025 ( -1.7% ),24829887409,3002188,1
2016-12-26,1390,27.2%,6634,41.9%,1299988,50.3%,21.0%,2069763000,-5615597800 ( -73.1% ),273151,-629583 ( -69.7% ),26899650409,3275339,1
2016-12-27,1425,26.8%,6601,41.5%,1281648,49.4%,19.5%,1872795600,-196967400 ( -9.5% ),250253,-22898 ( -8.4% ),28772446009,3525592,1
2016-12-28,1263,23.3%,5482,34.3%,1026256,39.4%,30.2%,1880136850,7341250 ( 0.4% ),310391,60138 ( 24.0% ),30652582859,3835983,1
2016-12-29,1224,23.0%,5560,34.5%,1041886,39.7%,22.4%,1769010700,-111126150 ( -5.9% ),233247,-77144 ( -24.9% ),32421593559,4069230,1
2016-12-30,1206,22.4%,5697,34.4%,1072700,39.8%,30.6%,2779549256,1010538556 ( 57.1% ),328306,95059 ( 40.8% ),35201142815,4397536,1
2016-12-31,1262,21.3%,5897,34%,1121237,39.8%,48.0%,4583498250,1803948994 ( 64.9% ),537784,209478 ( 63.8% ),39784641065,4935320,1
2017-01-01,1245,21.2%,5721,34.2%,1090452,40.1%,46.4%,4399793100,-183705150 ( -4.0% ),506299,-31485 ( -5.9% ),44184434165,5441619,1
2017-01-02,1161,22.1%,5381,33.9%,1038699,40.0%,17.7%,1404122100,-2995671000 ( -68.1% ),183423,-322876 ( -63.8% ),45588556265,5625042,1
2017-01-03,1173,21.5%,5334,33.7%,1024606,39.7%,13.3%,1036588100,-367534000 ( -26.2% ),135859,-47564 ( -25.9% ),46625144365,5760901,1
2017-01-04,871,14.6%,3552,20.6%,720975,25.7%,14.2%,784589300,-251998800 ( -24.3% ),102362,-33497 ( -24.7% ),47409733665,5863263,2
