날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-02,1,0.0%,1,0%,118,0.0%,41.5%,500000,500000 ( 100.0% ),49,49 ( 100.0% ),500000,49,49
2016-08-05,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),1508000,175,34
2016-08-06,1,0.0%,2,0%,398,0.0%,75.1%,2985000,1977000 ( 196.1% ),299,173 ( 137.3% ),4493000,474,23
2016-08-10,122,2.3%,230,1.3%,29453,1.0%,21.1%,45052400,45052400 ( 100.0% ),6215,6215 ( 100.0% ),49545400,6689,11
2016-08-11,120,2.2%,215,1.2%,27285,1.0%,25.2%,50121800,5069400 ( 11.3% ),6880,665 ( 10.7% ),99667200,13569,11
2016-08-12,117,2.1%,211,1.2%,26723,0.9%,26.3%,55635600,5513800 ( 11.0% ),7025,145 ( 2.1% ),155302800,20594,11
2016-08-13,128,2.1%,215,1.2%,26575,0.9%,44.0%,93652500,38016900 ( 68.3% ),11695,4670 ( 66.5% ),248955300,32289,11
2016-08-14,123,2.0%,213,1.2%,26359,0.9%,49.3%,106107400,12454900 ( 13.3% ),13004,1309 ( 11.2% ),355062700,45293,10
2016-08-15,126,2.2%,208,1.2%,25055,0.9%,69.3%,139001800,32894400 ( 31.0% ),17364,4360 ( 33.5% ),494064500,62657,10
2016-08-16,115,2.2%,216,1.3%,26557,1.0%,25.2%,49582700,-89419100 ( -64.3% ),6687,-10677 ( -61.5% ),543647200,69344,10
2016-08-17,99,1.7%,132,0.8%,17418,0.6%,27.4%,35817200,-13765500 ( -27.8% ),4773,-1914 ( -28.6% ),579464400,74117,11
2016-08-18,95,1.6%,134,0.8%,17266,0.6%,28.5%,35629100,-188100 ( -0.5% ),4913,140 ( 2.9% ),615093500,79030,11
2016-08-19,101,1.7%,137,0.8%,18481,0.7%,25.0%,38350400,2721300 ( 7.6% ),4613,-300 ( -6.1% ),653443900,83643,11
2016-08-20,100,1.6%,138,0.8%,17626,0.6%,45.8%,67243100,28892700 ( 75.3% ),8079,3466 ( 75.1% ),720687000,91722,11
2016-08-21,104,1.7%,142,0.8%,18080,0.6%,49.5%,75180000,7936900 ( 11.8% ),8953,874 ( 10.8% ),795867000,100675,9
2016-08-22,97,1.8%,137,0.8%,17563,0.7%,17.4%,22265800,-52914200 ( -70.4% ),3059,-5894 ( -65.8% ),818132800,103734,11
2016-08-23,96,1.7%,132,0.8%,17031,0.6%,16.7%,20900300,-1365500 ( -6.1% ),2852,-207 ( -6.8% ),839033100,106586,12
2016-08-24,84,1.5%,104,0.6%,14026,0.5%,12.1%,12342800,-8557500 ( -40.9% ),1702,-1150 ( -40.3% ),851375900,108288,16
2016-08-25,70,1.2%,94,0.6%,13754,0.5%,8.5%,8424300,-3918500 ( -31.7% ),1164,-538 ( -31.6% ),859800200,109452,21
2016-08-26,67,1.1%,91,0.5%,13148,0.5%,8.2%,8665600,241300 ( 2.9% ),1077,-87 ( -7.5% ),868465800,110529,23
2016-08-27,80,1.2%,106,0.6%,14893,0.5%,27.1%,33692100,25026500 ( 288.8% ),4031,2954 ( 274.3% ),902157900,114560,14
2016-08-28,74,1.1%,99,0.6%,13765,0.5%,29.6%,34353300,661200 ( 2.0% ),4072,41 ( 1.0% ),936511200,118632,14
2016-08-29,54,0.9%,66,0.4%,9148,0.3%,5.8%,3973100,-30380200 ( -88.4% ),535,-3537 ( -86.9% ),940484300,119167,24
2016-08-30,55,0.9%,68,0.4%,9383,0.4%,6.4%,4155400,182300 ( 4.6% ),602,67 ( 12.5% ),944639700,119769,26
2016-08-31,32,0.5%,35,0.2%,4816,0.2%,10.2%,2909000,-1246400 ( -30.0% ),491,-111 ( -18.4% ),947548700,120260,30
2016-09-01,28,0.5%,31,0.2%,4280,0.2%,4.5%,1421500,-1487500 ( -51.1% ),192,-299 ( -60.9% ),948970200,120452,46
2016-09-02,25,0.4%,27,0.2%,3636,0.1%,3.9%,1091000,-330500 ( -23.3% ),142,-50 ( -26.0% ),950061200,120594,48
2016-09-03,42,0.7%,55,0.3%,7091,0.2%,22.2%,13328800,12237800 ( 1121.7% ),1574,1432 ( 1008.5% ),963390000,122168,20
2016-09-04,45,0.7%,56,0.3%,7097,0.2%,25.6%,15391200,2062400 ( 15.5% ),1814,240 ( 15.2% ),978781200,123982,19
2016-09-05,24,0.4%,28,0.2%,3978,0.2%,3.5%,1032100,-14359100 ( -93.3% ),141,-1673 ( -92.2% ),979813300,124123,44
2016-09-06,24,0.4%,26,0.2%,3749,0.1%,3.5%,905000,-127100 ( -12.3% ),131,-10 ( -7.1% ),980718300,124254,53
2016-09-10,6,0.1%,6,0%,732,0.0%,13.1%,644700,644700 ( 100.0% ),96,96 ( 100.0% ),981363000,124350,53
2016-09-11,5,0.1%,5,0%,781,0.0%,12.7%,677700,33000 ( 5.1% ),99,3 ( 3.1% ),982040700,124449,51
2016-09-12,6,0.1%,6,0%,835,0.0%,9.2%,529000,-148700 ( -21.9% ),77,-22 ( -22.2% ),982569700,124526,52
2016-09-13,1,0.0%,1,0%,130,0.0%,34.6%,299900,-229100 ( -43.3% ),45,-32 ( -41.6% ),982869600,124571,69
2016-09-14,6,0.1%,6,0%,762,0.0%,20.3%,1057700,757800 ( 252.7% ),155,110 ( 244.4% ),983927300,124726,41
2016-09-15,5,0.1%,5,0%,588,0.0%,21.8%,868800,-188900 ( -17.9% ),128,-27 ( -17.4% ),984796100,124854,38
2016-09-16,6,0.1%,6,0%,854,0.0%,23.9%,1399300,530500 ( 61.1% ),204,76 ( 59.4% ),986195400,125058,42
2016-09-17,3,0.0%,3,0%,456,0.0%,29.6%,919600,-479700 ( -34.3% ),135,-69 ( -33.8% ),987115000,125193,48
2016-09-18,8,0.1%,8,0%,991,0.0%,26.4%,1787500,867900 ( 94.4% ),262,127 ( 94.1% ),988902500,125455,32
2016-09-21,1,0.0%,1,0%,120,0.0%,31.7%,243800,243800 ( 100.0% ),38,38 ( 100.0% ),989146300,125493,63
2016-09-26,1,0.0%,1,0%,117,0.0%,59.8%,770000,770000 ( 100.0% ),70,70 ( 100.0% ),989916300,125563,54
2016-10-16,1,0.0%,2,0%,316,0.0%,27.8%,522400,522400 ( 100.0% ),88,88 ( 100.0% ),990438700,125651,52
2016-10-29,1,0.0%,1,0%,126,0.0%,23.8%,187600,187600 ( 100.0% ),30,30 ( 100.0% ),990626300,125681,70
2016-10-30,1,0.0%,1,0%,126,0.0%,22.2%,164600,-23000 ( -12.3% ),28,-2 ( -6.7% ),990790900,125709,68
2016-11-06,1,0.0%,1,0%,165,0.0%,30.3%,300000,300000 ( 100.0% ),50,50 ( 100.0% ),991090900,125759,59
2016-11-12,1,0.0%,1,0%,152,0.0%,4.6%,48000,48000 ( 100.0% ),7,7 ( 100.0% ),991138900,125766,115
2016-11-13,1,0.0%,1,0%,152,0.0%,10.5%,110000,62000 ( 129.2% ),16,9 ( 128.6% ),991248900,125782,88
2016-11-17,1,0.0%,1,0%,187,0.0%,1.6%,19000,19000 ( 100.0% ),3,3 ( 100.0% ),991267900,125785,128
2016-11-22,1,0.0%,1,0%,187,0.0%,2.1%,30000,30000 ( 100.0% ),4,4 ( 100.0% ),991297900,125789,124
2016-11-26,1,0.0%,1,0%,187,0.0%,3.7%,50000,50000 ( 100.0% ),7,7 ( 100.0% ),991347900,125796,118
2016-11-27,1,0.0%,1,0%,89,0.0%,4.5%,28000,-22000 ( -44.0% ),4,-3 ( -42.9% ),991375900,125800,117
