날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-21,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),3208000,401,17
2016-07-29,11,0.2%,11,0.1%,2304,0.1%,100.0%,22524000,22524000 ( 100.0% ),2304,2304 ( 100.0% ),25732000,2705,10
2016-08-01,4,0.1%,4,0%,796,0.0%,83.5%,5680000,5680000 ( 100.0% ),665,665 ( 100.0% ),31412000,3370,16
2016-08-03,573,11.4%,1815,10.2%,257609,8.8%,70.7%,1298745100,1298745100 ( 100.0% ),182044,182044 ( 100.0% ),1330157100,185414,5
2016-08-04,630,11.9%,1924,10.7%,276833,9.4%,58.4%,1154832500,-143912600 ( -11.1% ),161700,-20344 ( -11.2% ),2484989600,347114,5
2016-08-05,672,12.5%,2077,11.4%,304352,10.2%,53.4%,1300265045,145432545 ( 12.6% ),162375,675 ( 0.4% ),3785254645,509489,5
2016-08-06,726,13.3%,2347,12.6%,361614,11.8%,67.3%,1958909465,658644420 ( 50.7% ),243388,81013 ( 49.9% ),5744164110,752877,4
2016-08-07,726,13.4%,2344,12.9%,362940,12.1%,64.4%,1897849300,-61060165 ( -3.1% ),233861,-9527 ( -3.9% ),7642013410,986738,4
2016-08-08,617,12.5%,2111,12.1%,322067,11.2%,32.9%,773243360,-1124605940 ( -59.3% ),106068,-127793 ( -54.6% ),8415256770,1092806,4
2016-08-09,630,12.5%,2129,12.1%,325317,11.3%,33.3%,778939200,5695840 ( 0.7% ),108189,2121 ( 2.0% ),9194195970,1200995,4
2016-08-10,505,9.6%,1315,7.7%,181648,6.4%,41.3%,533131800,-245807400 ( -31.6% ),74937,-33252 ( -30.7% ),9727327770,1275932,5
2016-08-11,533,9.8%,1353,7.8%,185800,6.5%,41.1%,541998000,8866200 ( 1.7% ),76362,1425 ( 1.9% ),10269325770,1352294,4
2016-08-12,538,9.6%,1392,7.9%,192918,6.7%,40.0%,604636400,62638400 ( 11.6% ),77099,737 ( 1.0% ),10873962170,1429393,5
2016-08-13,607,10.0%,1562,8.6%,223679,7.5%,64.6%,1157433500,552797100 ( 91.4% ),144481,67382 ( 87.4% ),12031395670,1573874,4
2016-08-14,617,10.2%,1575,8.7%,226457,7.6%,65.0%,1196116200,38682700 ( 3.3% ),147216,2735 ( 1.9% ),13227511870,1721090,4
2016-08-15,613,10.6%,1563,8.9%,221004,7.7%,77.2%,1353804200,157688000 ( 13.2% ),170524,23308 ( 15.8% ),14581316070,1891614,4
2016-08-16,513,9.7%,1348,8%,186775,6.8%,28.3%,379901700,-973902500 ( -71.9% ),52925,-117599 ( -69.0% ),14961217770,1944539,4
2016-08-17,422,7.5%,836,5%,114855,4.2%,33.8%,273781300,-106120400 ( -27.9% ),38784,-14141 ( -26.7% ),15234999070,1983323,5
2016-08-18,433,7.4%,856,5.1%,117553,4.2%,33.3%,275833900,2052600 ( 0.7% ),39131,347 ( 0.9% ),15510832970,2022454,5
2016-08-19,459,7.8%,936,5.5%,129347,4.6%,30.4%,305335350,29501450 ( 10.7% ),39385,254 ( 0.6% ),15816168320,2061839,6
2016-08-20,510,8.4%,1222,6.9%,170654,5.9%,53.6%,728710235,423374885 ( 138.7% ),91533,52148 ( 132.4% ),16544878555,2153372,4
2016-08-21,523,8.7%,1241,7.2%,173010,6.1%,53.6%,749855500,21145265 ( 2.9% ),92666,1133 ( 1.2% ),17294734055,2246038,4
2016-08-22,412,7.5%,895,5.5%,124753,4.7%,21.7%,196995500,-552860000 ( -73.7% ),27086,-65580 ( -70.8% ),17491729555,2273124,6
2016-08-23,424,7.6%,905,5.6%,127113,4.8%,19.8%,180266900,-16728600 ( -8.5% ),25195,-1891 ( -7.0% ),17671996455,2298319,6
2016-08-24,371,6.8%,752,4.6%,105609,3.9%,16.8%,126748600,-53518300 ( -29.7% ),17787,-7408 ( -29.4% ),17798745055,2316106,7
2016-08-25,327,5.5%,569,3.4%,83247,3.0%,16.0%,94796100,-31952500 ( -25.2% ),13282,-4505 ( -25.3% ),17893541155,2329388,9
2016-08-26,342,5.6%,587,3.5%,86347,3.1%,14.1%,97876300,3080200 ( 3.2% ),12205,-1077 ( -8.1% ),17991417455,2341593,9
2016-08-27,473,7.1%,966,5.4%,139268,4.8%,34.7%,387206500,289330200 ( 295.6% ),48260,36055 ( 295.4% ),18378623955,2389853,6
2016-08-28,466,7.1%,960,5.5%,138364,4.9%,34.3%,384726600,-2479900 ( -0.6% ),47484,-776 ( -1.6% ),18763350555,2437337,6
2016-08-29,310,5.4%,511,3.2%,76009,2.9%,8.5%,48863100,-335863500 ( -87.3% ),6495,-40989 ( -86.3% ),18812213655,2443832,9
2016-08-30,312,5.3%,515,3.2%,75844,2.9%,9.1%,50148900,1285800 ( 2.6% ),6892,397 ( 6.1% ),18862362555,2450724,9
2016-08-31,240,3.9%,330,2%,49176,1.8%,14.5%,43835300,-6313600 ( -12.6% ),7117,225 ( 3.3% ),18906197855,2457841,12
2016-09-01,221,3.8%,318,2%,49043,1.8%,6.5%,23169700,-20665600 ( -47.1% ),3205,-3912 ( -55.0% ),18929367555,2461046,13
2016-09-02,233,3.9%,320,1.9%,46798,1.7%,9.1%,31880900,8711200 ( 37.6% ),4247,1042 ( 32.5% ),18961248455,2465293,11
2016-09-03,362,5.7%,679,3.8%,98170,3.3%,24.1%,192745100,160864200 ( 504.6% ),23680,19433 ( 457.6% ),19153993555,2488973,6
2016-09-04,368,5.9%,691,4%,100108,3.5%,25.1%,205045800,12300700 ( 6.4% ),25132,1452 ( 6.1% ),19359039355,2514105,6
2016-09-05,203,3.6%,282,1.8%,43872,1.7%,4.6%,15310300,-189735500 ( -92.5% ),2024,-23108 ( -91.9% ),19374349655,2516129,14
2016-09-06,214,3.7%,286,1.9%,42807,1.7%,4.7%,14017100,-1293200 ( -8.4% ),2015,-9 ( -0.4% ),19388366755,2518144,16
2016-09-07,16,0.3%,16,0.1%,2180,0.1%,14.1%,1748300,-12268800 ( -87.5% ),307,-1708 ( -84.8% ),19390115055,2518451,26
2016-09-08,11,0.2%,11,0.1%,1062,0.0%,23.6%,1272500,-475800 ( -27.2% ),251,-56 ( -18.2% ),19391387555,2518702,31
2016-09-09,8,0.2%,8,0.1%,667,0.0%,4.6%,277000,-995500 ( -78.2% ),31,-220 ( -87.6% ),19391664555,2518733,67
2016-09-10,27,0.5%,30,0.2%,3707,0.1%,14.9%,4670900,4393900 ( 1586.2% ),552,521 ( 1680.6% ),19396335455,2519285,25
2016-09-11,21,0.4%,24,0.1%,2751,0.1%,25.6%,5543600,872700 ( 18.7% ),703,151 ( 27.4% ),19401879055,2519988,21
2016-09-12,9,0.2%,9,0.1%,900,0.0%,6.6%,424600,-5119000 ( -92.3% ),59,-644 ( -91.6% ),19402303655,2520047,55
2016-09-13,7,0.1%,7,0%,805,0.0%,7.8%,418000,-6600 ( -1.6% ),63,4 ( 6.8% ),19402721655,2520110,56
2016-09-14,3,0.1%,3,0%,295,0.0%,15.6%,414700,-3300 ( -0.8% ),46,-17 ( -27.0% ),19403136355,2520156,65
2016-09-15,3,0.1%,3,0%,329,0.0%,20.7%,581400,166700 ( 40.2% ),68,22 ( 47.8% ),19403717755,2520224,54
2016-09-16,3,0.0%,3,0%,329,0.0%,17.3%,488000,-93400 ( -16.1% ),57,-11 ( -16.2% ),19404205755,2520281,68
2016-09-17,2,0.0%,2,0%,394,0.0%,12.2%,407900,-80100 ( -16.4% ),48,-9 ( -15.8% ),19404613655,2520329,76
2016-09-18,2,0.0%,2,0%,394,0.0%,5.6%,187000,-220900 ( -54.2% ),22,-26 ( -54.2% ),19404800655,2520351,86
2016-09-19,1,0.0%,1,0%,42,0.0%,50.0%,105000,-82000 ( -43.9% ),21,-1 ( -4.5% ),19404905655,2520372,57
2016-09-22,3,0.1%,3,0%,170,0.0%,57.1%,526000,526000 ( 100.0% ),97,97 ( 100.0% ),19405431655,2520469,52
2016-09-23,1,0.0%,1,0%,57,0.0%,71.9%,205000,-321000 ( -61.0% ),41,-56 ( -57.7% ),19405636655,2520510,64
2016-11-04,2,0.0%,2,0%,192,0.0%,83.3%,800000,800000 ( 100.0% ),160,160 ( 100.0% ),19406436655,2520670,37
2017-10-12,1,0.0%,1,0%,206,0.0%,0.5%,9000,9000 ( 100.0% ),1,1 ( 100.0% ),19406445655,2520671,95
2017-10-13,1,0.0%,1,0%,206,0.0%,1.5%,24000,15000 ( 166.7% ),3,2 ( 200.0% ),19406469655,2520674,84
2017-10-14,1,0.0%,1,0%,206,0.0%,2.9%,62000,38000 ( 158.3% ),6,3 ( 100.0% ),19406531655,2520680,77
2017-10-15,1,0.0%,1,0%,206,0.0%,3.4%,75000,13000 ( 21.0% ),7,1 ( 16.7% ),19406606655,2520687,83
2017-10-16,1,0.0%,1,0%,206,0.0%,0.5%,8000,-67000 ( -89.3% ),1,-6 ( -85.7% ),19406614655,2520688,79
2017-10-17,1,0.0%,1,0%,206,0.0%,4.9%,87000,79000 ( 987.5% ),10,9 ( 900.0% ),19406701655,2520698,70
2017-10-18,1,0.0%,1,0%,206,0.0%,1.0%,15000,-72000 ( -82.8% ),2,-8 ( -80.0% ),19406716655,2520700,94
