날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-19,1,0.0%,1,0%,90,0.0%,100.0%,630000,630000 ( 100.0% ),90,90 ( 100.0% ),630000,90,39
2018-03-28,99,1.9%,218,1.3%,25500,0.9%,12.6%,20066000,20066000 ( 100.0% ),3214,3214 ( 100.0% ),20696000,3304,7
2018-03-29,101,1.9%,210,1.2%,25468,0.9%,10.0%,17189000,-2877000 ( -14.3% ),2555,-659 ( -20.5% ),37885000,5859,7
2018-03-30,99,1.9%,206,1.2%,25053,0.9%,8.5%,15544000,-1645000 ( -9.6% ),2117,-438 ( -17.1% ),53429000,7976,8
2018-03-31,110,2.0%,215,1.1%,25089,0.8%,15.3%,28554500,13010500 ( 83.7% ),3829,1712 ( 80.9% ),81983500,11805,8
2018-04-01,111,2.0%,199,1.1%,23204,0.8%,17.9%,31589800,3035300 ( 10.6% ),4145,316 ( 8.3% ),113573300,15950,8
2018-04-02,99,2.1%,203,1.2%,25898,1.0%,7.5%,12736000,-18853800 ( -59.7% ),1948,-2197 ( -53.0% ),126309300,17898,7
2018-04-03,104,2.1%,200,1.2%,25688,1.0%,6.6%,11167500,-1568500 ( -12.3% ),1703,-245 ( -12.6% ),137476800,19601,9
2018-04-04,93,1.9%,171,1%,22438,0.8%,6.6%,10126900,-1040600 ( -9.3% ),1483,-220 ( -12.9% ),147603700,21084,9
2018-04-05,57,1.1%,84,0.5%,11767,0.4%,9.9%,7642000,-2484900 ( -24.5% ),1163,-320 ( -21.6% ),155245700,22247,13
2018-04-06,59,1.1%,84,0.5%,11996,0.4%,9.9%,8156000,514000 ( 6.7% ),1190,27 ( 2.3% ),163401700,23437,11
2018-04-07,73,1.2%,96,0.5%,12339,0.4%,10.6%,9647000,1491000 ( 18.3% ),1304,114 ( 9.6% ),173048700,24741,15
2018-04-08,74,1.3%,97,0.5%,12914,0.4%,9.1%,8874000,-773000 ( -8.0% ),1180,-124 ( -9.5% ),181922700,25921,15
2018-04-09,50,1.0%,74,0.4%,10840,0.4%,5.9%,4127500,-4746500 ( -53.5% ),636,-544 ( -46.1% ),186050200,26557,13
2018-04-10,51,1.0%,70,0.4%,10124,0.4%,5.2%,3466500,-661000 ( -16.0% ),530,-106 ( -16.7% ),189516700,27087,13
