날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-18,1,0.0%,1,0%,414,0.0%,98.1%,3654000,3654000 ( 100.0% ),406,406 ( 100.0% ),3654000,406,22
2018-07-19,4,0.1%,4,0%,876,0.0%,100.0%,7914000,4260000 ( 116.6% ),876,470 ( 115.8% ),11568000,1282,20
2018-07-26,9,0.2%,9,0.1%,2825,0.1%,96.5%,24534000,24534000 ( 100.0% ),2726,2726 ( 100.0% ),36102000,4008,10
2018-07-28,20,0.3%,20,0.1%,2796,0.1%,95.8%,18753000,18753000 ( 100.0% ),2679,2679 ( 100.0% ),54855000,6687,9
2018-07-31,10,0.2%,10,0.1%,2006,0.1%,100.0%,20060000,20060000 ( 100.0% ),2006,2006 ( 100.0% ),74915000,8693,11
2018-08-01,6,0.1%,6,0%,1081,0.0%,46.2%,4460000,-15600000 ( -77.8% ),499,-1507 ( -75.1% ),79375000,9192,13
2018-08-02,11,0.2%,11,0.1%,2589,0.1%,99.8%,23256000,18796000 ( 421.4% ),2584,2085 ( 417.8% ),102631000,11776,10
2018-08-04,259,4.6%,419,2.2%,53033,1.8%,60.6%,289176900,289176900 ( 100.0% ),32146,32146 ( 100.0% ),391807900,43922,6
2018-08-05,264,4.7%,412,2.2%,52262,1.8%,59.9%,281510900,-7666000 ( -2.7% ),31292,-854 ( -2.7% ),673318800,75214,6
2018-08-06,1,0.0%,1,0%,414,0.0%,87.4%,3064300,-278446600 ( -98.9% ),362,-30930 ( -98.8% ),676383100,75576,18
2018-08-07,4,0.1%,5,0%,1118,0.0%,96.3%,9598500,6534200 ( 213.2% ),1077,715 ( 197.5% ),685981600,76653,12
2018-08-08,750,13.4%,3067,16.5%,438848,15.1%,33.3%,1162055100,1152456600 ( 12006.6% ),145931,144854 ( 13449.8% ),1848036700,222584,3
2018-08-09,731,12.7%,2993,16%,431144,14.7%,27.8%,960541400,-201513700 ( -17.3% ),120030,-25901 ( -17.7% ),2808578100,342614,3
2018-08-10,703,12.0%,2924,15.4%,418977,14.1%,30.3%,1133200852,172659452 ( 18.0% ),127110,7080 ( 5.9% ),3941778952,469724,3
