날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-23,6,0.1%,6,0%,907,0.0%,66.2%,4190000,4190000 ( 100.0% ),600,600 ( 100.0% ),4190000,600,22
2018-04-24,5,0.1%,5,0%,642,0.0%,77.9%,3500000,-690000 ( -16.5% ),500,-100 ( -16.7% ),7690000,1100,28
2018-04-26,1,0.0%,1,0%,110,0.0%,90.9%,700000,700000 ( 100.0% ),100,100 ( 100.0% ),8390000,1200,49
2018-05-02,5,0.1%,5,0%,611,0.0%,52.9%,2839000,2839000 ( 100.0% ),323,323 ( 100.0% ),11229000,1523,17
2018-05-03,167,3.6%,188,1.2%,23591,0.9%,9.3%,16359300,13520300 ( 476.2% ),2185,1862 ( 576.5% ),27588300,3708,6
2018-05-04,249,5.1%,304,1.8%,35981,1.3%,11.3%,26153100,9793800 ( 59.9% ),4055,1870 ( 85.6% ),53741400,7763,5
2018-05-05,534,9.5%,940,5.1%,121852,4.3%,17.2%,167434800,141281700 ( 540.2% ),20943,16888 ( 416.5% ),221176200,28706,4
2018-05-06,423,7.6%,627,3.5%,77308,2.8%,13.1%,79674800,-87760000 ( -52.4% ),10090,-10853 ( -51.8% ),300851000,38796,6
2018-05-07,401,7.3%,548,3.2%,67887,2.5%,13.5%,71341200,-8333600 ( -10.5% ),9142,-948 ( -9.4% ),372192200,47938,6
2018-05-08,137,3.0%,148,1%,17474,0.7%,4.5%,5176400,-66164800 ( -92.7% ),781,-8361 ( -91.5% ),377368600,48719,14
2018-05-09,44,1.0%,47,0.3%,5317,0.2%,7.8%,2499600,-2676800 ( -51.7% ),417,-364 ( -46.6% ),379868200,49136,11
2018-05-10,28,0.6%,28,0.2%,2848,0.1%,8.6%,1438000,-1061600 ( -42.5% ),244,-173 ( -41.5% ),381306200,49380,22
2018-05-11,37,0.8%,40,0.2%,3961,0.2%,12.1%,2681000,1243000 ( 86.4% ),478,234 ( 95.9% ),383987200,49858,17
2018-05-12,128,2.5%,148,0.8%,15522,0.6%,15.2%,17544200,14863200 ( 554.4% ),2353,1875 ( 392.3% ),401531400,52211,11
2018-05-13,121,2.4%,140,0.8%,14709,0.5%,11.3%,12555800,-4988400 ( -28.4% ),1666,-687 ( -29.2% ),414087200,53877,12
2018-05-14,18,0.4%,19,0.1%,1807,0.1%,6.3%,665000,-11890800 ( -94.7% ),113,-1553 ( -93.2% ),414752200,53990,32
2018-05-15,37,0.8%,39,0.3%,4510,0.2%,7.9%,2094500,1429500 ( 215.0% ),357,244 ( 215.9% ),416846700,54347,20
2018-05-16,8,0.2%,8,0%,944,0.0%,5.0%,304000,-1790500 ( -85.5% ),47,-310 ( -86.8% ),417150700,54394,41
2018-05-17,2,0.0%,3,0%,119,0.0%,17.6%,121000,-183000 ( -60.2% ),21,-26 ( -55.3% ),417271700,54415,64
2018-05-18,3,0.1%,3,0%,236,0.0%,9.7%,135000,14000 ( 11.6% ),23,2 ( 9.5% ),417406700,54438,64
2018-05-19,4,0.1%,4,0%,250,0.0%,14.4%,246000,111000 ( 82.2% ),36,13 ( 56.5% ),417652700,54474,60
2018-05-20,5,0.1%,5,0%,269,0.0%,15.6%,301000,55000 ( 22.4% ),42,6 ( 16.7% ),417953700,54516,53
2018-05-21,3,0.1%,5,0%,196,0.0%,26.0%,307000,6000 ( 2.0% ),51,9 ( 21.4% ),418260700,54567,46
2018-05-22,1,0.0%,1,0%,39,0.0%,35.9%,74000,-233000 ( -75.9% ),14,-37 ( -72.5% ),418334700,54581,77
2018-05-23,1,0.0%,1,0%,35,0.0%,5.7%,22000,-52000 ( -70.3% ),2,-12 ( -85.7% ),418356700,54583,95
2018-05-24,1,0.0%,1,0%,78,0.0%,59.0%,296000,274000 ( 1245.5% ),46,44 ( 2200.0% ),418652700,54629,58
2018-05-25,1,0.0%,1,0%,100,0.0%,63.0%,348000,52000 ( 17.6% ),63,17 ( 37.0% ),419000700,54692,52
2018-05-26,2,0.0%,2,0%,228,0.0%,17.5%,200000,-148000 ( -42.5% ),40,-23 ( -36.5% ),419200700,54732,60
2018-05-27,2,0.0%,2,0%,228,0.0%,17.5%,200000,0 ( 0.0% ),40,0 ( 0.0% ),419400700,54772,52
2018-05-28,2,0.0%,2,0%,228,0.0%,17.5%,200000,0 ( 0.0% ),40,0 ( 0.0% ),419600700,54812,47
2018-05-29,2,0.0%,2,0%,228,0.0%,17.5%,200000,0 ( 0.0% ),40,0 ( 0.0% ),419800700,54852,56
2018-05-30,2,0.0%,2,0%,228,0.0%,17.5%,200000,0 ( 0.0% ),40,0 ( 0.0% ),420000700,54892,53
2018-05-31,3,0.1%,3,0%,388,0.0%,31.2%,694000,494000 ( 247.0% ),121,81 ( 202.5% ),420694700,55013,46
2018-06-01,2,0.0%,2,0%,228,0.0%,17.5%,200000,-494000 ( -71.2% ),40,-81 ( -66.9% ),420894700,55053,63
2018-06-04,2,0.0%,2,0%,228,0.0%,17.5%,200000,200000 ( 100.0% ),40,40 ( 100.0% ),421094700,55093,59
2018-06-08,3,0.1%,3,0%,667,0.0%,94.5%,5040000,5040000 ( 100.0% ),630,630 ( 100.0% ),426134700,55723,16
2018-06-09,3,0.1%,3,0%,666,0.0%,94.4%,5032000,-8000 ( -0.2% ),629,-1 ( -0.2% ),431166700,56352,18
2018-06-10,3,0.1%,3,0%,630,0.0%,65.4%,3296000,-1736000 ( -34.5% ),412,-217 ( -34.5% ),434462700,56764,22
2018-06-18,1,0.0%,1,0%,287,0.0%,83.6%,1920000,1920000 ( 100.0% ),240,240 ( 100.0% ),436382700,57004,25
