날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-15,1,0.0%,1,0%,142,0.0%,74.6%,943500,943500 ( 100.0% ),106,106 ( 100.0% ),943500,106,37
2017-08-19,1,0.0%,1,0%,142,0.0%,62.7%,809000,809000 ( 100.0% ),89,89 ( 100.0% ),1752500,195,47
2017-08-26,12,0.2%,12,0.1%,1450,0.0%,62.3%,7781000,7781000 ( 100.0% ),904,904 ( 100.0% ),9533500,1099,26
2017-08-27,6,0.1%,6,0%,619,0.0%,57.2%,3050500,-4730500 ( -60.8% ),354,-550 ( -60.8% ),12584000,1453,35
2017-08-28,1,0.0%,1,0%,180,0.0%,100.0%,1800000,-1250500 ( -41.0% ),180,-174 ( -49.2% ),14384000,1633,34
2017-08-29,1,0.0%,1,0%,192,0.0%,100.0%,1536000,-264000 ( -14.7% ),192,12 ( 6.7% ),15920000,1825,35
2017-08-30,1,0.0%,1,0%,375,0.0%,89.1%,3283000,1747000 ( 113.7% ),334,142 ( 74.0% ),19203000,2159,33
2017-09-05,1,0.0%,1,0%,118,0.0%,68.6%,1620000,1620000 ( 100.0% ),81,81 ( 100.0% ),20823000,2240,54
2017-09-06,384,7.1%,838,5%,118338,4.4%,4.7%,39982500,38362500 ( 2368.1% ),5619,5538 ( 6837.0% ),60805500,7859,8
2017-09-07,391,6.6%,789,4.7%,111386,4.1%,5.0%,39662300,-320200 ( -0.8% ),5594,-25 ( -0.4% ),100467800,13453,9
2017-09-08,395,6.5%,759,4.4%,107674,3.8%,6.0%,52251900,12589600 ( 31.7% ),6496,902 ( 16.1% ),152719700,19949,7
2017-09-09,393,6.1%,618,3.3%,81352,2.7%,9.5%,63133700,10881800 ( 20.8% ),7751,1255 ( 19.3% ),215853400,27700,9
2017-09-10,372,5.9%,577,3.2%,74628,2.5%,9.1%,54995500,-8138200 ( -12.9% ),6764,-987 ( -12.7% ),270848900,34464,9
2017-09-11,364,6.4%,667,4.1%,96902,3.6%,5.2%,35370900,-19624600 ( -35.7% ),5033,-1731 ( -25.6% ),306219800,39497,8
2017-09-12,369,6.5%,669,4.1%,94944,3.6%,4.8%,32077500,-3293400 ( -9.3% ),4580,-453 ( -9.0% ),338297300,44077,8
2017-09-13,305,5.0%,504,3.1%,72338,2.7%,4.9%,24761500,-7316000 ( -22.8% ),3566,-1014 ( -22.1% ),363058800,47643,9
2017-09-14,34,0.6%,45,0.3%,5948,0.2%,8.9%,3719000,-21042500 ( -85.0% ),532,-3034 ( -85.1% ),366777800,48175,28
2017-09-15,36,0.6%,47,0.3%,5958,0.2%,11.1%,5429500,1710500 ( 46.0% ),662,130 ( 24.4% ),372207300,48837,20
2017-09-16,33,0.5%,40,0.2%,4951,0.2%,18.2%,7404600,1975100 ( 36.4% ),903,241 ( 36.4% ),379611900,49740,26
2017-09-17,33,0.5%,42,0.2%,5500,0.2%,16.1%,7035500,-369100 ( -5.0% ),888,-15 ( -1.7% ),386647400,50628,24
2017-09-18,38,0.7%,48,0.3%,6183,0.2%,8.0%,3631500,-3404000 ( -48.4% ),494,-394 ( -44.4% ),390278900,51122,24
2017-09-19,35,0.6%,41,0.3%,5439,0.2%,7.6%,2788000,-843500 ( -23.2% ),412,-82 ( -16.6% ),393066900,51534,27
2017-09-20,37,0.6%,44,0.3%,6182,0.2%,6.7%,3025000,237000 ( 8.5% ),417,5 ( 1.2% ),396091900,51951,32
2017-09-21,13,0.2%,14,0.1%,2102,0.1%,8.0%,1219500,-1805500 ( -59.7% ),168,-249 ( -59.7% ),397311400,52119,54
2017-09-22,11,0.2%,11,0.1%,1859,0.1%,8.4%,1223000,3500 ( 0.3% ),157,-11 ( -6.5% ),398534400,52276,43
2017-09-23,8,0.1%,10,0.1%,1236,0.0%,22.7%,2278500,1055500 ( 86.3% ),280,123 ( 78.3% ),400812900,52556,47
2017-09-24,9,0.1%,10,0.1%,1331,0.0%,16.5%,1942500,-336000 ( -14.7% ),220,-60 ( -21.4% ),402755400,52776,45
2017-09-25,7,0.1%,8,0.1%,1025,0.0%,9.5%,691600,-1250900 ( -64.4% ),97,-123 ( -55.9% ),403447000,52873,55
2017-09-26,8,0.1%,9,0.1%,1055,0.0%,16.3%,1212000,520400 ( 75.2% ),172,75 ( 77.3% ),404659000,53045,43
2017-09-27,3,0.1%,3,0%,571,0.0%,9.1%,353000,-859000 ( -70.9% ),52,-120 ( -69.8% ),405012000,53097,65
2017-09-28,3,0.1%,3,0%,220,0.0%,30.5%,544000,191000 ( 54.1% ),67,15 ( 28.8% ),405556000,53164,69
2017-09-29,2,0.0%,2,0%,180,0.0%,55.0%,927500,383500 ( 70.5% ),99,32 ( 47.8% ),406483500,53263,52
2017-09-30,2,0.0%,2,0%,180,0.0%,56.7%,934500,7000 ( 0.8% ),102,3 ( 3.0% ),407418000,53365,51
2017-10-01,3,0.1%,3,0%,286,0.0%,50.3%,1271000,336500 ( 36.0% ),144,42 ( 41.2% ),408689000,53509,39
2017-10-02,2,0.0%,2,0%,180,0.0%,78.3%,1201500,-69500 ( -5.5% ),141,-3 ( -2.1% ),409890500,53650,38
2017-10-03,2,0.0%,2,0%,148,0.0%,45.3%,598000,-603500 ( -50.2% ),67,-74 ( -52.5% ),410488500,53717,51
2017-10-04,2,0.0%,2,0%,202,0.0%,13.4%,214500,-383500 ( -64.1% ),27,-40 ( -59.7% ),410703000,53744,56
2017-10-05,1,0.0%,1,0%,108,0.0%,43.5%,416000,201500 ( 93.9% ),47,20 ( 74.1% ),411119000,53791,55
2017-10-06,1,0.0%,1,0%,108,0.0%,24.1%,241500,-174500 ( -41.9% ),26,-21 ( -44.7% ),411360500,53817,65
2017-10-07,2,0.0%,2,0%,200,0.0%,19.5%,234000,-7500 ( -3.1% ),39,13 ( 50.0% ),411594500,53856,60
2017-10-08,1,0.0%,1,0%,108,0.0%,21.3%,200000,-34000 ( -14.5% ),23,-16 ( -41.0% ),411794500,53879,67
2017-10-09,1,0.0%,1,0%,108,0.0%,44.4%,408000,208000 ( 104.0% ),48,25 ( 108.7% ),412202500,53927,55
2017-10-10,1,0.0%,2,0%,216,0.0%,5.1%,68000,-340000 ( -83.3% ),11,-37 ( -77.1% ),412270500,53938,67
2017-10-11,1,0.0%,1,0%,108,0.0%,12.0%,92000,24000 ( 35.3% ),13,2 ( 18.2% ),412362500,53951,76
2017-10-13,1,0.0%,1,0%,40,0.0%,22.5%,54000,54000 ( 100.0% ),9,9 ( 100.0% ),412416500,53960,77
2017-10-14,1,0.0%,1,0%,293,0.0%,4.4%,103000,49000 ( 90.7% ),13,4 ( 44.4% ),412519500,53973,68
2017-10-15,1,0.0%,1,0%,40,0.0%,22.5%,80000,-23000 ( -22.3% ),9,-4 ( -30.8% ),412599500,53982,79
2017-10-17,1,0.0%,1,0%,293,0.0%,1.7%,35000,35000 ( 100.0% ),5,5 ( 100.0% ),412634500,53987,84
2017-10-24,1,0.0%,1,0%,200,0.0%,19.5%,117000,117000 ( 100.0% ),39,39 ( 100.0% ),412751500,54026,67
2017-12-14,1,0.0%,1,0%,77,0.0%,19.5%,134000,134000 ( 100.0% ),15,15 ( 100.0% ),412885500,54041,89
