날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-13,1,0.0%,1,0%,149,0.0%,100.0%,1043000,1043000 ( 100.0% ),149,149 ( 100.0% ),1043000,149,38
2016-09-22,16,0.3%,16,0.1%,3827,0.2%,99.5%,30472000,30472000 ( 100.0% ),3809,3809 ( 100.0% ),31515000,3958,9
2016-09-26,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),34723000,4359,21
2016-10-01,304,5.4%,480,2.8%,63635,2.3%,19.4%,106111700,106111700 ( 100.0% ),12314,12314 ( 100.0% ),140834700,16673,8
2016-10-02,303,5.3%,484,2.8%,63947,2.3%,26.8%,148778900,42667200 ( 40.2% ),17134,4820 ( 39.1% ),289613600,33807,7
2016-10-03,285,5.0%,423,2.6%,55765,2.1%,16.9%,81535900,-67243000 ( -45.2% ),9425,-7709 ( -45.0% ),371149500,43232,10
2016-10-04,2,0.0%,2,0%,292,0.0%,17.5%,396500,-81139400 ( -99.5% ),51,-9374 ( -99.5% ),371546000,43283,46
2016-10-05,473,10.2%,2396,15.4%,402193,15.7%,15.2%,481538200,481141700 ( 121347.2% ),61267,61216 ( 120031.4% ),853084200,104550,3
2016-10-06,500,9.9%,2418,15.4%,414899,16.0%,17.1%,557381600,75843400 ( 15.8% ),71114,9847 ( 16.1% ),1410465800,175664,2
2016-10-07,547,10.5%,2629,16.3%,451292,17.1%,21.1%,837219495,279837895 ( 50.2% ),95219,24105 ( 33.9% ),2247685295,270883,2
2016-10-08,671,11.1%,2995,17.4%,505121,18.0%,31.9%,1432954477,595734982 ( 71.2% ),161231,66012 ( 69.3% ),3680639772,432114,2
2016-10-09,667,11.1%,2945,17.7%,499282,18.3%,27.2%,1216091000,-216863477 ( -15.1% ),135895,-25336 ( -15.7% ),4896730772,568009,2
2016-10-10,551,11.5%,2832,18.7%,498835,19.9%,10.3%,401082000,-815009000 ( -67.0% ),51313,-84582 ( -62.2% ),5297812772,619322,2
2016-10-11,541,11.2%,2809,18.8%,496127,19.9%,8.8%,339481400,-61600600 ( -15.4% ),43465,-7848 ( -15.3% ),5637294172,662787,2
2016-10-12,544,11.1%,2843,18.8%,502722,20.0%,9.1%,307042500,-32438900 ( -9.6% ),45728,2263 ( 5.2% ),5944336672,708515,2
2016-10-13,444,9.0%,1944,12.4%,315677,12.2%,9.2%,227346200,-79696300 ( -26.0% ),28953,-16775 ( -36.7% ),6171682872,737468,3
2016-10-14,454,8.9%,1987,12.2%,319004,11.9%,11.9%,332039100,104692900 ( 46.0% ),37872,8919 ( 30.8% ),6503721972,775340,3
2016-10-15,487,8.6%,2077,11.8%,315883,10.9%,20.7%,581792400,249753300 ( 75.2% ),65246,27374 ( 72.3% ),7085514372,840586,3
2016-10-16,477,8.4%,1962,11.4%,298759,10.6%,18.0%,485536600,-96255800 ( -16.5% ),53693,-11553 ( -17.7% ),7571050972,894279,3
2016-10-17,427,8.8%,1799,11.6%,290546,11.2%,5.7%,130398500,-355138100 ( -73.1% ),16609,-37084 ( -69.1% ),7701449472,910888,3
2016-10-18,434,8.7%,1778,11.6%,286415,11.2%,5.1%,115187000,-15211500 ( -11.7% ),14718,-1891 ( -11.4% ),7816636472,925606,3
2016-10-19,330,6.5%,764,5%,109817,4.3%,7.0%,60201500,-54985500 ( -47.7% ),7640,-7078 ( -48.1% ),7876837972,933246,4
2016-10-20,296,5.9%,676,4.3%,96914,3.7%,8.2%,62740800,2539300 ( 4.2% ),7945,305 ( 4.0% ),7939578772,941191,5
2016-10-21,325,6.2%,718,4.4%,99771,3.7%,11.5%,100901100,38160300 ( 60.8% ),11485,3540 ( 44.6% ),8040479872,952676,4
2016-10-22,333,5.9%,713,4.1%,92009,3.2%,19.9%,162311300,61410200 ( 60.9% ),18287,6802 ( 59.2% ),8202791172,970963,4
2016-10-23,330,5.9%,696,4.1%,91169,3.3%,16.9%,139646100,-22665200 ( -14.0% ),15369,-2918 ( -16.0% ),8342437272,986332,4
2016-10-24,308,6.4%,656,4.3%,94972,3.8%,6.2%,46148500,-93497600 ( -67.0% ),5846,-9523 ( -62.0% ),8388585772,992178,4
2016-10-25,275,4.5%,483,3.1%,70530,2.7%,5.4%,29667200,-16481300 ( -35.7% ),3812,-2034 ( -34.8% ),8418252972,995990,7
2016-10-26,57,1.3%,79,0.5%,11268,0.4%,9.7%,7359100,-22308100 ( -75.2% ),1092,-2720 ( -71.4% ),8425612072,997082,14
2016-10-27,54,1.2%,76,0.5%,11332,0.4%,6.3%,5700000,-1659100 ( -22.5% ),717,-375 ( -34.3% ),8431312072,997799,20
2016-10-28,53,1.2%,73,0.4%,10204,0.4%,10.1%,9228100,3528100 ( 61.9% ),1029,312 ( 43.5% ),8440540172,998828,14
2016-10-29,50,1.1%,77,0.4%,10493,0.4%,13.1%,12347500,3119400 ( 33.8% ),1370,341 ( 33.1% ),8452887672,1000198,13
2016-10-30,45,1.0%,74,0.4%,9971,0.3%,12.2%,11212500,-1135000 ( -9.2% ),1215,-155 ( -11.3% ),8464100172,1001413,15
2016-10-31,48,1.1%,68,0.4%,9853,0.4%,6.1%,4708000,-6504500 ( -58.0% ),600,-615 ( -50.6% ),8468808172,1002013,16
2016-11-01,44,1.0%,64,0.4%,9752,0.4%,5.4%,4226500,-481500 ( -10.2% ),529,-71 ( -11.8% ),8473034672,1002542,21
2016-11-02,30,0.7%,42,0.3%,5892,0.2%,5.1%,2375000,-1851500 ( -43.8% ),302,-227 ( -42.9% ),8475409672,1002844,26
2016-11-03,5,0.1%,6,0%,953,0.0%,4.4%,353500,-2021500 ( -85.1% ),42,-260 ( -86.1% ),8475763172,1002886,60
2016-11-04,4,0.1%,5,0%,663,0.0%,10.1%,623000,269500 ( 76.2% ),67,25 ( 59.5% ),8476386172,1002953,53
2016-11-05,8,0.2%,10,0.1%,1430,0.0%,12.0%,1577000,954000 ( 153.1% ),172,105 ( 156.7% ),8477963172,1003125,40
2016-11-06,8,0.2%,10,0.1%,1406,0.0%,7.7%,999000,-578000 ( -36.7% ),108,-64 ( -37.2% ),8478962172,1003233,45
2016-11-07,8,0.2%,9,0.1%,1437,0.1%,5.4%,643000,-356000 ( -35.6% ),78,-30 ( -27.8% ),8479605172,1003311,45
