날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-23,5,0.1%,6,0%,1504,0.1%,92.9%,11176000,11176000 ( 100.0% ),1397,1397 ( 100.0% ),11176000,1397,14
2017-10-31,6,0.1%,8,0%,812,0.0%,83.9%,4744500,4744500 ( 100.0% ),681,681 ( 100.0% ),15920500,2078,20
2017-11-01,1,0.0%,1,0%,160,0.0%,98.1%,1554000,-3190500 ( -67.2% ),157,-524 ( -76.9% ),17474500,2235,38
2017-11-02,238,4.5%,399,2.3%,50776,1.8%,5.6%,21924900,20370900 ( 1310.9% ),2857,2700 ( 1719.7% ),39399400,5092,9
2017-11-03,244,4.5%,392,2.2%,49434,1.7%,5.1%,21552600,-372300 ( -1.7% ),2520,-337 ( -11.8% ),60952000,7612,8
2017-11-04,224,3.8%,324,1.7%,41943,1.4%,8.0%,28115100,6562500 ( 30.4% ),3353,833 ( 33.1% ),89067100,10965,12
2017-11-05,228,3.9%,316,1.7%,40733,1.4%,7.1%,23790300,-4324800 ( -15.4% ),2896,-457 ( -13.6% ),112857400,13861,11
2017-11-06,205,4.1%,315,1.9%,39065,1.4%,4.4%,12858400,-10931900 ( -46.0% ),1707,-1189 ( -41.1% ),125715800,15568,9
2017-11-07,201,3.9%,305,1.8%,37669,1.4%,4.2%,12289700,-568700 ( -4.4% ),1586,-121 ( -7.1% ),138005500,17154,8
2017-11-08,164,3.2%,251,1.5%,30590,1.1%,5.1%,11847300,-442400 ( -3.6% ),1556,-30 ( -1.9% ),149852800,18710,9
2017-11-09,37,0.6%,55,0.3%,6275,0.2%,7.8%,3684800,-8162500 ( -68.9% ),490,-1066 ( -68.5% ),153537600,19200,23
2017-11-10,35,0.6%,55,0.3%,5612,0.2%,9.8%,5332600,1647800 ( 44.7% ),550,60 ( 12.2% ),158870200,19750,23
