날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-18,1,0.0%,1,0%,224,0.0%,100.0%,1792000,1792000 ( 100.0% ),224,224 ( 100.0% ),1792000,224,36
2016-08-22,2,0.0%,2,0%,557,0.0%,36.6%,1566000,1566000 ( 100.0% ),204,204 ( 100.0% ),3358000,428,34
2016-08-27,1,0.0%,1,0%,240,0.0%,83.3%,1600000,1600000 ( 100.0% ),200,200 ( 100.0% ),4958000,628,43
2016-08-29,3,0.1%,3,0%,568,0.0%,100.0%,5112000,5112000 ( 100.0% ),568,568 ( 100.0% ),10070000,1196,23
2016-08-30,3,0.1%,3,0%,600,0.0%,80.8%,4011500,-1100500 ( -21.5% ),485,-83 ( -14.6% ),14081500,1681,29
2016-08-31,290,4.8%,1548,9.3%,284762,10.4%,33.6%,596154400,592142900 ( 14761.1% ),95756,95271 ( 19643.5% ),610235900,97437,2
2016-09-01,298,5.1%,1561,9.6%,297061,11.0%,14.9%,341635000,-254519400 ( -42.7% ),44123,-51633 ( -53.9% ),951870900,141560,2
2016-09-02,320,5.4%,1736,10.3%,332435,11.9%,17.9%,509430900,167795900 ( 49.1% ),59382,15259 ( 34.6% ),1461301800,200942,2
2016-09-03,319,5.0%,1930,10.8%,384948,13.0%,30.2%,1020323100,510892200 ( 100.3% ),116394,57012 ( 96.0% ),2481624900,317336,2
2016-09-04,316,5.1%,1865,10.7%,373417,13.0%,26.3%,861270300,-159052800 ( -15.6% ),98117,-18277 ( -15.7% ),3342895200,415453,2
2016-09-05,289,5.2%,1621,10.5%,330494,12.8%,8.2%,212339900,-648930400 ( -75.3% ),27116,-71001 ( -72.4% ),3555235100,442569,2
2016-09-06,291,5.1%,1600,10.5%,324319,12.7%,6.5%,164553600,-47786300 ( -22.5% ),21170,-5946 ( -21.9% ),3719788700,463739,2
2016-09-07,192,3.9%,653,4.5%,93937,3.9%,7.6%,55964100,-108589500 ( -66.0% ),7108,-14062 ( -66.4% ),3775752800,470847,5
2016-09-08,192,3.8%,654,4.4%,94311,3.9%,6.9%,50744900,-5219200 ( -9.3% ),6493,-615 ( -8.7% ),3826497700,477340,5
2016-09-09,210,4.0%,650,4.2%,92229,3.6%,8.8%,70145200,19400300 ( 38.2% ),8117,1624 ( 25.0% ),3896642900,485457,6
2016-09-10,200,3.5%,582,3.5%,82434,3.0%,19.3%,139572800,69427600 ( 99.0% ),15913,7796 ( 96.0% ),4036215700,501370,9
2016-09-11,203,3.6%,555,3.4%,77687,2.9%,19.5%,132894800,-6678000 ( -4.8% ),15160,-753 ( -4.7% ),4169110500,516530,8
2016-09-12,194,3.8%,516,3.6%,72662,3.0%,7.0%,38861300,-94033500 ( -70.8% ),5097,-10063 ( -66.4% ),4207971800,521627,6
2016-09-13,187,3.2%,414,2.6%,58276,2.3%,9.0%,39533000,671700 ( 1.7% ),5238,141 ( 2.8% ),4247504800,526865,8
2016-09-14,122,2.1%,189,1.1%,26945,1.0%,16.1%,37515500,-2017500 ( -5.1% ),4333,-905 ( -17.3% ),4285020300,531198,13
2016-09-15,114,1.9%,167,1%,23122,0.8%,20.8%,41224100,3708600 ( 9.9% ),4809,476 ( 11.0% ),4326244400,536007,15
2016-09-16,110,1.8%,152,0.9%,20870,0.7%,22.6%,39809200,-1414900 ( -3.4% ),4725,-84 ( -1.7% ),4366053600,540732,15
2016-09-17,104,1.7%,142,0.8%,19635,0.7%,19.1%,31258800,-8550400 ( -21.5% ),3745,-980 ( -20.7% ),4397312400,544477,15
2016-09-18,94,1.6%,128,0.8%,17277,0.6%,13.6%,20500400,-10758400 ( -34.4% ),2348,-1397 ( -37.3% ),4417812800,546825,13
2016-09-19,97,2.1%,191,1.3%,26785,1.1%,4.4%,9032500,-11467900 ( -55.9% ),1179,-1169 ( -49.8% ),4426845300,548004,9
2016-09-20,101,2.2%,184,1.3%,25933,1.1%,4.6%,9243400,210900 ( 2.3% ),1194,15 ( 1.3% ),4436088700,549198,8
2016-09-21,61,1.3%,111,0.8%,15007,0.6%,4.3%,4871000,-4372400 ( -47.3% ),639,-555 ( -46.5% ),4440959700,549837,17
2016-09-22,34,0.7%,49,0.3%,7165,0.3%,3.9%,2172000,-2699000 ( -55.4% ),282,-357 ( -55.9% ),4443131700,550119,29
2016-09-23,29,0.6%,44,0.3%,6220,0.3%,5.3%,2856500,684500 ( 31.5% ),327,45 ( 16.0% ),4445988200,550446,32
2016-09-24,30,0.5%,40,0.2%,5353,0.2%,8.6%,4129100,1272600 ( 44.6% ),459,132 ( 40.4% ),4450117300,550905,31
2016-09-25,29,0.5%,39,0.2%,5087,0.2%,8.2%,3698000,-431100 ( -10.4% ),415,-44 ( -9.6% ),4453815300,551320,33
2016-09-26,32,0.7%,45,0.3%,6850,0.3%,3.1%,1650500,-2047500 ( -55.4% ),212,-203 ( -48.9% ),4455465800,551532,31
2016-09-27,38,0.8%,52,0.4%,7903,0.3%,3.3%,2008000,357500 ( 21.7% ),260,48 ( 22.6% ),4457473800,551792,30
2016-09-28,3,0.1%,3,0%,315,0.0%,1.3%,30000,-1978000 ( -98.5% ),4,-256 ( -98.5% ),4457503800,551796,111
2016-09-29,4,0.1%,4,0%,513,0.0%,1.2%,44000,14000 ( 46.7% ),6,2 ( 50.0% ),4457547800,551802,85
2016-09-30,4,0.1%,4,0%,513,0.0%,1.2%,42000,-2000 ( -4.5% ),6,0 ( 0.0% ),4457589800,551808,88
2016-10-01,3,0.1%,4,0%,446,0.0%,2.7%,100000,58000 ( 138.1% ),12,6 ( 100.0% ),4457689800,551820,84
2016-10-02,5,0.1%,7,0%,862,0.0%,2.2%,164000,64000 ( 64.0% ),19,7 ( 58.3% ),4457853800,551839,68
2016-10-03,3,0.1%,4,0%,374,0.0%,2.9%,100000,-64000 ( -39.0% ),11,-8 ( -42.1% ),4457953800,551850,80
2016-10-04,2,0.0%,2,0%,256,0.0%,0.8%,10000,-90000 ( -90.0% ),2,-9 ( -81.8% ),4457963800,551852,87
2016-10-05,4,0.1%,5,0%,572,0.0%,1.2%,55000,45000 ( 450.0% ),7,5 ( 250.0% ),4458018800,551859,73
2016-10-06,3,0.1%,3,0%,454,0.0%,1.1%,25000,-30000 ( -54.5% ),5,-2 ( -28.6% ),4458043800,551864,67
2016-10-07,3,0.1%,3,0%,454,0.0%,1.1%,25000,0 ( 0.0% ),5,0 ( 0.0% ),4458068800,551869,71
2016-10-08,3,0.0%,3,0%,454,0.0%,0.7%,17000,-8000 ( -32.0% ),3,-2 ( -40.0% ),4458085800,551872,87
2016-10-09,2,0.0%,2,0%,256,0.0%,0.8%,10000,-7000 ( -41.2% ),2,-1 ( -33.3% ),4458095800,551874,85
2016-10-10,2,0.0%,2,0%,256,0.0%,0.8%,10000,0 ( 0.0% ),2,0 ( 0.0% ),4458105800,551876,70
2016-10-11,1,0.0%,1,0%,198,0.0%,0.5%,4000,-6000 ( -60.0% ),1,-1 ( -50.0% ),4458109800,551877,96
2016-10-12,1,0.0%,2,0%,118,0.0%,2.5%,30000,26000 ( 650.0% ),3,2 ( 200.0% ),4458139800,551880,93
2016-10-14,5,0.1%,5,0%,521,0.0%,1.0%,19000,19000 ( 100.0% ),5,5 ( 100.0% ),4458158800,551885,95
2016-10-17,4,0.1%,4,0%,462,0.0%,0.9%,14000,14000 ( 100.0% ),4,4 ( 100.0% ),4458172800,551889,70
2016-10-18,4,0.1%,4,0%,462,0.0%,0.9%,14000,0 ( 0.0% ),4,0 ( 0.0% ),4458186800,551893,89
2016-10-19,4,0.1%,4,0%,462,0.0%,0.9%,14000,0 ( 0.0% ),4,0 ( 0.0% ),4458200800,551897,92
2016-10-24,1,0.0%,1,0%,218,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4458200800,551897,119
2016-12-19,1,0.0%,1,0%,103,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4458200800,551897,100
2016-12-20,1,0.0%,1,0%,99,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4458200800,551897,112
2019-01-05,1,0.0%,2,0%,400,0.0%,22.5%,180000,180000 ( 100.0% ),90,90 ( 100.0% ),4458380800,551987,43
2019-01-12,1,0.0%,1,0%,200,0.0%,9.5%,38000,38000 ( 100.0% ),19,19 ( 100.0% ),4458418800,552006,75
