날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-31,3,0.1%,3,0%,822,0.0%,100.0%,7398000,7398000 ( 100.0% ),822,822 ( 100.0% ),7398000,822,15
2018-08-07,10,0.2%,10,0.1%,2000,0.1%,100.0%,20000000,20000000 ( 100.0% ),2000,2000 ( 100.0% ),27398000,2822,10
2018-08-08,542,9.7%,1109,6%,147985,5.1%,59.0%,620226200,600226200 ( 3001.1% ),87322,85322 ( 4266.1% ),647624200,90144,4
2018-08-09,538,9.3%,1087,5.8%,142026,4.8%,32.2%,328894400,-291331800 ( -47.0% ),45711,-41611 ( -47.7% ),976518600,135855,6
2018-08-10,510,8.7%,1021,5.4%,131674,4.4%,25.3%,264322700,-64571700 ( -19.6% ),33277,-12434 ( -27.2% ),1240841300,169132,6
2018-08-11,494,8.3%,929,4.8%,116467,3.8%,49.5%,459671000,195348300 ( 73.9% ),57645,24368 ( 73.2% ),1700512300,226777,6
2018-08-12,497,8.4%,911,4.8%,113604,3.8%,48.7%,441691200,-17979800 ( -3.9% ),55372,-2273 ( -3.9% ),2142203500,282149,6
2018-08-13,451,8.2%,798,4.4%,98732,3.4%,21.2%,153405100,-288286100 ( -65.3% ),20978,-34394 ( -62.1% ),2295608600,303127,6
2018-08-14,431,7.4%,769,4.1%,95455,3.3%,22.6%,156285600,2880500 ( 1.9% ),21528,550 ( 2.6% ),2451894200,324655,6
2018-08-15,184,2.7%,223,1.1%,26481,0.9%,71.1%,145566800,-10718800 ( -6.9% ),18833,-2695 ( -12.5% ),2597461000,343488,10
2018-08-16,169,2.6%,197,1%,23668,0.8%,24.1%,42411800,-103155000 ( -70.9% ),5715,-13118 ( -69.7% ),2639872800,349203,9
2018-08-17,175,2.7%,210,1.1%,26540,0.9%,20.1%,44020200,1608400 ( 3.8% ),5329,-386 ( -6.8% ),2683893000,354532,9
2018-08-18,190,2.8%,241,1.2%,27750,0.9%,40.3%,90501100,46480900 ( 105.6% ),11195,5866 ( 110.1% ),2774394100,365727,10
2018-08-19,185,2.8%,236,1.2%,26876,0.9%,42.9%,92081700,1580600 ( 1.7% ),11530,335 ( 3.0% ),2866475800,377257,10
2018-08-20,172,2.8%,209,1.2%,25372,0.9%,14.4%,27938700,-64143000 ( -69.7% ),3657,-7873 ( -68.3% ),2894414500,380914,9
2018-08-21,173,2.8%,203,1.1%,24249,0.9%,14.6%,25247000,-2691700 ( -9.6% ),3541,-116 ( -3.2% ),2919661500,384455,9
2018-08-22,84,1.5%,95,0.5%,12213,0.4%,13.3%,12148000,-13099000 ( -51.9% ),1626,-1915 ( -54.1% ),2931809500,386081,13
2018-08-23,49,0.8%,59,0.3%,7149,0.3%,9.4%,5151300,-6996700 ( -57.6% ),673,-953 ( -58.6% ),2936960800,386754,17
2018-08-24,49,0.8%,65,0.3%,7697,0.3%,16.2%,10170878,5019578 ( 97.4% ),1247,574 ( 85.3% ),2947131678,388001,15
2018-08-25,70,1.1%,83,0.4%,9780,0.3%,29.3%,22615383,12444505 ( 122.4% ),2863,1616 ( 129.6% ),2969747061,390864,14
2018-08-26,66,1.0%,79,0.4%,9344,0.3%,25.1%,18849000,-3766383 ( -16.7% ),2342,-521 ( -18.2% ),2988596061,393206,15
2018-08-27,44,0.8%,56,0.3%,7110,0.3%,5.8%,3235000,-15614000 ( -82.8% ),413,-1929 ( -82.4% ),2991831061,393619,20
2018-08-28,43,0.8%,54,0.3%,6662,0.2%,9.1%,4954500,1719500 ( 53.2% ),604,191 ( 46.2% ),2996785561,394223,18
2018-08-29,9,0.2%,11,0.1%,1271,0.0%,14.7%,1238000,-3716500 ( -75.0% ),187,-417 ( -69.0% ),2998023561,394410,31
2018-08-30,10,0.2%,14,0.1%,1684,0.1%,22.7%,4810000,3572000 ( 288.5% ),382,195 ( 104.3% ),3002833561,394792,21
2018-08-31,9,0.1%,10,0.1%,1259,0.0%,9.6%,1063000,-3747000 ( -77.9% ),121,-261 ( -68.3% ),3003896561,394913,37
2018-09-01,15,0.2%,18,0.1%,2146,0.1%,15.7%,2866800,1803800 ( 169.7% ),336,215 ( 177.7% ),3006763361,395249,28
2018-09-02,16,0.2%,19,0.1%,2406,0.1%,18.0%,3702900,836100 ( 29.2% ),434,98 ( 29.2% ),3010466261,395683,25
2018-09-03,7,0.1%,7,0%,915,0.0%,6.7%,470300,-3232600 ( -87.3% ),61,-373 ( -85.9% ),3010936561,395744,38
2018-09-04,8,0.1%,8,0%,950,0.0%,5.4%,392300,-78000 ( -16.6% ),51,-10 ( -16.4% ),3011328861,395795,55
2018-09-05,8,0.1%,9,0.1%,985,0.0%,5.8%,434000,41700 ( 10.6% ),57,6 ( 11.8% ),3011762861,395852,48
2018-09-06,2,0.0%,2,0%,283,0.0%,12.7%,284500,-149500 ( -34.4% ),36,-21 ( -36.8% ),3012047361,395888,55
2018-09-07,1,0.0%,1,0%,186,0.0%,10.2%,204500,-80000 ( -28.1% ),19,-17 ( -47.2% ),3012251861,395907,76
2018-09-08,6,0.1%,6,0%,628,0.0%,23.6%,1376000,1171500 ( 572.9% ),148,129 ( 678.9% ),3013627861,396055,36
2018-09-09,6,0.1%,7,0%,1254,0.0%,8.4%,831000,-545000 ( -39.6% ),105,-43 ( -29.1% ),3014458861,396160,44
2018-09-10,3,0.1%,3,0%,632,0.0%,1.1%,55000,-776000 ( -93.4% ),7,-98 ( -93.3% ),3014513861,396167,84
2018-09-11,3,0.1%,3,0%,632,0.0%,4.6%,202500,147500 ( 268.2% ),29,22 ( 314.3% ),3014716361,396196,71
2018-09-12,2,0.0%,2,0%,528,0.0%,3.8%,134000,-68500 ( -33.8% ),20,-9 ( -31.0% ),3014850361,396216,75
2018-09-13,1,0.0%,1,0%,342,0.0%,1.5%,25000,-109000 ( -81.3% ),5,-15 ( -75.0% ),3014875361,396221,112
2018-09-17,1,0.0%,1,0%,342,0.0%,0.9%,15000,15000 ( 100.0% ),3,3 ( 100.0% ),3014890361,396224,100
2018-09-18,1,0.0%,1,0%,342,0.0%,1.8%,30000,15000 ( 100.0% ),6,3 ( 100.0% ),3014920361,396230,99
2019-01-02,1,0.0%,1,0%,144,0.0%,100.0%,1440000,1440000 ( 100.0% ),144,144 ( 100.0% ),3016360361,396374,36
2019-01-03,1,0.0%,1,0%,120,0.0%,100.0%,1080000,-360000 ( -25.0% ),120,-24 ( -16.7% ),3017440361,396494,47
2019-01-09,31,0.5%,140,0.8%,17540,0.6%,36.7%,48172000,48172000 ( 100.0% ),6438,6438 ( 100.0% ),3065612361,402932,7
2019-01-10,31,0.5%,138,0.8%,17292,0.6%,16.2%,21011000,-27161000 ( -56.4% ),2806,-3632 ( -56.4% ),3086623361,405738,12
2019-01-11,31,0.5%,130,0.7%,16440,0.6%,12.9%,19287500,-1723500 ( -8.2% ),2127,-679 ( -24.2% ),3105910861,407865,11
2019-01-12,31,0.4%,125,0.6%,15812,0.5%,23.0%,32523000,13235500 ( 68.6% ),3630,1503 ( 70.7% ),3138433861,411495,10
2019-01-13,31,0.4%,113,0.6%,14208,0.5%,21.2%,26900500,-5622500 ( -17.3% ),3011,-619 ( -17.1% ),3165334361,414506,11
2019-01-14,31,0.5%,102,0.6%,12560,0.4%,8.7%,8336000,-18564500 ( -69.0% ),1087,-1924 ( -63.9% ),3173670361,415593,14
2019-01-15,30,0.5%,84,0.5%,10572,0.4%,10.2%,8054000,-282000 ( -3.4% ),1077,-10 ( -0.9% ),3181724361,416670,15
2019-01-16,26,0.4%,81,0.4%,10396,0.4%,8.7%,7022000,-1032000 ( -12.8% ),903,-174 ( -16.2% ),3188746361,417573,17
2019-01-17,17,0.2%,23,0.1%,2776,0.1%,12.5%,2632000,-4390000 ( -62.5% ),346,-557 ( -61.7% ),3191378361,417919,26
2019-01-18,16,0.2%,23,0.1%,2780,0.1%,11.0%,2847000,215000 ( 8.2% ),307,-39 ( -11.3% ),3194225361,418226,28
2019-01-19,12,0.2%,17,0.1%,1968,0.1%,22.0%,3834000,987000 ( 34.7% ),432,125 ( 40.7% ),3198059361,418658,23
2019-01-20,12,0.2%,16,0.1%,1836,0.1%,30.4%,5196000,1362000 ( 35.5% ),559,127 ( 29.4% ),3203255361,419217,21
2019-01-21,13,0.2%,17,0.1%,2044,0.1%,7.8%,1237000,-3959000 ( -76.2% ),159,-400 ( -71.6% ),3204492361,419376,31
2019-01-22,14,0.2%,20,0.1%,2344,0.1%,9.6%,1677000,440000 ( 35.6% ),225,66 ( 41.5% ),3206169361,419601,31
2019-01-23,1,0.0%,1,0%,144,0.0%,18.1%,246000,-1431000 ( -85.3% ),26,-199 ( -88.4% ),3206415361,419627,63
2019-01-24,1,0.0%,1,0%,144,0.0%,2.8%,36000,-210000 ( -85.4% ),4,-22 ( -84.6% ),3206451361,419631,79
2019-01-25,1,0.0%,1,0%,144,0.0%,3.5%,50000,14000 ( 38.9% ),5,1 ( 25.0% ),3206501361,419636,69
2019-01-26,1,0.0%,1,0%,144,0.0%,35.4%,531000,481000 ( 962.0% ),51,46 ( 920.0% ),3207032361,419687,57
2019-01-27,1,0.0%,1,0%,144,0.0%,12.5%,196000,-335000 ( -63.1% ),18,-33 ( -64.7% ),3207228361,419705,60
2019-01-28,1,0.0%,2,0%,288,0.0%,10.1%,241000,45000 ( 23.0% ),29,11 ( 61.1% ),3207469361,419734,57
2019-01-29,1,0.0%,2,0%,288,0.0%,14.2%,355000,114000 ( 47.3% ),41,12 ( 41.4% ),3207824361,419775,64
2019-08-02,1,0.0%,1,0%,240,0.0%,49.2%,825882,825882 ( 100.0% ),118,118 ( 100.0% ),3208650243,419893,36
2019-08-03,1,0.0%,1,0%,240,0.0%,43.8%,734895,-90987 ( -11.0% ),105,-13 ( -11.0% ),3209385138,419998,38
