날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-26,6,0.1%,6,0%,1295,0.0%,100.0%,11655000,11655000 ( 100.0% ),1295,1295 ( 100.0% ),11655000,1295,13
2016-08-03,369,7.4%,676,3.8%,88494,3.0%,90.1%,552052500,552052500 ( 100.0% ),79742,79742 ( 100.0% ),563707500,81037,7
2016-08-04,447,8.5%,850,4.7%,115419,3.9%,56.4%,454115500,-97937000 ( -17.7% ),65059,-14683 ( -18.4% ),1017823000,146096,7
2016-08-05,442,8.2%,881,4.8%,122450,4.1%,39.7%,377435200,-76680300 ( -16.9% ),48612,-16447 ( -25.3% ),1395258200,194708,7
2016-08-06,413,7.5%,890,4.8%,124953,4.1%,59.1%,569705400,192270200 ( 50.9% ),73860,25248 ( 51.9% ),1964963600,268568,7
2016-08-07,399,7.4%,853,4.7%,119269,4.0%,56.9%,529824500,-39880900 ( -7.0% ),67898,-5962 ( -8.1% ),2494788100,336466,7
2016-08-08,334,6.8%,722,4.1%,96812,3.4%,26.3%,178577700,-351246800 ( -66.3% ),25508,-42390 ( -62.4% ),2673365800,361974,7
2016-08-09,340,6.7%,702,4%,92591,3.2%,27.4%,176213600,-2364100 ( -1.3% ),25333,-175 ( -0.7% ),2849579400,387307,7
2016-08-10,180,3.4%,235,1.4%,28712,1.0%,38.0%,77110400,-99103200 ( -56.2% ),10902,-14431 ( -57.0% ),2926689800,398209,9
2016-08-11,173,3.2%,231,1.3%,28594,1.0%,38.2%,76307000,-803400 ( -1.0% ),10913,11 ( 0.1% ),3002996800,409122,9
2016-08-12,177,3.2%,231,1.3%,29094,1.0%,35.7%,82263100,5956100 ( 7.8% ),10397,-516 ( -4.7% ),3085259900,419519,9
2016-08-13,203,3.3%,277,1.5%,34257,1.2%,57.1%,151216000,68952900 ( 83.8% ),19551,9154 ( 88.0% ),3236475900,439070,9
2016-08-14,207,3.4%,287,1.6%,35939,1.2%,56.0%,157494000,6278000 ( 4.2% ),20140,589 ( 3.0% ),3393969900,459210,9
