날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-12-05,661,12.4%,2605,14.5%,394215,13.8%,11.5%,386672850,386672850 ( 100.0% ),45519,45519 ( 100.0% ),386672850,45519,4
2018-12-06,630,10.3%,2269,12.4%,347281,12.0%,7.8%,221563250,-165109600 ( -42.7% ),26922,-18597 ( -40.9% ),608236100,72441,5
2018-12-07,622,10.1%,2132,11.4%,324020,11.0%,9.3%,271561031,49997781 ( 22.6% ),30250,3328 ( 12.4% ),879797131,102691,5
2018-12-08,600,9.2%,1743,8.8%,255229,8.2%,20.8%,499283338,227722307 ( 83.9% ),53109,22859 ( 75.6% ),1379080469,155800,5
2018-12-09,582,9.0%,1610,8.2%,234600,7.6%,20.3%,443681800,-55601538 ( -11.1% ),47572,-5537 ( -10.4% ),1822762269,203372,6
2018-12-10,574,9.5%,1447,8.1%,211321,7.5%,7.0%,121019600,-322662200 ( -72.7% ),14755,-32817 ( -69.0% ),1943781869,218127,5
2018-12-11,569,9.0%,1412,7.9%,206132,7.3%,7.4%,123515500,2495900 ( 2.1% ),15336,581 ( 3.9% ),2067297369,233463,5
2018-12-12,286,4.8%,426,2.4%,52371,1.8%,14.5%,54939050,-68576450 ( -55.5% ),7576,-7760 ( -50.6% ),2122236419,241039,7
2018-12-13,258,4.0%,370,2.1%,45250,1.6%,13.4%,44442700,-10496350 ( -19.1% ),6052,-1524 ( -20.1% ),2166679119,247091,8
2018-12-14,239,3.5%,331,1.8%,41592,1.4%,13.8%,41372850,-3069850 ( -6.9% ),5725,-327 ( -5.4% ),2208051969,252816,10
2018-12-15,197,2.7%,283,1.4%,32244,1.0%,16.6%,43176550,1803700 ( 4.4% ),5365,-360 ( -6.3% ),2251228519,258181,11
2018-12-16,187,2.6%,257,1.3%,28808,1.0%,13.5%,32403950,-10772600 ( -25.0% ),3889,-1476 ( -27.5% ),2283632469,262070,12
2018-12-17,201,3.3%,273,1.6%,32516,1.2%,6.5%,15132600,-17271350 ( -53.3% ),2107,-1782 ( -45.8% ),2298765069,264177,12
2018-12-18,190,2.9%,265,1.5%,30776,1.1%,9.5%,21073050,5940450 ( 39.3% ),2934,827 ( 39.3% ),2319838119,267111,14
2018-12-19,6,0.1%,6,0%,573,0.0%,28.1%,693000,-20380050 ( -96.7% ),161,-2773 ( -94.5% ),2320531119,267272,35
2018-12-20,8,0.1%,9,0.1%,961,0.0%,35.7%,1799000,1106000 ( 159.6% ),343,182 ( 113.0% ),2322330119,267615,28
2018-12-21,5,0.1%,5,0%,483,0.0%,8.7%,281000,-1518000 ( -84.4% ),42,-301 ( -87.8% ),2322611119,267657,61
2018-12-22,2,0.0%,2,0%,126,0.0%,13.5%,112000,-169000 ( -60.1% ),17,-25 ( -59.5% ),2322723119,267674,77
2018-12-23,3,0.0%,3,0%,167,0.0%,25.7%,275000,163000 ( 145.5% ),43,26 ( 152.9% ),2322998119,267717,55
2018-12-24,1,0.0%,1,0%,160,0.0%,14.4%,205000,-70000 ( -25.5% ),23,-20 ( -46.5% ),2323203119,267740,61
2018-12-25,2,0.0%,2,0%,194,0.0%,35.1%,578000,373000 ( 182.0% ),68,45 ( 195.7% ),2323781119,267808,57
2018-12-26,3,0.0%,3,0%,180,0.0%,48.9%,581000,3000 ( 0.5% ),88,20 ( 29.4% ),2324362119,267896,44
2019-01-02,5,0.1%,5,0%,764,0.0%,39.3%,1500000,1500000 ( 100.0% ),300,300 ( 100.0% ),2325862119,268196,25
2019-01-03,2,0.0%,2,0%,182,0.0%,35.7%,327000,-1173000 ( -78.2% ),65,-235 ( -78.3% ),2326189119,268261,52
2019-01-04,1,0.0%,1,0%,84,0.0%,71.4%,300000,-27000 ( -8.3% ),60,-5 ( -7.7% ),2326489119,268321,47
2019-01-05,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2326789119,268381,45
2019-01-06,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2327089119,268441,46
2019-01-07,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2327389119,268501,48
2019-01-08,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2327689119,268561,54
2019-01-09,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2327989119,268621,49
2019-01-10,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2328289119,268681,50
2019-01-11,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2328589119,268741,50
2019-01-12,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2328889119,268801,57
2019-01-13,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2329189119,268861,45
2019-01-14,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),2329489119,268921,51
