날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-18,1,0.0%,1,0%,247,0.0%,100.0%,1729000,1729000 ( 100.0% ),247,247 ( 100.0% ),1729000,247,32
2018-08-06,11,0.2%,12,0.1%,2769,0.1%,92.7%,23112000,23112000 ( 100.0% ),2568,2568 ( 100.0% ),24841000,2815,8
2018-08-07,30,0.6%,30,0.2%,6531,0.2%,99.3%,59448000,36336000 ( 157.2% ),6485,3917 ( 152.5% ),84289000,9300,7
2018-08-08,37,0.7%,37,0.2%,8275,0.3%,98.5%,75995000,16547000 ( 27.8% ),8150,1665 ( 25.7% ),160284000,17450,8
2018-08-09,18,0.3%,18,0.1%,3660,0.1%,98.8%,31264000,-44731000 ( -58.9% ),3616,-4534 ( -55.6% ),191548000,21066,9
2018-08-14,24,0.4%,24,0.1%,3543,0.1%,85.1%,22230800,22230800 ( 100.0% ),3014,3014 ( 100.0% ),213778800,24080,11
2018-08-15,808,12.0%,3539,17.9%,533645,17.3%,69.1%,3195156400,3172925600 ( 14272.7% ),368981,365967 ( 12142.2% ),3408935200,393061,3
2018-08-16,808,12.6%,3605,19.1%,548842,18.5%,29.5%,1303703300,-1891453100 ( -59.2% ),161783,-207198 ( -56.2% ),4712638500,554844,1
2018-08-17,868,13.4%,3868,20.2%,595858,19.9%,29.7%,1578674964,274971664 ( 21.1% ),177251,15468 ( 9.6% ),6291313464,732095,1
2018-08-18,1005,14.9%,4337,21.9%,697043,22.5%,48.0%,2966536796,1387861832 ( 87.9% ),334388,157137 ( 88.7% ),9257850260,1066483,1
2018-08-19,1021,15.3%,4335,22.4%,697000,22.9%,42.9%,2676107300,-290429496 ( -9.8% ),298946,-35442 ( -10.6% ),11933957560,1365429,1
2018-08-20,971,15.9%,4244,23.4%,697613,24.4%,18.4%,995803000,-1680304300 ( -62.8% ),128512,-170434 ( -57.0% ),12929760560,1493941,1
