날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-04-25,1,0.0%,1,0%,102,0.0%,100.0%,893000,893000 ( 100.0% ),102,102 ( 100.0% ),893000,102,58
2017-04-26,2,0.0%,2,0%,346,0.0%,100.0%,2768000,1875000 ( 210.0% ),346,244 ( 239.2% ),3661000,448,25
2017-04-28,5,0.1%,5,0%,987,0.0%,95.2%,9400000,9400000 ( 100.0% ),940,940 ( 100.0% ),13061000,1388,17
2017-04-29,10,0.2%,10,0.1%,1208,0.0%,94.2%,10146700,746700 ( 7.9% ),1138,198 ( 21.1% ),23207700,2526,21
2017-04-30,5,0.1%,5,0%,622,0.0%,93.2%,5319500,-4827200 ( -47.6% ),580,-558 ( -49.0% ),28527200,3106,26
2017-05-02,1,0.0%,1,0%,160,0.0%,99.4%,1543000,1543000 ( 100.0% ),159,159 ( 100.0% ),30070200,3265,39
2017-05-06,34,0.5%,34,0.2%,4644,0.2%,75.4%,29684200,29684200 ( 100.0% ),3501,3501 ( 100.0% ),59754400,6766,10
2017-05-07,28,0.4%,28,0.2%,3530,0.1%,66.1%,19931100,-9753100 ( -32.9% ),2335,-1166 ( -33.3% ),79685500,9101,11
2017-05-08,14,0.3%,30,0.2%,3927,0.1%,15.9%,4734500,-15196600 ( -76.2% ),624,-1711 ( -73.3% ),84420000,9725,16
2017-05-09,450,7.3%,1019,5.6%,136495,4.6%,54.3%,576663700,571929200 ( 12080.0% ),74057,73433 ( 11768.1% ),661083700,83782,6
2017-05-10,438,8.6%,1077,6.5%,149834,5.5%,8.8%,97900700,-478763000 ( -83.0% ),13125,-60932 ( -82.3% ),758984400,96907,6
2017-05-11,446,8.3%,1070,6.4%,148997,5.5%,7.5%,83631800,-14268900 ( -14.6% ),11127,-1998 ( -15.2% ),842616200,108034,6
2017-05-12,464,8.5%,1088,6.4%,153761,5.5%,11.7%,148755455,65123655 ( 77.9% ),18056,6929 ( 62.3% ),991371655,126090,6
2017-05-13,464,7.6%,1007,5.5%,137450,4.6%,29.4%,326294459,177539004 ( 119.3% ),40387,22331 ( 123.7% ),1317666114,166477,6
2017-05-14,466,7.6%,988,5.6%,135246,4.7%,26.7%,288840300,-37454159 ( -11.5% ),36149,-4238 ( -10.5% ),1606506414,202626,6
2017-05-15,418,8.2%,967,6%,136682,5.1%,8.6%,85666800,-203173500 ( -70.3% ),11696,-24453 ( -67.6% ),1692173214,214322,6
2017-05-16,411,8.0%,906,5.7%,125796,4.8%,5.6%,52514800,-33152000 ( -38.7% ),7041,-4655 ( -39.8% ),1744688014,221363,6
2017-05-17,217,4.3%,341,2%,42534,1.6%,8.5%,26696600,-25818200 ( -49.2% ),3629,-3412 ( -48.5% ),1771384614,224992,9
2017-05-18,210,3.8%,299,1.8%,36992,1.4%,8.4%,22686200,-4010400 ( -15.0% ),3107,-522 ( -14.4% ),1794070814,228099,9
2017-05-19,213,3.8%,299,1.7%,36727,1.3%,12.5%,36428800,13742600 ( 60.6% ),4579,1472 ( 47.4% ),1830499614,232678,8
2017-05-20,216,3.5%,305,1.7%,36823,1.2%,36.0%,105684500,69255700 ( 190.1% ),13271,8692 ( 189.8% ),1936184114,245949,8
2017-05-21,221,3.6%,318,1.8%,38464,1.3%,33.5%,102512800,-3171700 ( -3.0% ),12891,-380 ( -2.9% ),2038696914,258840,8
2017-05-22,201,3.9%,287,1.7%,36319,1.3%,6.1%,16796100,-85716700 ( -83.6% ),2198,-10693 ( -82.9% ),2055493014,261038,8
2017-05-23,199,3.7%,286,1.8%,36521,1.4%,5.6%,14942500,-1853600 ( -11.0% ),2032,-166 ( -7.6% ),2070435514,263070,9
2017-05-24,87,1.8%,122,0.8%,15334,0.6%,7.1%,8271300,-6671200 ( -44.6% ),1087,-945 ( -46.5% ),2078706814,264157,10
2017-05-25,54,1.1%,62,0.4%,7811,0.3%,8.9%,4768300,-3503000 ( -42.4% ),696,-391 ( -36.0% ),2083475114,264853,15
2017-05-26,54,1.0%,62,0.4%,7921,0.3%,11.8%,7054400,2286100 ( 47.9% ),933,237 ( 34.1% ),2090529514,265786,12
2017-05-27,71,1.3%,84,0.5%,9990,0.3%,32.0%,25897800,18843400 ( 267.1% ),3198,2265 ( 242.8% ),2116427314,268984,12
2017-05-28,73,1.3%,87,0.5%,10567,0.4%,30.7%,26331600,433800 ( 1.7% ),3242,44 ( 1.4% ),2142758914,272226,11
2017-05-29,51,1.0%,60,0.4%,7263,0.3%,6.7%,3521500,-22810100 ( -86.6% ),488,-2754 ( -84.9% ),2146280414,272714,18
2017-05-30,48,1.0%,61,0.4%,7327,0.3%,11.2%,4991500,1470000 ( 41.7% ),819,331 ( 67.8% ),2151271914,273533,14
2017-05-31,10,0.2%,15,0.1%,2018,0.1%,14.5%,1873000,-3118500 ( -62.5% ),293,-526 ( -64.2% ),2153144914,273826,25
2017-06-01,8,0.2%,9,0.1%,1188,0.0%,9.8%,832500,-1040500 ( -55.6% ),116,-177 ( -60.4% ),2153977414,273942,44
2017-06-02,9,0.2%,11,0.1%,1579,0.1%,11.7%,1473000,640500 ( 76.9% ),184,68 ( 58.6% ),2155450414,274126,29
2017-06-03,15,0.3%,17,0.1%,2170,0.1%,24.6%,4498800,3025800 ( 205.4% ),534,350 ( 190.2% ),2159949214,274660,18
