날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-24,1,0.0%,1,0%,326,0.0%,100.0%,1956000,1956000 ( 100.0% ),326,326 ( 100.0% ),1956000,326,33
2016-12-08,7,0.1%,14,0.1%,3002,0.1%,98.4%,23628000,23628000 ( 100.0% ),2953,2953 ( 100.0% ),25584000,3279,9
2016-12-14,378,7.5%,1099,6.9%,146196,5.6%,5.1%,53470500,53470500 ( 100.0% ),7489,7489 ( 100.0% ),79054500,10768,7
2016-12-15,393,7.4%,998,6.3%,130957,5.0%,5.8%,52675400,-795100 ( -1.5% ),7532,43 ( 0.6% ),131729900,18300,7
2016-12-16,382,7.1%,942,5.8%,122207,4.6%,5.3%,50470000,-2205400 ( -4.2% ),6514,-1018 ( -13.5% ),182199900,24814,9
2016-12-17,356,6.0%,685,4%,88845,3.2%,7.7%,53898500,3428500 ( 6.8% ),6817,303 ( 4.7% ),236098400,31631,10
2016-12-18,332,5.7%,622,3.7%,81368,3.0%,7.4%,48652600,-5245900 ( -9.7% ),6019,-798 ( -11.7% ),284751000,37650,10
2016-12-19,314,6.2%,686,4.4%,88008,3.4%,4.2%,26361000,-22291600 ( -45.8% ),3678,-2341 ( -38.9% ),311112000,41328,8
2016-12-20,313,5.9%,628,4%,80933,3.2%,4.3%,24903800,-1457200 ( -5.5% ),3515,-163 ( -4.4% ),336015800,44843,10
2016-12-21,24,0.5%,30,0.2%,2923,0.1%,9.1%,1573000,-23330800 ( -93.7% ),265,-3250 ( -92.5% ),337588800,45108,27
2016-12-22,14,0.3%,14,0.1%,1273,0.1%,23.2%,2178000,605000 ( 38.5% ),295,30 ( 11.3% ),339766800,45403,25
2016-12-23,5,0.1%,5,0%,375,0.0%,6.7%,171000,-2007000 ( -92.1% ),25,-270 ( -91.5% ),339937800,45428,58
2016-12-24,10,0.2%,12,0.1%,865,0.0%,10.1%,464000,293000 ( 171.3% ),87,62 ( 248.0% ),340401800,45515,48
2016-12-25,11,0.2%,12,0.1%,824,0.0%,13.7%,571000,107000 ( 23.1% ),113,26 ( 29.9% ),340972800,45628,41
2016-12-26,11,0.2%,12,0.1%,975,0.0%,3.9%,199000,-372000 ( -65.1% ),38,-75 ( -66.4% ),341171800,45666,48
2016-12-27,8,0.2%,8,0.1%,545,0.0%,5.7%,156000,-43000 ( -21.6% ),31,-7 ( -18.4% ),341327800,45697,56
2016-12-28,12,0.2%,12,0.1%,2016,0.1%,45.9%,7328000,7172000 ( 4597.4% ),925,894 ( 2883.9% ),348655800,46622,17
2016-12-30,6,0.1%,6,0%,1442,0.1%,82.0%,13013000,13013000 ( 100.0% ),1183,1183 ( 100.0% ),361668800,47805,17
2017-01-03,1,0.0%,1,0%,214,0.0%,76.2%,1304000,1304000 ( 100.0% ),163,163 ( 100.0% ),362972800,47968,34
2017-01-16,1,0.0%,2,0%,424,0.0%,7.5%,96000,96000 ( 100.0% ),32,32 ( 100.0% ),363068800,48000,47
2017-01-23,1,0.0%,1,0%,212,0.0%,4.7%,30000,30000 ( 100.0% ),10,10 ( 100.0% ),363098800,48010,65
