날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-03,1,0.0%,1,0%,149,0.0%,100.0%,894000,894000 ( 100.0% ),149,149 ( 100.0% ),894000,149,36
2017-08-24,1,0.0%,1,0%,268,0.0%,100.0%,2144000,2144000 ( 100.0% ),268,268 ( 100.0% ),3038000,417,38
2017-08-30,3,0.1%,4,0%,748,0.0%,100.0%,5984000,5984000 ( 100.0% ),748,748 ( 100.0% ),9022000,1165,21
2017-08-31,3,0.1%,3,0%,554,0.0%,100.0%,4556000,-1428000 ( -23.9% ),554,-194 ( -25.9% ),13578000,1719,23
2017-09-05,2,0.0%,2,0%,596,0.0%,100.0%,4768000,4768000 ( 100.0% ),596,596 ( 100.0% ),18346000,2315,23
2017-09-07,5,0.1%,5,0%,651,0.0%,100.0%,5208000,5208000 ( 100.0% ),651,651 ( 100.0% ),23554000,2966,20
2017-09-08,7,0.1%,7,0%,1277,0.0%,95.9%,10720400,5512400 ( 105.8% ),1225,574 ( 88.2% ),34274400,4191,15
2017-09-09,1,0.0%,1,0%,124,0.0%,81.5%,976900,-9743500 ( -90.9% ),101,-1124 ( -91.8% ),35251300,4292,55
2017-09-11,2,0.0%,2,0%,226,0.0%,100.0%,1582000,1582000 ( 100.0% ),226,226 ( 100.0% ),36833300,4518,32
2017-09-12,1,0.0%,1,0%,166,0.0%,80.7%,1190000,-392000 ( -24.8% ),134,-92 ( -40.7% ),38023300,4652,41
2017-09-14,317,5.6%,778,4.6%,111694,4.0%,5.3%,43187600,43187600 ( 100.0% ),5948,5948 ( 100.0% ),81210900,10600,7
2017-09-15,321,5.5%,782,4.4%,112097,3.9%,6.5%,58805100,15617500 ( 36.2% ),7313,1365 ( 22.9% ),140016000,17913,6
2017-09-16,344,5.4%,721,3.8%,95922,3.1%,15.5%,120111500,61306400 ( 104.3% ),14832,7519 ( 102.8% ),260127500,32745,6
2017-09-17,349,5.5%,697,3.8%,93104,3.1%,15.2%,115496800,-4614700 ( -3.8% ),14152,-680 ( -4.6% ),375624300,46897,6
2017-09-18,326,5.8%,660,4%,92978,3.4%,5.0%,33995600,-81501200 ( -70.6% ),4661,-9491 ( -67.1% ),409619900,51558,7
2017-09-19,328,5.8%,653,4%,90601,3.4%,5.4%,35315700,1320100 ( 3.9% ),4898,237 ( 5.1% ),444935600,56456,8
2017-09-20,321,5.6%,661,4.1%,95809,3.6%,5.7%,39707000,4391300 ( 12.4% ),5460,562 ( 11.5% ),484642600,61916,7
2017-09-21,179,3.3%,291,1.8%,39968,1.5%,5.4%,15802300,-23904700 ( -60.2% ),2143,-3317 ( -60.8% ),500444900,64059,10
2017-09-22,177,3.2%,281,1.7%,39411,1.4%,6.4%,20851500,5049200 ( 32.0% ),2504,361 ( 16.8% ),521296400,66563,9
2017-09-23,180,2.9%,272,1.5%,34947,1.2%,12.8%,37386700,16535200 ( 79.3% ),4487,1983 ( 79.2% ),558683100,71050,10
2017-09-24,182,3.0%,273,1.5%,34818,1.2%,11.6%,33477900,-3908800 ( -10.5% ),4050,-437 ( -9.7% ),592161000,75100,11
2017-09-25,164,3.1%,265,1.7%,38207,1.5%,4.4%,12516000,-20961900 ( -62.6% ),1679,-2371 ( -58.5% ),604677000,76779,10
2017-09-26,162,3.0%,256,1.6%,36891,1.4%,5.0%,12983500,467500 ( 3.7% ),1849,170 ( 10.1% ),617660500,78628,13
2017-09-27,48,0.9%,59,0.4%,7627,0.3%,9.1%,4407500,-8576000 ( -66.1% ),696,-1153 ( -62.4% ),622068000,79324,19
2017-09-28,32,0.6%,48,0.3%,6907,0.3%,11.7%,5164700,757200 ( 17.2% ),808,112 ( 16.1% ),627232700,80132,14
2017-09-29,38,0.7%,50,0.3%,6516,0.2%,13.1%,6461000,1296300 ( 25.1% ),854,46 ( 5.7% ),633693700,80986,15
2017-09-30,31,0.5%,37,0.2%,3866,0.1%,20.5%,6617800,156800 ( 2.4% ),794,-60 ( -7.0% ),640311500,81780,19
2017-10-01,32,0.6%,39,0.2%,4979,0.2%,22.7%,9237200,2619400 ( 39.6% ),1132,338 ( 42.6% ),649548700,82912,16
2017-10-02,34,0.6%,40,0.2%,5468,0.2%,19.1%,7696500,-1540700 ( -16.7% ),1046,-86 ( -7.6% ),657245200,83958,17
2017-10-03,8,0.1%,11,0.1%,1132,0.0%,32.4%,3243400,-4453100 ( -57.9% ),367,-679 ( -64.9% ),660488600,84325,27
2017-10-04,7,0.1%,10,0.1%,931,0.0%,25.7%,2159500,-1083900 ( -33.4% ),239,-128 ( -34.9% ),662648100,84564,27
2017-10-05,6,0.1%,10,0.1%,957,0.0%,34.3%,2815500,656000 ( 30.4% ),328,89 ( 37.2% ),665463600,84892,26
2017-10-06,7,0.1%,9,0%,1519,0.1%,26.5%,3476300,660800 ( 23.5% ),403,75 ( 22.9% ),668939900,85295,27
2017-10-07,7,0.1%,11,0.1%,1133,0.0%,33.5%,3091500,-384800 ( -11.1% ),380,-23 ( -5.7% ),672031400,85675,27
2017-10-08,8,0.1%,12,0.1%,1849,0.1%,18.7%,2826500,-265000 ( -8.6% ),345,-35 ( -9.2% ),674857900,86020,26
2017-10-09,10,0.2%,13,0.1%,1913,0.1%,21.0%,3504500,678000 ( 24.0% ),401,56 ( 16.2% ),678362400,86421,23
2017-10-10,9,0.2%,12,0.1%,1573,0.1%,6.7%,738000,-2766500 ( -78.9% ),105,-296 ( -73.8% ),679100400,86526,32
2017-10-11,9,0.2%,12,0.1%,1985,0.1%,4.9%,699000,-39000 ( -5.3% ),97,-8 ( -7.6% ),679799400,86623,44
2017-10-12,3,0.1%,4,0%,206,0.0%,30.6%,471500,-227500 ( -32.5% ),63,-34 ( -35.1% ),680270900,86686,43
2017-10-13,4,0.1%,5,0%,1056,0.0%,8.0%,703500,232000 ( 49.2% ),85,22 ( 34.9% ),680974400,86771,41
2017-10-14,6,0.1%,8,0%,1405,0.0%,14.8%,1699000,995500 ( 141.5% ),208,123 ( 144.7% ),682673400,86979,29
2017-10-15,5,0.1%,6,0%,403,0.0%,24.6%,824000,-875000 ( -51.5% ),99,-109 ( -52.4% ),683497400,87078,40
2017-10-16,3,0.1%,4,0%,1016,0.0%,3.6%,268500,-555500 ( -67.4% ),37,-62 ( -62.6% ),683765900,87115,43
2017-10-17,3,0.1%,4,0%,256,0.0%,16.0%,311500,43000 ( 16.0% ),41,4 ( 10.8% ),684077400,87156,50
2017-10-18,4,0.1%,6,0%,401,0.0%,9.2%,281500,-30000 ( -9.6% ),37,-4 ( -9.8% ),684358900,87193,63
2017-10-19,2,0.0%,3,0%,180,0.0%,9.4%,126000,-155500 ( -55.2% ),17,-20 ( -54.1% ),684484900,87210,71
2017-10-20,4,0.1%,5,0%,394,0.0%,12.9%,403000,277000 ( 219.8% ),51,34 ( 200.0% ),684887900,87261,56
2017-10-21,3,0.0%,4,0%,220,0.0%,44.1%,783500,380500 ( 94.4% ),97,46 ( 90.2% ),685671400,87358,51
2017-10-22,4,0.1%,5,0%,358,0.0%,31.3%,882500,99000 ( 12.6% ),112,15 ( 15.5% ),686553900,87470,42
2017-10-23,9,0.2%,10,0.1%,1095,0.0%,15.7%,1084000,201500 ( 22.8% ),172,60 ( 53.6% ),687637900,87642,32
2017-10-24,7,0.1%,8,0%,1129,0.0%,12.8%,884000,-200000 ( -18.5% ),145,-27 ( -15.7% ),688521900,87787,39
2017-10-25,7,0.1%,8,0%,1236,0.0%,12.7%,938000,54000 ( 6.1% ),157,12 ( 8.3% ),689459900,87944,36
2017-10-26,5,0.1%,5,0%,1212,0.0%,8.3%,600000,-338000 ( -36.0% ),100,-57 ( -36.3% ),690059900,88044,67
2017-10-27,6,0.1%,6,0%,988,0.0%,10.6%,645000,45000 ( 7.5% ),105,5 ( 5.0% ),690704900,88149,62
2017-10-28,5,0.1%,5,0%,1100,0.0%,9.1%,600000,-45000 ( -7.0% ),100,-5 ( -4.8% ),691304900,88249,67
