날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-10,1,0.0%,1,0%,158,0.0%,100.0%,1264000,1264000 ( 100.0% ),158,158 ( 100.0% ),1264000,158,28
2018-04-11,2,0.0%,2,0%,454,0.0%,59.0%,2348500,1084500 ( 85.8% ),268,110 ( 69.6% ),3612500,426,24
2018-04-15,2,0.0%,2,0%,226,0.0%,61.9%,2100000,2100000 ( 100.0% ),140,140 ( 100.0% ),5712500,566,40
2018-04-16,4,0.1%,4,0%,549,0.0%,72.9%,3600000,1500000 ( 71.4% ),400,260 ( 185.7% ),9312500,966,19
2018-04-17,5,0.1%,5,0%,1003,0.0%,95.1%,7296000,3696000 ( 102.7% ),954,554 ( 138.5% ),16608500,1920,16
2018-04-18,2,0.0%,2,0%,413,0.0%,30.5%,1130000,-6166000 ( -84.5% ),126,-828 ( -86.8% ),17738500,2046,40
2018-04-19,272,4.4%,558,3.3%,79518,2.9%,4.7%,27613900,26483900 ( 2343.7% ),3775,3649 ( 2896.0% ),45352400,5821,10
2018-04-20,276,4.3%,556,3.1%,78227,2.7%,4.7%,30339700,2725800 ( 9.9% ),3715,-60 ( -1.6% ),75692100,9536,10
2018-04-21,270,3.8%,478,2.5%,63329,2.0%,7.9%,42563600,12223900 ( 40.3% ),5024,1309 ( 35.2% ),118255700,14560,11
2018-04-22,266,3.8%,464,2.5%,61351,2.0%,9.3%,47994700,5431100 ( 12.8% ),5694,670 ( 13.3% ),166250400,20254,11
2018-04-23,250,4.2%,460,2.7%,64196,2.4%,4.9%,23363700,-24631000 ( -51.3% ),3170,-2524 ( -44.3% ),189614100,23424,9
2018-04-24,242,3.9%,452,2.8%,64006,2.4%,4.2%,19593000,-3770700 ( -16.1% ),2664,-506 ( -16.0% ),209207100,26088,10
2018-04-25,55,1.0%,60,0.4%,6878,0.3%,6.8%,2966800,-16626200 ( -84.9% ),469,-2195 ( -82.4% ),212173900,26557,17
2018-04-26,22,0.4%,29,0.2%,3114,0.1%,6.9%,1464400,-1502400 ( -50.6% ),216,-253 ( -53.9% ),213638300,26773,31
2018-04-27,15,0.3%,20,0.1%,1826,0.1%,10.6%,1503500,39100 ( 2.7% ),193,-23 ( -10.6% ),215141800,26966,27
2018-04-28,14,0.3%,17,0.1%,1741,0.1%,17.7%,2514800,1011300 ( 67.3% ),309,116 ( 60.1% ),217656600,27275,30
2018-04-29,14,0.3%,17,0.1%,1272,0.0%,20.1%,1840600,-674200 ( -26.8% ),256,-53 ( -17.2% ),219497200,27531,28
2018-04-30,15,0.3%,20,0.1%,1822,0.1%,13.7%,1705200,-135400 ( -7.4% ),250,-6 ( -2.3% ),221202400,27781,27
2018-05-01,11,0.2%,12,0.1%,1244,0.0%,16.8%,1384000,-321200 ( -18.8% ),209,-41 ( -16.4% ),222586400,27990,32
